id,timestamp,circles
0,1398854618.4548473,[{'idp': 1, 'x': 7.291666666666668, 'y': 2.2916666666666674, 'r': 0.3999999999999999, 'type': 1}]
37,1398854619.3817675,[{'idp': 1, 'x': 7.48989205495514, 'y': 2.325530686398294, 'r': 0.3999999999999999, 'type': 1}]
38,1398854619.421734,[{'idp': 1, 'x': 7.520482476164217, 'y': 2.317134575477502, 'r': 0.3999999999999999, 'type': 1}]
39,1398854619.4310522,[{'idp': 1, 'x': 7.520244786890505, 'y': 2.33493211030122, 'r': 0.3999999999999999, 'type': 1}]
40,1398854619.4697938,[{'idp': 1, 'x': 7.502766150828039, 'y': 2.3294038285186924, 'r': 0.3999999999999999, 'type': 1}]
41,1398854619.5096931,[{'idp': 1, 'x': 7.515457718199299, 'y': 2.3334893404208468, 'r': 0.3999999999999999, 'type': 1}]
42,1398854619.5097182,[{'idp': 1, 'x': 7.508319102592065, 'y': 2.3310016684449986, 'r': 0.3999999999999999, 'type': 1}]
43,1398854619.549783,[{'idp': 1, 'x': 7.4933199744703565, 'y': 2.326481373554128, 'r': 0.3999999999999999, 'type': 1}]
44,1398854619.5561934,[{'idp': 1, 'x': 7.524793750886689, 'y': 2.336392823434421, 'r': 0.3999999999999999, 'type': 1}]
45,1398854619.5937302,[{'idp': 1, 'x': 7.49571159863928, 'y': 2.327397094223498, 'r': 0.3999999999999999, 'type': 1}]
46,1398854619.6337588,[{'idp': 1, 'x': 7.512546240308737, 'y': 2.3323776820380315, 'r': 0.3999999999999999, 'type': 1}]
47,1398854619.6337864,[{'idp': 1, 'x': 7.512677649659478, 'y': 2.3327037722629718, 'r': 0.3999999999999999, 'type': 1}]
48,1398854619.6737983,[{'idp': 1, 'x': 7.501676703092254, 'y': 2.329165550183212, 'r': 0.3999999999999999, 'type': 1}]
49,1398854619.6810982,[{'idp': 1, 'x': 7.498208697849236, 'y': 2.327971442342054, 'r': 0.3999999999999999, 'type': 1}]
50,1398854619.717756,[{'idp': 1, 'x': 7.506686529089572, 'y': 2.3306409357311164, 'r': 0.3999999999999999, 'type': 1}]
51,1398854619.7577617,[{'idp': 1, 'x': 7.515603104682905, 'y': 2.3333974217578812, 'r': 0.3999999999999999, 'type': 1}]
52,1398854619.7577949,[{'idp': 1, 'x': 7.509920852757341, 'y': 2.331842180061865, 'r': 0.3999999999999999, 'type': 1}]
53,1398854619.7977378,[{'idp': 1, 'x': 7.510383476957896, 'y': 2.3318477561001982, 'r': 0.3999999999999999, 'type': 1}]
54,1398854619.806146,[{'idp': 1, 'x': 7.517261707785121, 'y': 2.33404746197559, 'r': 0.3999999999999999, 'type': 1}]
55,1398854619.8457851,[{'idp': 1, 'x': 7.509564931215591, 'y': 2.3314880006564653, 'r': 0.3999999999999999, 'type': 1}]
56,1398854619.885729,[{'idp': 1, 'x': 7.519080938650104, 'y': 2.3345615857003144, 'r': 0.3999999999999999, 'type': 1}]
57,1398854619.8858063,[{'idp': 1, 'x': 7.5236576653690985, 'y': 2.3359314262177477, 'r': 0.3999999999999999, 'type': 1}]
58,1398854619.9257245,[{'idp': 1, 'x': 7.516714901552812, 'y': 2.3335644666549205, 'r': 0.3999999999999999, 'type': 1}]
59,1398854619.9338536,[{'idp': 1, 'x': 7.508661573878763, 'y': 2.33140039883571, 'r': 0.3999999999999999, 'type': 1}]
60,1398854619.9737618,[{'idp': 1, 'x': 7.49747085757982, 'y': 2.327723046465795, 'r': 0.3999999999999999, 'type': 1}]
61,1398854620.0136812,[{'idp': 1, 'x': 7.510924053407251, 'y': 2.3319821050535894, 'r': 0.3999999999999999, 'type': 1}]
62,1398854620.0137103,[{'idp': 1, 'x': 7.516151559501925, 'y': 2.3335057918740243, 'r': 0.3999999999999999, 'type': 1}]
63,1398854620.0537531,[{'idp': 1, 'x': 7.503533877953359, 'y': 2.3295533793515033, 'r': 0.3999999999999999, 'type': 1}]
64,1398854620.0564973,[{'idp': 1, 'x': 7.522849765088242, 'y': 2.335534368371379, 'r': 0.3999999999999999, 'type': 1}]
65,1398854620.0936975,[{'idp': 1, 'x': 7.508139185916569, 'y': 2.331210273217863, 'r': 0.3999999999999999, 'type': 1}]
66,1398854620.1337535,[{'idp': 1, 'x': 7.515191267128172, 'y': 2.3332253797300018, 'r': 0.3999999999999999, 'type': 1}]
67,1398854620.1337867,[{'idp': 1, 'x': 7.524129607423413, 'y': 2.3359109558269497, 'r': 0.3999999999999999, 'type': 1}]
68,1398854620.1737273,[{'idp': 1, 'x': 7.521869721153404, 'y': 2.3353239653223756, 'r': 0.3999999999999999, 'type': 1}]
69,1398854620.181225,[{'idp': 1, 'x': 7.504018001778865, 'y': 2.3298696956439024, 'r': 0.3999999999999999, 'type': 1}]
70,1398854620.217718,[{'idp': 1, 'x': 7.517157710574427, 'y': 2.3340116166669933, 'r': 0.3999999999999999, 'type': 1}]
71,1398854620.257763,[{'idp': 1, 'x': 7.521867581378996, 'y': 2.3353253346297964, 'r': 0.3999999999999999, 'type': 1}]
72,1398854620.2577937,[{'idp': 1, 'x': 7.512271860193252, 'y': 2.3325143199106613, 'r': 0.3999999999999999, 'type': 1}]
73,1398854620.2977846,[{'idp': 1, 'x': 7.520856982314377, 'y': 2.335211031423028, 'r': 0.3999999999999999, 'type': 1}]
74,1398854620.3066232,[{'idp': 1, 'x': 7.530943331032605, 'y': 2.3383200853207753, 'r': 0.3999999999999999, 'type': 1}]
75,1398854620.345742,[{'idp': 1, 'x': 7.536867293560558, 'y': 2.3402224708538033, 'r': 0.3999999999999999, 'type': 1}]
76,1398854620.385726,[{'idp': 1, 'x': 7.559690418764018, 'y': 2.3472757324921734, 'r': 0.3999999999999999, 'type': 1}]
77,1398854620.3857558,[{'idp': 1, 'x': 7.577431260088305, 'y': 2.3530828967008266, 'r': 0.3999999999999999, 'type': 1}]
78,1398854620.4257424,[{'idp': 1, 'x': 7.5702827385354325, 'y': 2.3510023112360545, 'r': 0.3999999999999999, 'type': 1}]
79,1398854620.4331074,[{'idp': 1, 'x': 7.577972190045648, 'y': 2.3532112635519997, 'r': 0.3999999999999999, 'type': 1}]
80,1398854620.4697554,[{'idp': 1, 'x': 7.569386836751095, 'y': 2.350518032535842, 'r': 0.3999999999999999, 'type': 1}]
81,1398854620.5096898,[{'idp': 1, 'x': 7.581812461194886, 'y': 2.3547113259916364, 'r': 0.3999999999999999, 'type': 1}]
82,1398854620.509719,[{'idp': 1, 'x': 7.599982532119229, 'y': 2.360258862866229, 'r': 0.3999999999999999, 'type': 1}]
83,1398854620.549832,[{'idp': 1, 'x': 7.602496258176159, 'y': 2.3611556426293268, 'r': 0.3999999999999999, 'type': 1}]
84,1398854620.557741,[{'idp': 1, 'x': 7.611864365916863, 'y': 2.3639574045221456, 'r': 0.3999999999999999, 'type': 1}]
85,1398854620.5977807,[{'idp': 1, 'x': 7.619621703546072, 'y': 2.366323482297996, 'r': 0.3999999999999999, 'type': 1}]
86,1398854620.6377609,[{'idp': 1, 'x': 7.619583632218882, 'y': 2.3664507507349763, 'r': 0.3999999999999999, 'type': 1}]
87,1398854620.6778555,[{'idp': 1, 'x': 7.6156498136323485, 'y': 2.365254649055386, 'r': 0.3999999999999999, 'type': 1}]
88,1398854620.6778932,[{'idp': 1, 'x': 7.6313272732685, 'y': 2.370213493947917, 'r': 0.3999999999999999, 'type': 1}]
89,1398854620.7177167,[{'idp': 1, 'x': 7.634401105308168, 'y': 2.371181649741667, 'r': 0.3999999999999999, 'type': 1}]
90,1398854620.7177525,[{'idp': 1, 'x': 7.639878525547088, 'y': 2.372649434216416, 'r': 0.3999999999999999, 'type': 1}]
91,1398854620.7576714,[{'idp': 1, 'x': 7.6302064067626585, 'y': 2.3697035218802442, 'r': 0.3999999999999999, 'type': 1}]
92,1398854620.7577033,[{'idp': 1, 'x': 7.6347830471072164, 'y': 2.3710738441921397, 'r': 0.3999999999999999, 'type': 1}]
93,1398854620.797742,[{'idp': 1, 'x': 7.631585777627173, 'y': 2.388322950931947, 'r': 0.3999999999999999, 'type': 1}]
94,1398854620.807711,[{'idp': 1, 'x': 7.650041095123465, 'y': 2.375885198769039, 'r': 0.3999999999999999, 'type': 1}]
95,1398854620.8457034,[{'idp': 1, 'x': 7.653009018281017, 'y': 2.3768179314946125, 'r': 0.3999999999999999, 'type': 1}]
96,1398854620.8857467,[{'idp': 1, 'x': 7.668675495717057, 'y': 2.4000480072133556, 'r': 0.3999999999999999, 'type': 1}]
97,1398854620.885782,[{'idp': 1, 'x': 7.66380826783029, 'y': 2.416709222276381, 'r': 0.3999999999999999, 'type': 1}]
98,1398854620.9257674,[{'idp': 1, 'x': 7.683286898097553, 'y': 2.422917912187006, 'r': 0.3999999999999999, 'type': 1}]
99,1398854620.9336102,[{'idp': 1, 'x': 7.688426619988535, 'y': 2.42472195621807, 'r': 0.3999999999999999, 'type': 1}]
100,1398854620.9697618,[{'idp': 1, 'x': 7.709264905706725, 'y': 2.4314203461058526, 'r': 0.3999999999999999, 'type': 1}]
101,1398854621.0097857,[{'idp': 1, 'x': 7.681146069746396, 'y': 2.440717061660944, 'r': 0.3999999999999999, 'type': 1}]
102,1398854621.049775,[{'idp': 1, 'x': 7.695008956671727, 'y': 2.4449662037574615, 'r': 0.3999999999999999, 'type': 1}]
103,1398854621.049798,[{'idp': 1, 'x': 7.72021344196312, 'y': 2.4531481797859, 'r': 0.3999999999999999, 'type': 1}]
104,1398854621.089819,[{'idp': 1, 'x': 7.733288823671838, 'y': 2.4759362833768783, 'r': 0.3999999999999999, 'type': 1}]
105,1398854621.089858,[{'idp': 1, 'x': 7.777744756533076, 'y': 2.4902806152199686, 'r': 0.3999999999999999, 'type': 1}]
106,1398854621.1297908,[{'idp': 1, 'x': 7.787773496188006, 'y': 2.5121864156190177, 'r': 0.3999999999999999, 'type': 1}]
107,1398854621.1355946,[{'idp': 1, 'x': 7.802181111828874, 'y': 2.5163799014771238, 'r': 0.3999999999999999, 'type': 1}]
108,1398854621.1737802,[{'idp': 1, 'x': 7.843833917104881, 'y': 2.5296914439475437, 'r': 0.3999999999999999, 'type': 1}]
109,1398854621.2137358,[{'idp': 1, 'x': 7.857683456052431, 'y': 2.5530688186886197, 'r': 0.3999999999999999, 'type': 1}]
110,1398854621.2137628,[{'idp': 1, 'x': 7.911320775189212, 'y': 2.5134181244538834, 'r': 0.3999999999999999, 'type': 1}]
111,1398854621.2537546,[{'idp': 1, 'x': 7.858056357956875, 'y': 2.5716758005804286, 'r': 0.3999999999999999, 'type': 1}]
112,1398854621.2613578,[{'idp': 1, 'x': 7.886285579166302, 'y': 2.581132326350435, 'r': 0.3999999999999999, 'type': 1}]
113,1398854621.2977176,[{'idp': 1, 'x': 7.880500952938288, 'y': 2.5789851704678846, 'r': 0.3999999999999999, 'type': 1}]
114,1398854621.3377004,[{'idp': 1, 'x': 7.925131557464564, 'y': 2.5937128558386813, 'r': 0.3999999999999999, 'type': 1}]
115,1398854621.3377292,[{'idp': 1, 'x': 7.88017673555899, 'y': 2.5789012342738515, 'r': 0.3999999999999999, 'type': 1}]
116,1398854621.3777282,[{'idp': 1, 'x': 7.898235594260996, 'y': 2.584804082065564, 'r': 0.3999999999999999, 'type': 1}]
117,1398854621.386344,[{'idp': 1, 'x': 7.911874142880113, 'y': 2.5888743659285596, 'r': 0.3999999999999999, 'type': 1}]
118,1398854621.4257402,[{'idp': 1, 'x': 7.9466665600871185, 'y': 2.600782641881152, 'r': 0.3999999999999999, 'type': 1}]
119,1398854621.4657903,[{'idp': 1, 'x': 7.9245746276307845, 'y': 2.5932734566419557, 'r': 0.3999999999999999, 'type': 1}]
120,1398854621.4658198,[{'idp': 1, 'x': 7.9584037498447096, 'y': 2.6045702863934728, 'r': 0.3999999999999999, 'type': 1}]
121,1398854621.5057423,[{'idp': 1, 'x': 7.942426692545165, 'y': 2.599271981025657, 'r': 0.3999999999999999, 'type': 1}]
122,1398854621.510739,[{'idp': 1, 'x': 7.946568075594092, 'y': 2.6005487810543104, 'r': 0.3999999999999999, 'type': 1}]
123,1398854621.549809,[{'idp': 1, 'x': 7.95514779654604, 'y': 2.6032684495884184, 'r': 0.3999999999999999, 'type': 1}]
124,1398854621.58975,[{'idp': 1, 'x': 7.9405984235160325, 'y': 2.617996234790332, 'r': 0.3999999999999999, 'type': 1}]
125,1398854621.589782,[{'idp': 1, 'x': 7.957824231363809, 'y': 2.623870335314027, 'r': 0.3999999999999999, 'type': 1}]
126,1398854621.6297085,[{'idp': 1, 'x': 7.998298623776277, 'y': 2.6176980740624134, 'r': 0.3999999999999999, 'type': 1}]
127,1398854621.6351695,[{'idp': 1, 'x': 7.966068760346118, 'y': 2.6068696416908677, 'r': 0.3999999999999999, 'type': 1}]
128,1398854621.6737149,[{'idp': 1, 'x': 7.950300395652576, 'y': 2.6211421695386505, 'r': 0.3999999999999999, 'type': 1}]
129,1398854621.7137134,[{'idp': 1, 'x': 7.979782009907648, 'y': 2.6115837906860007, 'r': 0.3999999999999999, 'type': 1}]
130,1398854621.713745,[{'idp': 1, 'x': 7.970780408446137, 'y': 2.6085458270694706, 'r': 0.3999999999999999, 'type': 1}]
131,1398854621.7537344,[{'idp': 1, 'x': 7.985026914901503, 'y': 2.613239026244607, 'r': 0.3999999999999999, 'type': 1}]
132,1398854621.7598183,[{'idp': 1, 'x': 8.005904375260755, 'y': 2.6201739159579085, 'r': 0.3999999999999999, 'type': 1}]
133,1398854621.7976413,[{'idp': 1, 'x': 8.026878884424395, 'y': 2.607699649778812, 'r': 0.3999999999999999, 'type': 1}]
134,1398854621.8377469,[{'idp': 1, 'x': 8.024808425812328, 'y': 2.606953512590011, 'r': 0.3999999999999999, 'type': 1}]
135,1398854621.8377786,[{'idp': 1, 'x': 8.080431122237222, 'y': 2.6054522238039635, 'r': 0.3999999999999999, 'type': 1}]
136,1398854621.8777554,[{'idp': 1, 'x': 8.073424384529428, 'y': 2.603285704599647, 'r': 0.3999999999999999, 'type': 1}]
137,1398854621.8847299,[{'idp': 1, 'x': 8.045279810817426, 'y': 2.6138463853694605, 'r': 0.3999999999999999, 'type': 1}]
138,1398854621.9216962,[{'idp': 1, 'x': 8.054400109961101, 'y': 2.6168427841092834, 'r': 0.3999999999999999, 'type': 1}]
139,1398854621.961728,[{'idp': 1, 'x': 8.1123781922531, 'y': 2.616077135699084, 'r': 0.3999999999999999, 'type': 1}]
140,1398854621.9617567,[{'idp': 1, 'x': 8.129972294413257, 'y': 2.6217938064690394, 'r': 0.3999999999999999, 'type': 1}]
141,1398854622.0018322,[{'idp': 1, 'x': 8.135197998136096, 'y': 2.6235093243749152, 'r': 0.3999999999999999, 'type': 1}]
142,1398854622.0097413,[{'idp': 1, 'x': 8.190698235874292, 'y': 2.6414636866002605, 'r': 0.3999999999999999, 'type': 1}]
143,1398854622.049725,[{'idp': 1, 'x': 8.171316095583885, 'y': 2.635319737745496, 'r': 0.3999999999999999, 'type': 1}]
144,1398854622.0897722,[{'idp': 1, 'x': 8.204217319829725, 'y': 2.6462416752309736, 'r': 0.3999999999999999, 'type': 1}]
145,1398854622.0898006,[{'idp': 1, 'x': 8.208912600497982, 'y': 2.627756600402158, 'r': 0.3999999999999999, 'type': 1}]
146,1398854622.1297207,[{'idp': 1, 'x': 8.203611323030227, 'y': 2.6459491958456427, 'r': 0.3999999999999999, 'type': 1}]
147,1398854622.1352022,[{'idp': 1, 'x': 8.233284127642122, 'y': 2.655931175035038, 'r': 0.3999999999999999, 'type': 1}]
148,1398854622.1738193,[{'idp': 1, 'x': 8.222003439231838, 'y': 2.6321015957041904, 'r': 0.3999999999999999, 'type': 1}]
149,1398854622.2137468,[{'idp': 1, 'x': 8.226544535427049, 'y': 2.6336614989956386, 'r': 0.3999999999999999, 'type': 1}]
150,1398854622.2137685,[{'idp': 1, 'x': 8.242402962366686, 'y': 2.658694820714451, 'r': 0.3999999999999999, 'type': 1}]
151,1398854622.2537773,[{'idp': 1, 'x': 8.291139680834164, 'y': 2.6748109593895486, 'r': 0.3999999999999999, 'type': 1}]
152,1398854622.2604768,[{'idp': 1, 'x': 8.27177965165969, 'y': 2.6483052492889514, 'r': 0.3999999999999999, 'type': 1}]
153,1398854622.2976966,[{'idp': 1, 'x': 8.282498508009375, 'y': 2.631748342975919, 'r': 0.3999999999999999, 'type': 1}]
154,1398854622.3376985,[{'idp': 1, 'x': 8.292268941912592, 'y': 2.67511364964232, 'r': 0.3999999999999999, 'type': 1}]
155,1398854622.3377318,[{'idp': 1, 'x': 8.307807854314044, 'y': 2.680144959004409, 'r': 0.3999999999999999, 'type': 1}]
156,1398854622.3777106,[{'idp': 1, 'x': 8.320577580135621, 'y': 2.6640780792889096, 'r': 0.3999999999999999, 'type': 1}]
157,1398854622.3854022,[{'idp': 1, 'x': 8.313721361756892, 'y': 2.66206860492602, 'r': 0.3999999999999999, 'type': 1}]
158,1398854622.42177,[{'idp': 1, 'x': 8.337668384933023, 'y': 2.669724285578432, 'r': 0.3999999999999999, 'type': 1}]
159,1398854622.4618134,[{'idp': 1, 'x': 8.339698015808022, 'y': 2.670414554074434, 'r': 0.3999999999999999, 'type': 1}]
160,1398854622.4618423,[{'idp': 1, 'x': 8.363265744589835, 'y': 2.6783166396085756, 'r': 0.3999999999999999, 'type': 1}]
161,1398854622.501675,[{'idp': 1, 'x': 8.3737218310931, 'y': 2.6817330296982833, 'r': 0.3999999999999999, 'type': 1}]
162,1398854622.5106502,[{'idp': 1, 'x': 8.351601051151665, 'y': 2.6537677716593078, 'r': 0.3999999999999999, 'type': 1}]
163,1398854622.5497174,[{'idp': 1, 'x': 8.345377522004764, 'y': 2.6317875231200527, 'r': 0.3999999999999999, 'type': 1}]
164,1398854622.5898156,[{'idp': 1, 'x': 8.342695498359207, 'y': 2.650974352965072, 'r': 0.3999999999999999, 'type': 1}]
165,1398854622.5898712,[{'idp': 1, 'x': 8.386709546082036, 'y': 2.6653522289545095, 'r': 0.3999999999999999, 'type': 1}]
166,1398854622.629712,[{'idp': 1, 'x': 8.380721239718643, 'y': 2.6837680567154587, 'r': 0.3999999999999999, 'type': 1}]
167,1398854622.6356206,[{'idp': 1, 'x': 8.356825996287906, 'y': 2.6554845759903256, 'r': 0.3999999999999999, 'type': 1}]
168,1398854622.6737788,[{'idp': 1, 'x': 8.372375480619304, 'y': 2.640220208334352, 'r': 0.3999999999999999, 'type': 1}]
169,1398854622.7137008,[{'idp': 1, 'x': 8.400500250685358, 'y': 2.6899206947170384, 'r': 0.3999999999999999, 'type': 1}]
170,1398854622.7137349,[{'idp': 1, 'x': 8.4204462034067, 'y': 2.6759853434068415, 'r': 0.3999999999999999, 'type': 1}]
171,1398854622.7537181,[{'idp': 1, 'x': 8.414786037621713, 'y': 2.7149448015358657, 'r': 0.3999999999999999, 'type': 1}]
172,1398854622.761661,[{'idp': 1, 'x': 8.442741646061885, 'y': 2.7027439492870076, 'r': 0.3999999999999999, 'type': 1}]
173,1398854622.8057804,[{'idp': 1, 'x': 8.458459127103847, 'y': 2.7079970203124026, 'r': 0.3999999999999999, 'type': 1}]
174,1398854622.8497462,[{'idp': 1, 'x': 8.434382969189073, 'y': 2.700746345359899, 'r': 0.3999999999999999, 'type': 1}]
175,1398854622.8497887,[{'idp': 1, 'x': 8.447789188310733, 'y': 2.704784429461775, 'r': 0.3999999999999999, 'type': 1}]
176,1398854622.8897061,[{'idp': 1, 'x': 8.450224572951484, 'y': 2.7056117774535915, 'r': 0.3999999999999999, 'type': 1}]
177,1398854622.8897288,[{'idp': 1, 'x': 8.469074792009142, 'y': 2.7113905336773536, 'r': 0.3999999999999999, 'type': 1}]
178,1398854622.929713,[{'idp': 1, 'x': 8.476495983244147, 'y': 2.7139735438123025, 'r': 0.3999999999999999, 'type': 1}]
179,1398854622.9359505,[{'idp': 1, 'x': 8.490542724846076, 'y': 2.718358679829984, 'r': 0.3999999999999999, 'type': 1}]
180,1398854622.9736876,[{'idp': 1, 'x': 8.488866962567235, 'y': 2.717967558592209, 'r': 0.3999999999999999, 'type': 1}]
181,1398854623.0137012,[{'idp': 1, 'x': 8.504975261050987, 'y': 2.7229399558426737, 'r': 0.3999999999999999, 'type': 1}]
182,1398854623.0137331,[{'idp': 1, 'x': 8.524699039800138, 'y': 2.7292647127007474, 'r': 0.3999999999999999, 'type': 1}]
183,1398854623.0538151,[{'idp': 1, 'x': 8.5657875985787, 'y': 2.763537994634473, 'r': 0.3999999999999999, 'type': 1}]
184,1398854623.0618002,[{'idp': 1, 'x': 8.593034270300803, 'y': 2.771906396141268, 'r': 0.3999999999999999, 'type': 1}]
185,1398854623.1018617,[{'idp': 1, 'x': 8.598521093953714, 'y': 2.7736209320041505, 'r': 0.3999999999999999, 'type': 1}]
186,1398854623.1417365,[{'idp': 1, 'x': 8.617827419506462, 'y': 2.7797287768237444, 'r': 0.3999999999999999, 'type': 1}]
187,1398854623.1417806,[{'idp': 1, 'x': 8.634054857098931, 'y': 2.7847966641951882, 'r': 0.3999999999999999, 'type': 1}]
188,1398854623.181722,[{'idp': 1, 'x': 8.64725153439509, 'y': 2.7890816551541375, 'r': 0.3999999999999999, 'type': 1}]
189,1398854623.1869862,[{'idp': 1, 'x': 8.657238068704524, 'y': 2.7919158753414997, 'r': 0.3999999999999999, 'type': 1}]
190,1398854623.2256954,[{'idp': 1, 'x': 8.681382660950392, 'y': 2.7997167715825677, 'r': 0.3999999999999999, 'type': 1}]
191,1398854623.2656925,[{'idp': 1, 'x': 8.693145316799914, 'y': 2.8031516056233574, 'r': 0.3999999999999999, 'type': 1}]
192,1398854623.265718,[{'idp': 1, 'x': 8.705612860967726, 'y': 2.806844712387715, 'r': 0.3999999999999999, 'type': 1}]
193,1398854623.305706,[{'idp': 1, 'x': 8.724818973836538, 'y': 2.834629974599465, 'r': 0.3999999999999999, 'type': 1}]
194,1398854623.3116536,[{'idp': 1, 'x': 8.694432605484295, 'y': 2.824756554330079, 'r': 0.3999999999999999, 'type': 1}]
195,1398854623.3497114,[{'idp': 1, 'x': 8.73824413178376, 'y': 2.8605222861188717, 'r': 0.3999999999999999, 'type': 1}]
196,1398854623.3897069,[{'idp': 1, 'x': 8.75781596649855, 'y': 2.86661776344713, 'r': 0.3999999999999999, 'type': 1}]
197,1398854623.3897364,[{'idp': 1, 'x': 8.719820611720305, 'y': 2.8753066357947987, 'r': 0.3999999999999999, 'type': 1}]
198,1398854623.4297597,[{'idp': 1, 'x': 8.745928684355995, 'y': 2.884167161718101, 'r': 0.3999999999999999, 'type': 1}]
199,1398854623.4373398,[{'idp': 1, 'x': 8.782717456285056, 'y': 2.8957607428041343, 'r': 0.3999999999999999, 'type': 1}]
