id,timestamp,circles
60000,1398777768.5636444,[{'idp':  58 ,  'x':  4.79 ,  'y':  -3.11 ,  'r':  0.4 ,  'type':  1}]
60021,1398777769.1036444,[{'idp':  58 ,  'x':  4.59 ,  'y':  -3.06 ,  'r':  0.4 ,  'type':  1}]
60022,1398777769.1103225,[{'idp':  58 ,  'x':  4.59 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60023,1398777769.1476183,[{'idp':  58 ,  'x':  4.56 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60024,1398777769.1875563,[{'idp':  58 ,  'x':  4.56 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60025,1398777769.1875877,[{'idp':  58 ,  'x':  4.53 ,  'y':  -3.09 ,  'r':  0.4 ,  'type':  1}]
60026,1398777769.227641,[{'idp':  58 ,  'x':  4.53 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60027,1398777769.2358208,[{'idp':  58 ,  'x':  4.5 ,  'y':  -3.09 ,  'r':  0.4 ,  'type':  1}]
60028,1398777769.275647,[{'idp':  58 ,  'x':  4.49 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60029,1398777769.315741,[{'idp':  58 ,  'x':  4.5 ,  'y':  -3.06 ,  'r':  0.4 ,  'type':  1}]
60030,1398777769.3157754,[{'idp':  58 ,  'x':  4.5 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60031,1398777769.3556108,[{'idp':  58 ,  'x':  4.49 ,  'y':  -3.03 ,  'r':  0.4 ,  'type':  1}]
60032,1398777769.3612032,[{'idp':  58 ,  'x':  4.47 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60033,1398777769.3995824,[{'idp':  58 ,  'x':  4.46 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60034,1398777769.4396486,[{'idp':  58 ,  'x':  4.43 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60035,1398777769.4396834,[{'idp':  58 ,  'x':  4.43 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60036,1398777769.4796448,[{'idp':  58 ,  'x':  4.43 ,  'y':  -3.06 ,  'r':  0.4 ,  'type':  1}]
60037,1398777769.4864511,[{'idp':  58 ,  'x':  4.43 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60038,1398777769.5235543,[{'idp':  58 ,  'x':  4.44 ,  'y':  -3.03 ,  'r':  0.4 ,  'type':  1}]
60039,1398777769.5636015,[{'idp':  58 ,  'x':  4.41 ,  'y':  -3.03 ,  'r':  0.4 ,  'type':  1}]
60040,1398777769.5636342,[{'idp':  58 ,  'x':  4.41 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60041,1398777769.6036448,[{'idp':  58 ,  'x':  4.39 ,  'y':  -3.06 ,  'r':  0.4 ,  'type':  1}]
60042,1398777769.611327,[{'idp':  58 ,  'x':  4.37 ,  'y':  -3.06 ,  'r':  0.4 ,  'type':  1}]
60043,1398777769.6476164,[{'idp':  58 ,  'x':  4.36 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60044,1398777769.6875975,[{'idp':  58 ,  'x':  4.34 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60045,1398777769.7276149,[{'idp':  58 ,  'x':  4.35 ,  'y':  -3.03 ,  'r':  0.4 ,  'type':  1}]
60046,1398777769.727638,[{'idp':  58 ,  'x':  4.34 ,  'y':  -3.02 ,  'r':  0.4 ,  'type':  1}]
60047,1398777769.7676094,[{'idp':  58 ,  'x':  4.32 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60048,1398777769.7676933,[{'idp':  58 ,  'x':  4.3 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60049,1398777769.8076386,[{'idp':  58 ,  'x':  4.28 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60050,1398777769.8121538,[{'idp':  58 ,  'x':  4.3 ,  'y':  -3.06 ,  'r':  0.4 ,  'type':  1}]
60051,1398777769.8515897,[{'idp':  58 ,  'x':  4.28 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60052,1398777769.8915677,[{'idp':  58 ,  'x':  4.27 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60053,1398777769.8915977,[{'idp':  58 ,  'x':  4.27 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60054,1398777769.931604,[{'idp':  58 ,  'x':  4.24 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60055,1398777769.939773,[{'idp':  58 ,  'x':  4.24 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60056,1398777769.9796767,[{'idp':  58 ,  'x':  4.21 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60057,1398777770.0196004,[{'idp':  58 ,  'x':  4.21 ,  'y':  -3.06 ,  'r':  0.4 ,  'type':  1}]
60058,1398777770.019637,[{'idp':  58 ,  'x':  4.19 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60059,1398777770.0596175,[{'idp':  58 ,  'x':  4.19 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60060,1398777770.0644658,[{'idp':  58 ,  'x':  4.19 ,  'y':  -3.03 ,  'r':  0.4 ,  'type':  1}]
60061,1398777770.1035738,[{'idp':  58 ,  'x':  4.17 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60062,1398777770.1435878,[{'idp':  58 ,  'x':  4.15 ,  'y':  -3.06 ,  'r':  0.4 ,  'type':  1}]
60063,1398777770.1436164,[{'idp':  58 ,  'x':  4.15 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60064,1398777770.183748,[{'idp':  58 ,  'x':  4.12 ,  'y':  -3.06 ,  'r':  0.4 ,  'type':  1}]
60065,1398777770.188838,[{'idp':  58 ,  'x':  4.11 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60066,1398777770.2275887,[{'idp':  58 ,  'x':  4.11 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60067,1398777770.2675822,[{'idp':  58 ,  'x':  4.09 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60068,1398777770.2676082,[{'idp':  58 ,  'x':  4.11 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60069,1398777770.3075662,[{'idp':  58 ,  'x':  4.12 ,  'y':  -3.02 ,  'r':  0.4 ,  'type':  1}]
60070,1398777770.3159738,[{'idp':  58 ,  'x':  4.11 ,  'y':  -3.01 ,  'r':  0.4 ,  'type':  1}]
60071,1398777770.3556273,[{'idp':  58 ,  'x':  4.1 ,  'y':  -3.03 ,  'r':  0.4 ,  'type':  1}]
60072,1398777770.3956263,[{'idp':  58 ,  'x':  4.05 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60073,1398777770.39565,[{'idp':  58 ,  'x':  4.0 ,  'y':  -3.12 ,  'r':  0.4 ,  'type':  1}]
60074,1398777770.4356744,[{'idp':  58 ,  'x':  3.97 ,  'y':  -3.14 ,  'r':  0.4 ,  'type':  1}]
60075,1398777770.4415648,[{'idp':  58 ,  'x':  3.98 ,  'y':  -3.12 ,  'r':  0.4 ,  'type':  1}]
60076,1398777770.4795914,[{'idp':  58 ,  'x':  4.0 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60077,1398777770.5196052,[{'idp':  58 ,  'x':  4.02 ,  'y':  -3.03 ,  'r':  0.4 ,  'type':  1}]
60078,1398777770.5196354,[{'idp':  58 ,  'x':  4.04 ,  'y':  -3.0 ,  'r':  0.4 ,  'type':  1}]
60079,1398777770.5596826,[{'idp':  58 ,  'x':  4.04 ,  'y':  -3.0 ,  'r':  0.4 ,  'type':  1}]
60080,1398777770.5670884,[{'idp':  58 ,  'x':  4.01 ,  'y':  -3.02 ,  'r':  0.4 ,  'type':  1}]
60081,1398777770.6035678,[{'idp':  58 ,  'x':  4.0 ,  'y':  -3.03 ,  'r':  0.4 ,  'type':  1}]
60082,1398777770.6436203,[{'idp':  58 ,  'x':  4.0 ,  'y':  -3.03 ,  'r':  0.4 ,  'type':  1}]
60083,1398777770.6436517,[{'idp':  58 ,  'x':  3.97 ,  'y':  -3.03 ,  'r':  0.4 ,  'type':  1}]
60084,1398777770.6836786,[{'idp':  58 ,  'x':  3.95 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60085,1398777770.6920717,[{'idp':  58 ,  'x':  3.93 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60086,1398777770.731626,[{'idp':  58 ,  'x':  3.93 ,  'y':  -3.06 ,  'r':  0.4 ,  'type':  1}]
60087,1398777770.771571,[{'idp':  58 ,  'x':  3.92 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60088,1398777770.7716005,[{'idp':  58 ,  'x':  3.91 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60089,1398777770.811609,[{'idp':  58 ,  'x':  3.93 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60090,1398777770.816717,[{'idp':  58 ,  'x':  3.91 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
60091,1398777770.8557506,[{'idp':  58 ,  'x':  3.89 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60092,1398777770.8956487,[{'idp':  58 ,  'x':  3.87 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60093,1398777770.8956864,[{'idp':  58 ,  'x':  3.86 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60094,1398777770.9356399,[{'idp':  58 ,  'x':  3.85 ,  'y':  -3.09 ,  'r':  0.4 ,  'type':  1}]
60095,1398777770.940653,[{'idp':  58 ,  'x':  3.84 ,  'y':  -3.09 ,  'r':  0.4 ,  'type':  1}]
60096,1398777770.9796524,[{'idp':  58 ,  'x':  3.84 ,  'y':  -3.09 ,  'r':  0.4 ,  'type':  1}]
60097,1398777771.0196133,[{'idp':  58 ,  'x':  3.82 ,  'y':  -3.09 ,  'r':  0.4 ,  'type':  1}]
60098,1398777771.019646,[{'idp':  58 ,  'x':  3.83 ,  'y':  -3.09 ,  'r':  0.4 ,  'type':  1}]
60099,1398777771.0597422,[{'idp':  58 ,  'x':  3.82 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60100,1398777771.0687413,[{'idp':  58 ,  'x':  3.81 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60101,1398777771.1076622,[{'idp':  58 ,  'x':  3.81 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60102,1398777771.14762,[{'idp':  58 ,  'x':  3.79 ,  'y':  -3.09 ,  'r':  0.4 ,  'type':  1}]
60103,1398777771.147652,[{'idp':  58 ,  'x':  3.77 ,  'y':  -3.1 ,  'r':  0.4 ,  'type':  1}]
60104,1398777771.1876185,[{'idp':  58 ,  'x':  3.76 ,  'y':  -3.09 ,  'r':  0.4 ,  'type':  1}]
60105,1398777771.1920989,[{'idp':  58 ,  'x':  3.77 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60106,1398777771.2316349,[{'idp':  58 ,  'x':  3.76 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60107,1398777771.2715948,[{'idp':  58 ,  'x':  3.75 ,  'y':  -3.1 ,  'r':  0.4 ,  'type':  1}]
60108,1398777771.271628,[{'idp':  58 ,  'x':  3.73 ,  'y':  -3.11 ,  'r':  0.4 ,  'type':  1}]
60109,1398777771.3115876,[{'idp':  58 ,  'x':  3.71 ,  'y':  -3.11 ,  'r':  0.4 ,  'type':  1}]
60110,1398777771.3165138,[{'idp':  58 ,  'x':  3.71 ,  'y':  -3.11 ,  'r':  0.4 ,  'type':  1}]
60111,1398777771.3556745,[{'idp':  58 ,  'x':  3.7 ,  'y':  -3.13 ,  'r':  0.4 ,  'type':  1}]
60112,1398777771.3955808,[{'idp':  58 ,  'x':  3.71 ,  'y':  -3.13 ,  'r':  0.4 ,  'type':  1}]
60113,1398777771.3956141,[{'idp':  58 ,  'x':  3.71 ,  'y':  -3.13 ,  'r':  0.4 ,  'type':  1}]
60114,1398777771.435625,[{'idp':  58 ,  'x':  3.71 ,  'y':  -3.14 ,  'r':  0.4 ,  'type':  1}]
60115,1398777771.4428368,[{'idp':  58 ,  'x':  3.69 ,  'y':  -3.16 ,  'r':  0.4 ,  'type':  1}]
60116,1398777771.4796624,[{'idp':  58 ,  'x':  3.67 ,  'y':  -3.2 ,  'r':  0.4 ,  'type':  1}]
60117,1398777771.519598,[{'idp':  58 ,  'x':  3.64 ,  'y':  -3.23 ,  'r':  0.4 ,  'type':  1}]
60118,1398777771.5196316,[{'idp':  58 ,  'x':  3.62 ,  'y':  -3.24 ,  'r':  0.4 ,  'type':  1}]
60119,1398777771.5596132,[{'idp':  58 ,  'x':  3.62 ,  'y':  -3.23 ,  'r':  0.4 ,  'type':  1}]
60120,1398777771.5680482,[{'idp':  58 ,  'x':  3.63 ,  'y':  -3.21 ,  'r':  0.4 ,  'type':  1}]
60121,1398777771.6075819,[{'idp':  58 ,  'x':  3.63 ,  'y':  -3.21 ,  'r':  0.4 ,  'type':  1}]
60122,1398777771.6476488,[{'idp':  58 ,  'x':  3.62 ,  'y':  -3.21 ,  'r':  0.4 ,  'type':  1}]
60123,1398777771.647689,[{'idp':  58 ,  'x':  3.6 ,  'y':  -3.23 ,  'r':  0.4 ,  'type':  1}]
60124,1398777771.6876323,[{'idp':  58 ,  'x':  3.58 ,  'y':  -3.24 ,  'r':  0.4 ,  'type':  1}]
60125,1398777771.693214,[{'idp':  58 ,  'x':  3.57 ,  'y':  -3.25 ,  'r':  0.4 ,  'type':  1}]
60126,1398777771.731561,[{'idp':  58 ,  'x':  3.54 ,  'y':  -3.27 ,  'r':  0.4 ,  'type':  1}]
60127,1398777771.7716506,[{'idp':  58 ,  'x':  3.53 ,  'y':  -3.27 ,  'r':  0.4 ,  'type':  1}]
60128,1398777771.7717464,[{'idp':  58 ,  'x':  3.52 ,  'y':  -3.27 ,  'r':  0.4 ,  'type':  1}]
60129,1398777771.811639,[{'idp':  58 ,  'x':  3.5 ,  'y':  -3.29 ,  'r':  0.4 ,  'type':  1}]
60130,1398777771.8181458,[{'idp':  58 ,  'x':  3.49 ,  'y':  -3.3 ,  'r':  0.4 ,  'type':  1}]
60131,1398777771.8555758,[{'idp':  58 ,  'x':  3.47 ,  'y':  -3.32 ,  'r':  0.4 ,  'type':  1}]
60132,1398777771.89553,[{'idp':  58 ,  'x':  3.46 ,  'y':  -3.33 ,  'r':  0.4 ,  'type':  1}]
60133,1398777771.8955624,[{'idp':  58 ,  'x':  3.44 ,  'y':  -3.35 ,  'r':  0.4 ,  'type':  1}]
60134,1398777771.93563,[{'idp':  58 ,  'x':  3.45 ,  'y':  -3.34 ,  'r':  0.4 ,  'type':  1}]
60135,1398777771.9477994,[{'idp':  58 ,  'x':  3.45 ,  'y':  -3.33 ,  'r':  0.4 ,  'type':  1}]
60136,1398777771.9875987,[{'idp':  58 ,  'x':  3.44 ,  'y':  -3.33 ,  'r':  0.4 ,  'type':  1}]
60137,1398777772.0276198,[{'idp':  58 ,  'x':  3.44 ,  'y':  -3.32 ,  'r':  0.4 ,  'type':  1}]
60138,1398777772.0276537,[{'idp':  58 ,  'x':  3.43 ,  'y':  -3.32 ,  'r':  0.4 ,  'type':  1}]
60139,1398777772.067586,[{'idp':  58 ,  'x':  3.41 ,  'y':  -3.34 ,  'r':  0.4 ,  'type':  1}]
60140,1398777772.0693364,[{'idp':  58 ,  'x':  3.39 ,  'y':  -3.36 ,  'r':  0.4 ,  'type':  1}]
60141,1398777772.1076202,[{'idp':  58 ,  'x':  3.37 ,  'y':  -3.36 ,  'r':  0.4 ,  'type':  1}]
60142,1398777772.1476514,[{'idp':  58 ,  'x':  3.34 ,  'y':  -3.38 ,  'r':  0.4 ,  'type':  1}]
60143,1398777772.1476731,[{'idp':  58 ,  'x':  3.32 ,  'y':  -3.39 ,  'r':  0.4 ,  'type':  1}]
60144,1398777772.1876917,[{'idp':  58 ,  'x':  3.33 ,  'y':  -3.37 ,  'r':  0.4 ,  'type':  1}]
60145,1398777772.195087,[{'idp':  58 ,  'x':  3.32 ,  'y':  -3.38 ,  'r':  0.4 ,  'type':  1}]
60146,1398777772.2315428,[{'idp':  58 ,  'x':  3.32 ,  'y':  -3.38 ,  'r':  0.4 ,  'type':  1}]
60147,1398777772.2716842,[{'idp':  58 ,  'x':  3.29 ,  'y':  -3.41 ,  'r':  0.4 ,  'type':  1}]
60148,1398777772.2717273,[{'idp':  58 ,  'x':  3.28 ,  'y':  -3.43 ,  'r':  0.4 ,  'type':  1}]
60149,1398777772.3115869,[{'idp':  58 ,  'x':  3.26 ,  'y':  -3.44 ,  'r':  0.4 ,  'type':  1}]
60150,1398777772.3199522,[{'idp':  58 ,  'x':  3.25 ,  'y':  -3.47 ,  'r':  0.4 ,  'type':  1}]
60151,1398777772.3595784,[{'idp':  58 ,  'x':  3.23 ,  'y':  -3.49 ,  'r':  0.4 ,  'type':  1}]
60152,1398777772.3995717,[{'idp':  58 ,  'x':  3.22 ,  'y':  -3.52 ,  'r':  0.4 ,  'type':  1}]
60153,1398777772.399599,[{'idp':  58 ,  'x':  3.22 ,  'y':  -3.53 ,  'r':  0.4 ,  'type':  1}]
60154,1398777772.439575,[{'idp':  58 ,  'x':  3.21 ,  'y':  -3.53 ,  'r':  0.4 ,  'type':  1}]
60155,1398777772.4453466,[{'idp':  58 ,  'x':  3.2 ,  'y':  -3.53 ,  'r':  0.4 ,  'type':  1}]
60156,1398777772.4836857,[{'idp':  58 ,  'x':  3.17 ,  'y':  -3.55 ,  'r':  0.4 ,  'type':  1}]
60157,1398777772.523643,[{'idp':  58 ,  'x':  3.15 ,  'y':  -3.57 ,  'r':  0.4 ,  'type':  1}]
60158,1398777772.5237339,[{'idp':  58 ,  'x':  3.13 ,  'y':  -3.59 ,  'r':  0.4 ,  'type':  1}]
60159,1398777772.563625,[{'idp':  58 ,  'x':  3.1 ,  'y':  -3.61 ,  'r':  0.4 ,  'type':  1}]
60160,1398777772.57183,[{'idp':  58 ,  'x':  3.09 ,  'y':  -3.61 ,  'r':  0.4 ,  'type':  1}]
60161,1398777772.61155,[{'idp':  58 ,  'x':  3.07 ,  'y':  -3.61 ,  'r':  0.4 ,  'type':  1}]
60162,1398777772.6516633,[{'idp':  58 ,  'x':  3.08 ,  'y':  -3.6 ,  'r':  0.4 ,  'type':  1}]
60163,1398777772.6516938,[{'idp':  58 ,  'x':  3.06 ,  'y':  -3.6 ,  'r':  0.4 ,  'type':  1}]
60164,1398777772.6916137,[{'idp':  58 ,  'x':  3.04 ,  'y':  -3.62 ,  'r':  0.4 ,  'type':  1}]
60165,1398777772.6960988,[{'idp':  58 ,  'x':  3.0 ,  'y':  -3.64 ,  'r':  0.4 ,  'type':  1}]
60166,1398777772.7355688,[{'idp':  58 ,  'x':  2.95 ,  'y':  -3.66 ,  'r':  0.4 ,  'type':  1}]
60167,1398777772.7755773,[{'idp':  58 ,  'x':  2.91 ,  'y':  -3.66 ,  'r':  0.4 ,  'type':  1}]
60168,1398777772.7756102,[{'idp':  58 ,  'x':  2.92 ,  'y':  -3.63 ,  'r':  0.4 ,  'type':  1}]
60169,1398777772.815628,[{'idp':  58 ,  'x':  2.9 ,  'y':  -3.6 ,  'r':  0.4 ,  'type':  1}]
60170,1398777772.8220108,[{'idp':  58 ,  'x':  2.9 ,  'y':  -3.59 ,  'r':  0.4 ,  'type':  1}]
60171,1398777772.859573,[{'idp':  58 ,  'x':  2.88 ,  'y':  -3.62 ,  'r':  0.4 ,  'type':  1}]
60172,1398777772.8995988,[{'idp':  58 ,  'x':  2.85 ,  'y':  -3.63 ,  'r':  0.4 ,  'type':  1}]
60173,1398777772.899631,[{'idp':  58 ,  'x':  2.84 ,  'y':  -3.65 ,  'r':  0.4 ,  'type':  1}]
60174,1398777772.939611,[{'idp':  58 ,  'x':  2.83 ,  'y':  -3.67 ,  'r':  0.4 ,  'type':  1}]
60175,1398777772.9472344,[{'idp':  58 ,  'x':  2.82 ,  'y':  -3.71 ,  'r':  0.4 ,  'type':  1}]
60176,1398777772.9835718,[{'idp':  58 ,  'x':  2.82 ,  'y':  -3.71 ,  'r':  0.4 ,  'type':  1}]
60177,1398777773.0235972,[{'idp':  58 ,  'x':  2.8 ,  'y':  -3.73 ,  'r':  0.4 ,  'type':  1}]
60178,1398777773.0236251,[{'idp':  58 ,  'x':  2.77 ,  'y':  -3.73 ,  'r':  0.4 ,  'type':  1}]
60179,1398777773.0635703,[{'idp':  58 ,  'x':  2.75 ,  'y':  -3.73 ,  'r':  0.4 ,  'type':  1}]
60180,1398777773.072562,[{'idp':  58 ,  'x':  2.74 ,  'y':  -3.74 ,  'r':  0.4 ,  'type':  1}]
60181,1398777773.1116056,[{'idp':  58 ,  'x':  2.74 ,  'y':  -3.75 ,  'r':  0.4 ,  'type':  1}]
60182,1398777773.1515946,[{'idp':  58 ,  'x':  2.74 ,  'y':  -3.75 ,  'r':  0.4 ,  'type':  1}]
60183,1398777773.1516254,[{'idp':  58 ,  'x':  2.72 ,  'y':  -3.77 ,  'r':  0.4 ,  'type':  1}]
60184,1398777773.1916134,[{'idp':  58 ,  'x':  2.69 ,  'y':  -3.77 ,  'r':  0.4 ,  'type':  1}]
60185,1398777773.1979485,[{'idp':  58 ,  'x':  2.65 ,  'y':  -3.79 ,  'r':  0.4 ,  'type':  1}]
60186,1398777773.2355933,[{'idp':  58 ,  'x':  2.64 ,  'y':  -3.85 ,  'r':  0.4 ,  'type':  1}]
60187,1398777773.275596,[{'idp':  58 ,  'x':  2.66 ,  'y':  -3.88 ,  'r':  0.4 ,  'type':  1}]
60188,1398777773.2756133,[{'idp':  58 ,  'x':  2.66 ,  'y':  -3.92 ,  'r':  0.4 ,  'type':  1}]
60189,1398777773.315578,[{'idp':  58 ,  'x':  2.64 ,  'y':  -3.95 ,  'r':  0.4 ,  'type':  1}]
60190,1398777773.3236096,[{'idp':  58 ,  'x':  2.62 ,  'y':  -3.98 ,  'r':  0.4 ,  'type':  1}]
60191,1398777773.3636293,[{'idp':  58 ,  'x':  2.6 ,  'y':  -4.0 ,  'r':  0.4 ,  'type':  1}]
60192,1398777773.403581,[{'idp':  58 ,  'x':  2.59 ,  'y':  -4.01 ,  'r':  0.4 ,  'type':  1}]
60193,1398777773.40361,[{'idp':  58 ,  'x':  2.61 ,  'y':  -4.0 ,  'r':  0.4 ,  'type':  1}]
60194,1398777773.4439971,[{'idp':  58 ,  'x':  2.63 ,  'y':  -4.0 ,  'r':  0.4 ,  'type':  1}]
60195,1398777773.4495966,[{'idp':  58 ,  'x':  2.63 ,  'y':  -4.0 ,  'r':  0.4 ,  'type':  1}]
60196,1398777773.4876046,[{'idp':  58 ,  'x':  2.6 ,  'y':  -4.02 ,  'r':  0.4 ,  'type':  1}]
60197,1398777773.5276246,[{'idp':  58 ,  'x':  2.58 ,  'y':  -4.04 ,  'r':  0.4 ,  'type':  1}]
60198,1398777773.527658,[{'idp':  58 ,  'x':  2.56 ,  'y':  -4.06 ,  'r':  0.4 ,  'type':  1}]
60199,1398777773.5676296,[{'idp':  58 ,  'x':  2.56 ,  'y':  -4.06 ,  'r':  0.4 ,  'type':  1}]
60200,1398777773.5743358,[{'idp':  58 ,  'x':  2.56 ,  'y':  -4.06 ,  'r':  0.4 ,  'type':  1}]
60201,1398777773.6115866,[{'idp':  58 ,  'x':  2.52 ,  'y':  -4.08 ,  'r':  0.4 ,  'type':  1}]
60202,1398777773.6516175,[{'idp':  58 ,  'x':  2.52 ,  'y':  -4.08 ,  'r':  0.4 ,  'type':  1}]
60203,1398777773.6516495,[{'idp':  58 ,  'x':  2.52 ,  'y':  -4.08 ,  'r':  0.4 ,  'type':  1}]
60204,1398777773.6916113,[{'idp':  58 ,  'x':  2.52 ,  'y':  -4.07 ,  'r':  0.4 ,  'type':  1}]
60205,1398777773.6995745,[{'idp':  58 ,  'x':  2.54 ,  'y':  -4.06 ,  'r':  0.4 ,  'type':  1}]
60206,1398777773.7396579,[{'idp':  58 ,  'x':  2.54 ,  'y':  -4.06 ,  'r':  0.4 ,  'type':  1}]
60207,1398777773.7795923,[{'idp':  58 ,  'x':  2.52 ,  'y':  -4.06 ,  'r':  0.4 ,  'type':  1}]
60208,1398777773.7796223,[{'idp':  58 ,  'x':  2.49 ,  'y':  -4.08 ,  'r':  0.4 ,  'type':  1}]
60209,1398777773.8196445,[{'idp':  58 ,  'x':  2.49 ,  'y':  -4.08 ,  'r':  0.4 ,  'type':  1}]
60210,1398777773.8251708,[{'idp':  58 ,  'x':  2.52 ,  'y':  -4.06 ,  'r':  0.4 ,  'type':  1}]
