id,timestamp,circles
62302,1398783141.6722834,[{'idp':  266 ,  'x':  7.83 ,  'y':  1.4 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.72 ,  'y':  0.65 ,  'r':  0.4 ,  'type':  1}]
62303,1398783141.6723166,[{'idp':  266 ,  'x':  7.87 ,  'y':  1.42 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.73 ,  'y':  0.65 ,  'r':  0.4 ,  'type':  1}]
62304,1398783141.7123084,[{'idp':  266 ,  'x':  7.83 ,  'y':  1.43 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.76 ,  'y':  0.65 ,  'r':  0.4 ,  'type':  1}]
62305,1398783141.7183402,[{'idp':  266 ,  'x':  7.83 ,  'y':  1.43 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.77 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62306,1398783141.7563238,[{'idp':  266 ,  'x':  7.86 ,  'y':  1.47 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.78 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62307,1398783141.7962542,[{'idp':  266 ,  'x':  7.87 ,  'y':  1.48 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.82 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62308,1398783141.7962847,[{'idp':  266 ,  'x':  7.87 ,  'y':  1.44 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.84 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62309,1398783141.8363516,[{'idp':  266 ,  'x':  7.88 ,  'y':  1.44 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.86 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62310,1398783141.8432457,[{'idp':  266 ,  'x':  7.88 ,  'y':  1.48 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.89 ,  'y':  0.65 ,  'r':  0.4 ,  'type':  1}]
62311,1398783141.8802488,[{'idp':  266 ,  'x':  7.92 ,  'y':  1.5 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.89 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62312,1398783141.9202993,[{'idp':  266 ,  'x':  7.91 ,  'y':  1.52 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.92 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62313,1398783141.9203267,[{'idp':  266 ,  'x':  7.94 ,  'y':  1.52 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.94 ,  'y':  0.63 ,  'r':  0.4 ,  'type':  1}]
62314,1398783141.9602294,[{'idp':  266 ,  'x':  7.95 ,  'y':  1.53 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.95 ,  'y':  0.61 ,  'r':  0.4 ,  'type':  1}]
62315,1398783141.9682248,[{'idp':  266 ,  'x':  8.0 ,  'y':  1.55 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.96 ,  'y':  0.59 ,  'r':  0.4 ,  'type':  1}]
62316,1398783142.0082948,[{'idp':  266 ,  'x':  7.97 ,  'y':  1.57 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.97 ,  'y':  0.58 ,  'r':  0.4 ,  'type':  1}]
62317,1398783142.0482934,[{'idp':  266 ,  'x':  8.0 ,  'y':  1.57 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.97 ,  'y':  0.54 ,  'r':  0.4 ,  'type':  1}]
62318,1398783142.0483294,[{'idp':  266 ,  'x':  8.03 ,  'y':  1.58 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.98 ,  'y':  0.54 ,  'r':  0.4 ,  'type':  1}]
62319,1398783142.0883055,[{'idp':  266 ,  'x':  8.07 ,  'y':  1.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.97 ,  'y':  0.54 ,  'r':  0.4 ,  'type':  1}]
62320,1398783142.093396,[{'idp':  266 ,  'x':  8.07 ,  'y':  1.6 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.97 ,  'y':  0.52 ,  'r':  0.4 ,  'type':  1}]
62321,1398783142.132189,[{'idp':  266 ,  'x':  8.07 ,  'y':  1.64 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.98 ,  'y':  0.53 ,  'r':  0.4 ,  'type':  1}]
62322,1398783142.172242,[{'idp':  266 ,  'x':  8.05 ,  'y':  1.64 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.99 ,  'y':  0.5 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.69 ,  'y':  2.21 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.98 ,  'y':  1.08 ,  'r':  0.4 ,  'type':  1}]
62334,1398783142.4602861,[{'idp':  266 ,  'x':  8.15 ,  'y':  1.68 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.16 ,  'y':  0.42 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.4 ,  'y':  2.24 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.93 ,  'y':  1.11 ,  'r':  0.4 ,  'type':  1}]
62335,1398783142.467787,[{'idp':  266 ,  'x':  8.18 ,  'y':  1.74 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.19 ,  'y':  0.44 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.37 ,  'y':  2.27 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.9 ,  'y':  1.12 ,  'r':  0.4 ,  'type':  1}]
62336,1398783142.5042398,[{'idp':  266 ,  'x':  8.17 ,  'y':  1.72 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.2 ,  'y':  0.47 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.37 ,  'y':  2.27 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.88 ,  'y':  1.15 ,  'r':  0.4 ,  'type':  1}]
62337,1398783142.5441968,[{'idp':  266 ,  'x':  8.18 ,  'y':  1.74 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.23 ,  'y':  0.46 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.36 ,  'y':  2.27 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.88 ,  'y':  1.15 ,  'r':  0.4 ,  'type':  1}]
62338,1398783142.544227,[{'idp':  266 ,  'x':  8.2 ,  'y':  1.73 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.24 ,  'y':  0.46 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.35 ,  'y':  2.26 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.88 ,  'y':  1.15 ,  'r':  0.4 ,  'type':  1}]
62339,1398783142.584348,[{'idp':  266 ,  'x':  8.18 ,  'y':  1.72 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.22 ,  'y':  0.49 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.34 ,  'y':  2.26 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.87 ,  'y':  1.15 ,  'r':  0.4 ,  'type':  1}]
62340,1398783142.593136,[{'idp':  266 ,  'x':  8.2 ,  'y':  1.75 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.22 ,  'y':  0.49 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.36 ,  'y':  2.25 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.88 ,  'y':  1.17 ,  'r':  0.4 ,  'type':  1}]
62341,1398783142.6322732,[{'idp':  266 ,  'x':  8.29 ,  'y':  1.78 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.23 ,  'y':  0.49 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.37 ,  'y':  2.22 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.91 ,  'y':  1.19 ,  'r':  0.4 ,  'type':  1}]
62342,1398783142.6723251,[{'idp':  266 ,  'x':  8.27 ,  'y':  1.82 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.2 ,  'y':  0.5 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.4 ,  'y':  2.21 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.03 ,  'y':  1.21 ,  'r':  0.4 ,  'type':  1}]
62343,1398783142.6723561,[{'idp':  266 ,  'x':  8.27 ,  'y':  1.83 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.23 ,  'y':  0.5 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.4 ,  'y':  2.21 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.09 ,  'y':  1.23 ,  'r':  0.4 ,  'type':  1}]
62344,1398783142.7123237,[{'idp':  266 ,  'x':  8.28 ,  'y':  1.86 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.21 ,  'y':  0.54 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.39 ,  'y':  2.24 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.12 ,  'y':  1.27 ,  'r':  0.4 ,  'type':  1}]
62345,1398783142.7181864,[{'idp':  266 ,  'x':  8.29 ,  'y':  1.89 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.24 ,  'y':  0.54 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.4 ,  'y':  2.24 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.13 ,  'y':  1.27 ,  'r':  0.4 ,  'type':  1}]
62346,1398783142.7562978,[{'idp':  266 ,  'x':  8.3 ,  'y':  1.9 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.23 ,  'y':  0.54 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.4 ,  'y':  2.23 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.15 ,  'y':  1.29 ,  'r':  0.4 ,  'type':  1}]
62347,1398783142.7962642,[{'idp':  266 ,  'x':  8.31 ,  'y':  1.86 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.25 ,  'y':  0.54 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.41 ,  'y':  2.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.17 ,  'y':  1.26 ,  'r':  0.4 ,  'type':  1}]
62348,1398783142.7962937,[{'idp':  266 ,  'x':  8.33 ,  'y':  1.87 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.26 ,  'y':  0.54 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.41 ,  'y':  2.18 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.19 ,  'y':  1.27 ,  'r':  0.4 ,  'type':  1}]
62349,1398783142.8362966,[{'idp':  266 ,  'x':  8.35 ,  'y':  1.87 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.29 ,  'y':  0.54 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.41 ,  'y':  2.18 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.23 ,  'y':  1.27 ,  'r':  0.4 ,  'type':  1}]
62350,1398783142.8432248,[{'idp':  266 ,  'x':  8.37 ,  'y':  1.91 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.34 ,  'y':  0.56 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.41 ,  'y':  2.21 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.23 ,  'y':  1.31 ,  'r':  0.4 ,  'type':  1}]
62351,1398783142.8802516,[{'idp':  266 ,  'x':  8.37 ,  'y':  1.93 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.38 ,  'y':  0.6 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.41 ,  'y':  2.23 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.24 ,  'y':  1.33 ,  'r':  0.4 ,  'type':  1}]
62352,1398783142.9202545,[{'idp':  266 ,  'x':  8.38 ,  'y':  1.95 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.4 ,  'y':  0.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.4 ,  'y':  2.24 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.25 ,  'y':  1.34 ,  'r':  0.4 ,  'type':  1}]
62353,1398783142.9202833,[{'idp':  266 ,  'x':  8.4 ,  'y':  1.96 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.41 ,  'y':  0.63 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.39 ,  'y':  2.24 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.26 ,  'y':  1.35 ,  'r':  0.4 ,  'type':  1}]
62354,1398783142.9602888,[{'idp':  266 ,  'x':  8.4 ,  'y':  1.96 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.45 ,  'y':  0.62 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.38 ,  'y':  2.24 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.26 ,  'y':  1.35 ,  'r':  0.4 ,  'type':  1}]
62355,1398783142.9683604,[{'idp':  266 ,  'x':  8.41 ,  'y':  1.96 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.46 ,  'y':  0.62 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.39 ,  'y':  2.24 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.29 ,  'y':  1.35 ,  'r':  0.4 ,  'type':  1}]
62356,1398783143.0082753,[{'idp':  266 ,  'x':  8.41 ,  'y':  1.96 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.47 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.38 ,  'y':  2.24 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.28 ,  'y':  1.35 ,  'r':  0.4 ,  'type':  1}]
62357,1398783143.0481706,[{'idp':  266 ,  'x':  8.37 ,  'y':  1.99 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.49 ,  'y':  0.62 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.37 ,  'y':  2.24 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.3 ,  'y':  1.35 ,  'r':  0.4 ,  'type':  1}]
62358,1398783143.0481925,[{'idp':  266 ,  'x':  8.36 ,  'y':  2.01 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.5 ,  'y':  0.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.36 ,  'y':  2.27 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.29 ,  'y':  1.37 ,  'r':  0.4 ,  'type':  1}]
62359,1398783143.088312,[{'idp':  266 ,  'x':  8.38 ,  'y':  2.01 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.51 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.33 ,  'y':  2.26 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.3 ,  'y':  1.39 ,  'r':  0.4 ,  'type':  1}]
62360,1398783143.0935223,[{'idp':  266 ,  'x':  8.37 ,  'y':  2.01 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.52 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.35 ,  'y':  2.26 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.29 ,  'y':  1.37 ,  'r':  0.4 ,  'type':  1}]
62361,1398783143.1322546,[{'idp':  266 ,  'x':  8.33 ,  'y':  2.0 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.55 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.35 ,  'y':  2.26 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.3 ,  'y':  1.37 ,  'r':  0.4 ,  'type':  1}]
