id,timestamp,circles
30001,1398847436.211884,[{'idp':  1 ,  'x':  0.44 ,  'y':  0.98 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.32 ,  'y':  2.65 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.23 ,  'y':  -2.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  2.19 ,  'y':  -2.99 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  3.15 ,  'y':  -2.9 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.9 ,  'y':  -4.53 ,  'r':  0.4 ,  'type':  1}]
30012,1398847436.499877,[{'idp':  1 ,  'x':  0.19 ,  'y':  0.92 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.13 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.21 ,  'y':  -2.44 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.93 ,  'y':  -2.82 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.83 ,  'y':  -2.87 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.72 ,  'y':  -4.23 ,  'r':  0.4 ,  'type':  1}]
30013,1398847436.4999063,[{'idp':  1 ,  'x':  0.18 ,  'y':  0.91 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.11 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.19 ,  'y':  -2.43 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.91 ,  'y':  -2.81 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.8 ,  'y':  -2.86 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.7 ,  'y':  -4.22 ,  'r':  0.4 ,  'type':  1}]
30014,1398847436.5399587,[{'idp':  1 ,  'x':  0.18 ,  'y':  0.91 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.1 ,  'y':  2.65 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.18 ,  'y':  -2.41 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.9 ,  'y':  -2.81 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.78 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.68 ,  'y':  -4.2 ,  'r':  0.4 ,  'type':  1}]
30015,1398847436.5481102,[{'idp':  1 ,  'x':  0.17 ,  'y':  0.91 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.09 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.16 ,  'y':  -2.39 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.89 ,  'y':  -2.8 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.75 ,  'y':  -2.84 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.65 ,  'y':  -4.18 ,  'r':  0.4 ,  'type':  1}]
30016,1398847436.5878901,[{'idp':  1 ,  'x':  0.17 ,  'y':  0.91 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.07 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.14 ,  'y':  -2.37 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.87 ,  'y':  -2.79 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.72 ,  'y':  -2.82 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.64 ,  'y':  -4.17 ,  'r':  0.4 ,  'type':  1}]
30017,1398847436.627892,[{'idp':  1 ,  'x':  0.16 ,  'y':  0.91 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.06 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.14 ,  'y':  -2.35 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.86 ,  'y':  -2.78 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.71 ,  'y':  -2.82 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.62 ,  'y':  -4.16 ,  'r':  0.4 ,  'type':  1}]
30018,1398847436.6279318,[{'idp':  1 ,  'x':  0.16 ,  'y':  0.92 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.04 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.12 ,  'y':  -2.34 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.85 ,  'y':  -2.76 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.71 ,  'y':  -2.82 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.63 ,  'y':  -4.15 ,  'r':  0.4 ,  'type':  1}]
30019,1398847436.667828,[{'idp':  1 ,  'x':  0.16 ,  'y':  0.92 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.04 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.11 ,  'y':  -2.33 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.83 ,  'y':  -2.75 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.68 ,  'y':  -2.81 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.59 ,  'y':  -4.13 ,  'r':  0.4 ,  'type':  1}]
30020,1398847436.6722262,[{'idp':  1 ,  'x':  0.16 ,  'y':  0.92 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.02 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.09 ,  'y':  -2.32 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.81 ,  'y':  -2.74 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.66 ,  'y':  -2.79 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.58 ,  'y':  -4.13 ,  'r':  0.4 ,  'type':  1}]
30021,1398847436.711797,[{'idp':  1 ,  'x':  0.15 ,  'y':  0.91 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.01 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.08 ,  'y':  -2.3 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.8 ,  'y':  -2.73 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.63 ,  'y':  -2.78 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.54 ,  'y':  -4.1 ,  'r':  0.4 ,  'type':  1}]
30022,1398847436.751922,[{'idp':  1 ,  'x':  0.14 ,  'y':  0.91 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.0 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.06 ,  'y':  -2.29 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.78 ,  'y':  -2.71 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.6 ,  'y':  -2.77 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.53 ,  'y':  -4.1 ,  'r':  0.4 ,  'type':  1}]
30023,1398847436.7519608,[{'idp':  1 ,  'x':  0.14 ,  'y':  0.92 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.99 ,  'y':  2.65 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.05 ,  'y':  -2.28 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.77 ,  'y':  -2.71 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.58 ,  'y':  -2.75 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.52 ,  'y':  -4.08 ,  'r':  0.4 ,  'type':  1}]
30024,1398847436.7919755,[{'idp':  1 ,  'x':  0.13 ,  'y':  0.92 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.98 ,  'y':  2.65 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.04 ,  'y':  -2.28 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.76 ,  'y':  -2.68 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.55 ,  'y':  -2.73 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.5 ,  'y':  -4.06 ,  'r':  0.4 ,  'type':  1}]
30025,1398847436.797106,[{'idp':  1 ,  'x':  0.13 ,  'y':  0.93 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.96 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.03 ,  'y':  -2.26 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.74 ,  'y':  -2.68 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.53 ,  'y':  -2.72 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.49 ,  'y':  -4.05 ,  'r':  0.4 ,  'type':  1}]
30026,1398847436.8358693,[{'idp':  1 ,  'x':  0.12 ,  'y':  0.94 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.95 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.02 ,  'y':  -2.26 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.74 ,  'y':  -2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.5 ,  'y':  -2.72 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.48 ,  'y':  -4.02 ,  'r':  0.4 ,  'type':  1}]
30027,1398847436.8758793,[{'idp':  1 ,  'x':  0.12 ,  'y':  0.95 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.93 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.0 ,  'y':  -2.24 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.72 ,  'y':  -2.65 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.49 ,  'y':  -2.7 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.46 ,  'y':  -4.01 ,  'r':  0.4 ,  'type':  1}]
30028,1398847436.8759072,[{'idp':  1 ,  'x':  0.12 ,  'y':  0.96 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.93 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.0 ,  'y':  -2.23 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.71 ,  'y':  -2.63 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.47 ,  'y':  -2.7 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.43 ,  'y':  -3.99 ,  'r':  0.4 ,  'type':  1}]
30029,1398847436.9158673,[{'idp':  1 ,  'x':  0.11 ,  'y':  0.97 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.92 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  0.98 ,  'y':  -2.22 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.69 ,  'y':  -2.63 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.44 ,  'y':  -2.7 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.41 ,  'y':  -3.97 ,  'r':  0.4 ,  'type':  1}]
30030,1398847436.9214077,[{'idp':  1 ,  'x':  0.11 ,  'y':  0.97 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.91 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  0.97 ,  'y':  -2.21 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.68 ,  'y':  -2.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.41 ,  'y':  -2.7 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.4 ,  'y':  -3.96 ,  'r':  0.4 ,  'type':  1}]
30031,1398847436.9598658,[{'idp':  1 ,  'x':  0.1 ,  'y':  0.98 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.89 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  0.95 ,  'y':  -2.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.67 ,  'y':  -2.6 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.4 ,  'y':  -2.68 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.37 ,  'y':  -3.94 ,  'r':  0.4 ,  'type':  1}]
30032,1398847436.9998772,[{'idp':  1 ,  'x':  0.1 ,  'y':  0.99 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.88 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  0.95 ,  'y':  -2.18 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.66 ,  'y':  -2.59 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.39 ,  'y':  -2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.37 ,  'y':  -3.93 ,  'r':  0.4 ,  'type':  1}]
30033,1398847436.999978,[{'idp':  1 ,  'x':  0.09 ,  'y':  0.99 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.86 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  0.92 ,  'y':  -2.14 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.65 ,  'y':  -2.57 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.38 ,  'y':  -2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.34 ,  'y':  -3.91 ,  'r':  0.4 ,  'type':  1}]
30034,1398847437.0399163,[{'idp':  1 ,  'x':  0.09 ,  'y':  1.0 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.85 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  0.92 ,  'y':  -2.14 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.62 ,  'y':  -2.56 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.35 ,  'y':  -2.64 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.32 ,  'y':  -3.9 ,  'r':  0.4 ,  'type':  1}]
30035,1398847437.0468197,[{'idp':  1 ,  'x':  0.08 ,  'y':  1.01 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.84 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  0.91 ,  'y':  -2.12 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.61 ,  'y':  -2.55 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.33 ,  'y':  -2.63 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.3 ,  'y':  -3.88 ,  'r':  0.4 ,  'type':  1}]
30036,1398847437.0842419,[{'idp':  1 ,  'x':  0.07 ,  'y':  1.01 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.82 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  0.89 ,  'y':  -2.1 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.59 ,  'y':  -2.54 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.31 ,  'y':  -2.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.28 ,  'y':  -3.84 ,  'r':  0.4 ,  'type':  1}]
30037,1398847437.1238804,[{'idp':  1 ,  'x':  0.07 ,  'y':  1.02 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.82 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  0.87 ,  'y':  -2.08 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.58 ,  'y':  -2.52 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.29 ,  'y':  -2.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.25 ,  'y':  -3.82 ,  'r':  0.4 ,  'type':  1}]
30038,1398847437.1239157,[{'idp':  1 ,  'x':  0.07 ,  'y':  1.03 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.81 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  0.86 ,  'y':  -2.06 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.57 ,  'y':  -2.51 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.28 ,  'y':  -2.59 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.23 ,  'y':  -3.8 ,  'r':  0.4 ,  'type':  1}]
30039,1398847437.1638515,[{'idp':  1 ,  'x':  0.06 ,  'y':  1.03 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.79 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  0.84 ,  'y':  -2.04 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.55 ,  'y':  -2.5 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.27 ,  'y':  -2.57 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.22 ,  'y':  -3.78 ,  'r':  0.4 ,  'type':  1}]
30040,1398847437.171775,[{'idp':  1 ,  'x':  0.05 ,  'y':  1.03 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  1.78 ,  'y':  2.68 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  0.83 ,  'y':  -2.02 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.53 ,  'y':  -2.49 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.26 ,  'y':  -2.57 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.2 ,  'y':  -3.76 ,  'r':  0.4 ,  'type':  1}]
