id,timestamp,circles
26201,1398855274.5657456,[{'idp': 1, 'x': 4.25, 'y': 0.8749999999999991, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.416666666666666, 'y': 1.6666666666666674, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.25, 'y': 0.541666666666667, 'r': 0.3999999999999999, 'type': 1}]
26212,1398855274.8537555,[{'idp': 1, 'x': 4.429181200912251, 'y': 1.0474431166932385, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.463279582302269, 'y': 1.622375768665476, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.131478290952188, 'y': 0.6181823852961554, 'r': 0.3999999999999999, 'type': 1}]
26213,1398855274.8537877,[{'idp': 1, 'x': 4.435140433496105, 'y': 1.0606076932239161, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.490662192948431, 'y': 1.609706435741407, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.132467865414887, 'y': 0.5981648236059822, 'r': 0.3999999999999999, 'type': 1}]
26214,1398855274.8937857,[{'idp': 1, 'x': 4.454880984576894, 'y': 1.065280733005256, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.525939159935264, 'y': 1.610782687814838, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.108414551648778, 'y': 0.5968446675540728, 'r': 0.3999999999999999, 'type': 1}]
26215,1398855274.9017172,[{'idp': 1, 'x': 4.472282006219412, 'y': 1.069386826629728, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.514993728289287, 'y': 1.6069942589918718, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.118493162488335, 'y': 0.5973426795430203, 'r': 0.3999999999999999, 'type': 1}]
26216,1398855274.9417331,[{'idp': 1, 'x': 4.49090338618126, 'y': 1.0741960117121474, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.528107941837092, 'y': 1.6113991030089392, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.097738236569107, 'y': 0.6162180003862439, 'r': 0.3999999999999999, 'type': 1}]
26217,1398855274.9818227,[{'idp': 1, 'x': 4.502341747185577, 'y': 1.087715301666392, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.54309381118555, 'y': 1.616756789265803, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.081695378353047, 'y': 0.6348717758768196, 'r': 0.3999999999999999, 'type': 1}]
26218,1398855274.9818509,[{'idp': 1, 'x': 4.538082601994972, 'y': 1.0844702332665235, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.5542206089140596, 'y': 1.610055529223875, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.084677834602964, 'y': 0.6149173276895792, 'r': 0.3999999999999999, 'type': 1}]
26219,1398855275.021762,[{'idp': 1, 'x': 4.548037113620524, 'y': 1.0871710940838808, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.5405537913932115, 'y': 1.6056189727941939, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.044154360624958, 'y': 0.6322351282702932, 'r': 0.3999999999999999, 'type': 1}]
26220,1398855275.0266035,[{'idp': 1, 'x': 4.580637366565368, 'y': 1.0855763490469572, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.515377282189299, 'y': 1.5563018446576793, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.04842101924533, 'y': 0.6325004736951123, 'r': 0.3999999999999999, 'type': 1}]
26221,1398855275.0657563,[{'idp': 1, 'x': 4.590717860235198, 'y': 1.0885696383979138, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.375, 'y': 1.6250000000000009, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.051518140267872, 'y': 0.632473714430557, 'r': 0.3999999999999999, 'type': 1}]
26222,1398855275.1057398,[{'idp': 1, 'x': 4.626294522501368, 'y': 1.0874473080579605, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.534846111926472, 'y': 1.55026495983567, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.025401536867845, 'y': 0.6306943826415568, 'r': 0.3999999999999999, 'type': 1}]
26223,1398855275.1057694,[{'idp': 1, 'x': 4.647798580044952, 'y': 1.0823493710590615, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.5887789364747285, 'y': 1.4714450176623894, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.007449856356205, 'y': 0.62940647898869, 'r': 0.3999999999999999, 'type': 1}]
26224,1398855275.145789,[{'idp': 1, 'x': 4.657087787116012, 'y': 1.0851552335350068, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.750000000000001, 'y': 1.708333333333334, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.01659903590447, 'y': 0.6301623414781621, 'r': 0.3999999999999999, 'type': 1}]
26225,1398855275.1523187,[{'idp': 1, 'x': 4.680234813376907, 'y': 1.0912723712997097, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.692339162701922, 'y': 1.6048994131673666, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.979949766616075, 'y': 0.6278126998408351, 'r': 0.3999999999999999, 'type': 1}]
26226,1398855275.1897383,[{'idp': 1, 'x': 4.700239937294464, 'y': 1.1191347609470959, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.875, 'y': 1.7500000000000004, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.978041451773409, 'y': 0.6277404919479301, 'r': 0.3999999999999999, 'type': 1}]
26227,1398855275.229733,[{'idp': 1, 'x': 4.736057359068191, 'y': 1.157679402527565, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.768492003404397, 'y': 1.6077094482704046, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.961740569944538, 'y': 0.6460012483648137, 'r': 0.3999999999999999, 'type': 1}]
26228,1398855275.229763,[{'idp': 1, 'x': 4.770878238910894, 'y': 1.2227865385288905, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.791666666666668, 'y': 1.875, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.934159362307474, 'y': 0.6245948214081043, 'r': 0.3999999999999999, 'type': 1}]
26229,1398855275.2697048,[{'idp': 1, 'x': 4.750000000000001, 'y': 0.9166666666666656, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.825095290978081, 'y': 1.6144171842698918, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.93510044944123, 'y': 0.6442346152623246, 'r': 0.3999999999999999, 'type': 1}]
26230,1398855275.277799,[{'idp': 1, 'x': 4.780999285184267, 'y': 1.1056944523964995, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.8592202579809936, 'y': 1.539833293767241, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.92865322838864, 'y': 0.6630317826044929, 'r': 0.3999999999999999, 'type': 1}]
26231,1398855275.3177655,[{'idp': 1, 'x': 4.791428668753401, 'y': 1.129570721007318, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.958333333333334, 'y': 1.791666666666667, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.89931727579317, 'y': 0.6805296517349779, 'r': 0.3999999999999999, 'type': 1}]
26232,1398855275.3577816,[{'idp': 1, 'x': 4.819929862709009, 'y': 1.1689765470094593, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.862412641684621, 'y': 1.601536493684157, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.900821602599692, 'y': 0.6609885951128236, 'r': 0.3999999999999999, 'type': 1}]
26233,1398855275.3578143,[{'idp': 1, 'x': 4.840902664395785, 'y': 1.2211928735314581, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.875, 'y': 1.875, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.889463066277026, 'y': 0.6605259293741361, 'r': 0.3999999999999999, 'type': 1}]
26234,1398855275.3978307,[{'idp': 1, 'x': 4.881551566067833, 'y': 1.2560909173258605, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.820500217699135, 'y': 1.6343538195853968, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.881262040685385, 'y': 0.6792614170531075, 'r': 0.3999999999999999, 'type': 1}]
26235,1398855275.402654,[{'idp': 1, 'x': 4.833333333333334, 'y': 1.0000000000000009, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.892734394683402, 'y': 1.6017769058307652, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.864684929089911, 'y': 0.6972288616865385, 'r': 0.3999999999999999, 'type': 1}]
26236,1398855275.4416966,[{'idp': 1, 'x': 4.787133849612786, 'y': 1.0960634669360725, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.9356177812984985, 'y': 1.5507941455584318, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.861338292644305, 'y': 0.6968855092209969, 'r': 0.3999999999999999, 'type': 1}]
26237,1398855275.481744,[{'idp': 1, 'x': 4.801944756613539, 'y': 1.099478806586247, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.945024575320982, 'y': 1.5321038308429946, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.835489871389463, 'y': 0.6951177664042363, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.291666666666664, 'y': 1.333333333333333, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.625, 'y': 3.583333333333334, 'r': 0.3999999999999999, 'type': 1}]
26238,1398855275.4817743,[{'idp': 1, 'x': 4.839718733606215, 'y': 1.096866866525259, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.950572572582706, 'y': 1.529833056251002, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.842113397448996, 'y': 0.6955304305810039, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.265528862838789, 'y': 1.3433671590189178, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.660408387693474, 'y': 3.6533121473246677, 'r': 0.3999999999999999, 'type': 1}]
26239,1398855275.5217335,[{'idp': 1, 'x': 4.874359117800933, 'y': 1.093465023798974, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.979948812411443, 'y': 1.5289129473897933, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.813160447520993, 'y': 0.6741319187032779, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.265738038771767, 'y': 1.3434758664212376, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.642797678890004, 'y': 3.6457535007027997, 'r': 0.3999999999999999, 'type': 1}]
26240,1398855275.526894,[{'idp': 1, 'x': 4.941618752244523, 'y': 1.1204967852871328, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.989573689213877, 'y': 1.4929805245231131, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.813108550982394, 'y': 0.6933292626307863, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.258598520026375, 'y': 1.3217256102713293, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.637185557593135, 'y': 3.6348132453594983, 'r': 0.3999999999999999, 'type': 1}]
26241,1398855275.5658603,[{'idp': 1, 'x': 4.952095768018756, 'y': 1.1227946998594307, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.008024367544735, 'y': 1.5011876894604526, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.783190994407342, 'y': 0.6911553387473646, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.22965313455451, 'y': 1.358989853327408, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.663307207860608, 'y': 3.6368211458083755, 'r': 0.3999999999999999, 'type': 1}]
26242,1398855275.6057603,[{'idp': 1, 'x': 4.959262894203873, 'y': 1.1358169120146822, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.009110305602274, 'y': 1.4909947940737545, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.784015555011194, 'y': 0.6911187718455825, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.192389950187291, 'y': 1.3532770204189482, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.660752905103557, 'y': 3.6534037655335205, 'r': 0.3999999999999999, 'type': 1}]
26243,1398855275.6057792,[{'idp': 1, 'x': 4.960708464808503, 'y': 1.1470773311253546, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.0129150746473154, 'y': 1.5266101822202027, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.77017316849704, 'y': 0.728077232124591, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.197841987614808, 'y': 1.3952809338337357, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.609623906434898, 'y': 3.758559441366134, 'r': 0.3999999999999999, 'type': 1}]
26244,1398855275.6458247,[{'idp': 1, 'x': 5.019616381102039, 'y': 1.2130599934121333, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.034811556937959, 'y': 1.5065001588881533, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.757824362556379, 'y': 0.7274137078403187, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.183289851745048, 'y': 1.3932062521455224, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.610763182151642, 'y': 3.7298084455949287, 'r': 0.3999999999999999, 'type': 1}]
26245,1398855275.65272,[{'idp': 1, 'x': 5.0603899658531475, 'y': 1.28590602137439, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.052120560826079, 'y': 1.5209674511375382, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.73882478571089, 'y': 0.725557158839889, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.197018595944769, 'y': 1.3741646291652088, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.5940504442497, 'y': 3.7523022639059778, 'r': 0.3999999999999999, 'type': 1}]
26246,1398855275.6898143,[{'idp': 1, 'x': 5.166666666666666, 'y': 1.0416666666666674, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.083333333333333, 'y': 1.5833333333333321, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.743246697578748, 'y': 0.6877506481984108, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.153084304284612, 'y': 1.3680465749008874, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.598176351567922, 'y': 3.761413199840564, 'r': 0.3999999999999999, 'type': 1}]
26247,1398855275.729695,[{'idp': 1, 'x': 5.075458845167939, 'y': 1.149126334876327, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.09285336604568, 'y': 1.4968890450583805, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.730570710726973, 'y': 0.6866237256727259, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.167942596637634, 'y': 1.349774646127071, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.59578373315276, 'y': 3.733236542038272, 'r': 0.3999999999999999, 'type': 1}]
26248,1398855275.7297268,[{'idp': 2, 'x': 5.101316207411168, 'y': 1.4411910143575235, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.719055122665686, 'y': 0.6858184900197073, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.148645161981028, 'y': 1.3669917210712423, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.592820389861268, 'y': 3.7813048334618826, 'r': 0.3999999999999999, 'type': 1}]
26249,1398855275.7697597,[{'idp': 2, 'x': 5.113961173694537, 'y': 1.384077399650403, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.69513646659538, 'y': 0.7222170864278254, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.121519799212301, 'y': 1.383706435112999, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.594592129969357, 'y': 3.804538794304033, 'r': 0.3999999999999999, 'type': 1}]
26250,1398855275.7772741,[{'idp': 2, 'x': 5.138676965368041, 'y': 1.3734359805406493, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.692783337834625, 'y': 0.7219944964825653, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.127878519744343, 'y': 1.4045050122408997, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.578826477758037, 'y': 3.815442038835788, 'r': 0.3999999999999999, 'type': 1}]
26251,1398855275.813767,[{'idp': 2, 'x': 5.170895212424414, 'y': 1.3573735882317362, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.676933420812972, 'y': 0.7206336887615894, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.096791869494208, 'y': 1.3800403791540639, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.616098505453, 'y': 3.814609260516182, 'r': 0.3999999999999999, 'type': 1}]
26252,1398855275.8577754,[{'idp': 2, 'x': 5.187809868596496, 'y': 1.347202458251997, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.677393224748647, 'y': 0.7205899033585283, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.106230740433425, 'y': 1.3811611906276022, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.618419252895897, 'y': 3.815543185952557, 'r': 0.3999999999999999, 'type': 1}]
26253,1398855275.857799,[{'idp': 2, 'x': 5.206088473597297, 'y': 1.3236132418866164, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.659994250574725, 'y': 0.7192233675056059, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.137456958102506, 'y': 1.3649639100408795, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.613814462165104, 'y': 3.8165372201797543, 'r': 0.3999999999999999, 'type': 1}]
26254,1398855275.8977952,[{'idp': 2, 'x': 5.221535675871037, 'y': 1.2961763606901244, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.651653124071913, 'y': 0.7185991272509096, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.095415971282229, 'y': 1.3997083983642233, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.610134129483631, 'y': 3.8022243400792677, 'r': 0.3999999999999999, 'type': 1}]
26255,1398855275.902711,[{'idp': 2, 'x': 5.245005710498014, 'y': 1.2767593552002676, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.660440419774416, 'y': 0.7193464127784455, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.094550548035302, 'y': 1.399336018595534, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.609192166651688, 'y': 3.846574128632081, 'r': 0.3999999999999999, 'type': 1}]
26256,1398855275.9417248,[{'idp': 2, 'x': 5.249653570472807, 'y': 1.278203489379297, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.63035542167107, 'y': 0.7169643529549119, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.08224060276905, 'y': 1.3974497661284246, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.649270046051294, 'y': 3.8969276638054873, 'r': 0.3999999999999999, 'type': 1}]
26257,1398855275.981771,[{'idp': 2, 'x': 5.248844806389266, 'y': 1.2863576043075375, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.626479706949388, 'y': 0.716409472377344, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.075890643642657, 'y': 1.396884561296614, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.632639093348969, 'y': 3.91135326024036, 'r': 0.3999999999999999, 'type': 1}]
26258,1398855275.9818044,[{'idp': 2, 'x': 5.2540314135636335, 'y': 1.2890827650601389, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.617842969268338, 'y': 0.7160408670702445, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.060833614063737, 'y': 1.3943330986899238, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.653207711617107, 'y': 3.9207736723932696, 'r': 0.3999999999999999, 'type': 1}]
26259,1398855276.021804,[{'idp': 2, 'x': 5.258426273483032, 'y': 1.28985808387436, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.591843758334273, 'y': 0.7138820953999692, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.040712905789698, 'y': 1.391200515301667, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.660424179660165, 'y': 3.946775899011097, 'r': 0.3999999999999999, 'type': 1}]
26260,1398855276.0275624,[{'idp': 2, 'x': 5.24538630104429, 'y': 1.3197988502850322, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.613255679300265, 'y': 0.7152799955554578, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.041498004652235, 'y': 1.390878705863745, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.681139060953182, 'y': 4.002033218279046, 'r': 0.3999999999999999, 'type': 1}]
26261,1398855276.065694,[{'idp': 2, 'x': 5.211597599837656, 'y': 1.3353472824270418, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.577528939041636, 'y': 0.7501629113598063, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 9.003595582109192, 'y': 1.4058018187266041, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.70431013761118, 'y': 4.012846324264792, 'r': 0.3999999999999999, 'type': 1}]
26262,1398855276.105734,[{'idp': 2, 'x': 5.145869919339791, 'y': 1.3864502484283547, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.558785489136563, 'y': 0.748527453949126, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 8.994902880616113, 'y': 1.4044356369851085, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.673310435202737, 'y': 4.044389877078491, 'r': 0.3999999999999999, 'type': 1}]
26263,1398855276.1057634,[{'idp': 2, 'x': 5.13923165621933, 'y': 1.3860290722299728, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 8.547021305412429, 'y': 0.7286747952068007, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 8.984906843779893, 'y': 1.4029889229235093, 'r': 0.3999999999999999, 'type': 1}, {'idp': 5, 'x': 8.70803591848648, 'y': 4.060534624375592, 'r': 0.3999999999999999, 'type': 1}]
