id,timestamp,circles
50000,1398777519.0635653,[{'idp':  1 ,  'x':  5.28 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.36 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50014,1398777519.395592,[{'idp':  1 ,  'x':  5.1 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.27 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50015,1398777519.4355943,[{'idp':  1 ,  'x':  5.1 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.27 ,  'y':  -1.09 ,  'r':  0.2 ,  'type':  1}]
50016,1398777519.435625,[{'idp':  1 ,  'x':  5.1 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.26 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50017,1398777519.4795954,[{'idp':  1 ,  'x':  5.1 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.23 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50018,1398777519.4835038,[{'idp':  1 ,  'x':  5.1 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.22 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50019,1398777519.5196254,[{'idp':  1 ,  'x':  5.08 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.21 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50020,1398777519.5596466,[{'idp':  1 ,  'x':  5.07 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.19 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50021,1398777519.5596802,[{'idp':  1 ,  'x':  5.06 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.18 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50022,1398777519.5996265,[{'idp':  1 ,  'x':  5.03 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.17 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50023,1398777519.608104,[{'idp':  1 ,  'x':  5.02 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.17 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50024,1398777519.6476367,[{'idp':  1 ,  'x':  5.01 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.15 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50025,1398777519.687549,[{'idp':  1 ,  'x':  5.0 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.14 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50026,1398777519.6875796,[{'idp':  1 ,  'x':  4.97 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.14 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50027,1398777519.7275915,[{'idp':  1 ,  'x':  4.99 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.14 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50028,1398777519.7329102,[{'idp':  1 ,  'x':  4.96 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.13 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50029,1398777519.7716155,[{'idp':  1 ,  'x':  4.96 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.12 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50030,1398777519.8115554,[{'idp':  1 ,  'x':  4.98 ,  'y':  -1.02 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.11 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50031,1398777519.8115835,[{'idp':  1 ,  'x':  4.95 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.1 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50032,1398777519.851602,[{'idp':  1 ,  'x':  4.9 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.08 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50033,1398777519.8566256,[{'idp':  1 ,  'x':  4.92 ,  'y':  -1.02 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.07 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50034,1398777519.895549,[{'idp':  1 ,  'x':  4.9 ,  'y':  -1.01 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.06 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50035,1398777519.93558,[{'idp':  1 ,  'x':  4.91 ,  'y':  -1.0 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.06 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50036,1398777519.9356108,[{'idp':  1 ,  'x':  4.88 ,  'y':  -0.96 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.04 ,  'y':  -1.09 ,  'r':  0.2 ,  'type':  1}]
50037,1398777519.975697,[{'idp':  1 ,  'x':  4.86 ,  'y':  -0.93 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.02 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50038,1398777519.9819791,[{'idp':  1 ,  'x':  4.84 ,  'y':  -0.91 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.01 ,  'y':  -1.09 ,  'r':  0.2 ,  'type':  1}]
50039,1398777520.0196354,[{'idp':  1 ,  'x':  4.83 ,  'y':  -0.89 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.01 ,  'y':  -1.09 ,  'r':  0.2 ,  'type':  1}]
50040,1398777520.0595803,[{'idp':  1 ,  'x':  4.81 ,  'y':  -0.86 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.0 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50041,1398777520.0596113,[{'idp':  1 ,  'x':  4.8 ,  'y':  -0.84 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.99 ,  'y':  -1.09 ,  'r':  0.2 ,  'type':  1}]
50042,1398777520.099654,[{'idp':  1 ,  'x':  4.79 ,  'y':  -0.81 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.99 ,  'y':  -1.08 ,  'r':  0.2 ,  'type':  1}]
50043,1398777520.1055055,[{'idp':  1 ,  'x':  4.77 ,  'y':  -0.8 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.97 ,  'y':  -1.08 ,  'r':  0.2 ,  'type':  1}]
50044,1398777520.1436272,[{'idp':  1 ,  'x':  4.76 ,  'y':  -0.79 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.95 ,  'y':  -1.09 ,  'r':  0.2 ,  'type':  1}]
50045,1398777520.1836321,[{'idp':  1 ,  'x':  4.74 ,  'y':  -0.76 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.95 ,  'y':  -1.08 ,  'r':  0.2 ,  'type':  1}]
50046,1398777520.1836538,[{'idp':  1 ,  'x':  4.73 ,  'y':  -0.76 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.94 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50047,1398777520.2236118,[{'idp':  1 ,  'x':  4.72 ,  'y':  -0.76 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.92 ,  'y':  -1.08 ,  'r':  0.2 ,  'type':  1}]
50048,1398777520.2310007,[{'idp':  1 ,  'x':  4.72 ,  'y':  -0.76 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.9 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50049,1398777520.267593,[{'idp':  1 ,  'x':  4.7 ,  'y':  -0.75 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.91 ,  'y':  -1.08 ,  'r':  0.2 ,  'type':  1}]
50050,1398777520.3075533,[{'idp':  1 ,  'x':  4.69 ,  'y':  -0.73 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.9 ,  'y':  -1.08 ,  'r':  0.2 ,  'type':  1}]
50051,1398777520.3075812,[{'idp':  1 ,  'x':  4.67 ,  'y':  -0.73 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.89 ,  'y':  -1.08 ,  'r':  0.2 ,  'type':  1}]
50052,1398777520.3476198,[{'idp':  1 ,  'x':  4.66 ,  'y':  -0.72 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.88 ,  'y':  -1.08 ,  'r':  0.2 ,  'type':  1}]
50053,1398777520.3544984,[{'idp':  1 ,  'x':  4.64 ,  'y':  -0.7 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.86 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50054,1398777520.3915868,[{'idp':  1 ,  'x':  4.62 ,  'y':  -0.7 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.84 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50055,1398777520.431561,[{'idp':  1 ,  'x':  4.62 ,  'y':  -0.7 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.83 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50056,1398777520.431591,[{'idp':  1 ,  'x':  4.59 ,  'y':  -0.69 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.83 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50057,1398777520.4716794,[{'idp':  1 ,  'x':  4.58 ,  'y':  -0.67 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.8 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50058,1398777520.480115,[{'idp':  1 ,  'x':  4.56 ,  'y':  -0.67 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.79 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50059,1398777520.5196614,[{'idp':  1 ,  'x':  4.56 ,  'y':  -0.67 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.77 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50060,1398777520.5596702,[{'idp':  1 ,  'x':  4.55 ,  'y':  -0.67 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.75 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50061,1398777520.5597034,[{'idp':  1 ,  'x':  4.54 ,  'y':  -0.67 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.74 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50062,1398777520.5995805,[{'idp':  1 ,  'x':  4.52 ,  'y':  -0.66 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.74 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50063,1398777520.6051247,[{'idp':  1 ,  'x':  4.5 ,  'y':  -0.65 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.75 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50064,1398777520.6436424,[{'idp':  1 ,  'x':  4.49 ,  'y':  -0.65 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.72 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50065,1398777520.6836448,[{'idp':  1 ,  'x':  4.48 ,  'y':  -0.65 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.7 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50066,1398777520.683677,[{'idp':  1 ,  'x':  4.46 ,  'y':  -0.65 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.69 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50067,1398777520.723593,[{'idp':  1 ,  'x':  4.47 ,  'y':  -0.66 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.69 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50068,1398777520.7293813,[{'idp':  1 ,  'x':  4.45 ,  'y':  -0.66 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.69 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50069,1398777520.76765,[{'idp':  1 ,  'x':  4.43 ,  'y':  -0.64 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.69 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50070,1398777520.8075912,[{'idp':  1 ,  'x':  4.43 ,  'y':  -0.64 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.66 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50071,1398777520.8076208,[{'idp':  1 ,  'x':  4.42 ,  'y':  -0.64 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.65 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50072,1398777520.8476593,[{'idp':  1 ,  'x':  4.4 ,  'y':  -0.63 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.62 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50073,1398777520.8561747,[{'idp':  1 ,  'x':  4.39 ,  'y':  -0.63 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.61 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50074,1398777520.8955448,[{'idp':  1 ,  'x':  4.38 ,  'y':  -0.63 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.6 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50075,1398777520.9355788,[{'idp':  1 ,  'x':  4.37 ,  'y':  -0.62 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.6 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50076,1398777520.9356077,[{'idp':  1 ,  'x':  4.36 ,  'y':  -0.62 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.57 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50077,1398777520.9755747,[{'idp':  1 ,  'x':  4.34 ,  'y':  -0.63 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.57 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50078,1398777520.979379,[{'idp':  1 ,  'x':  4.33 ,  'y':  -0.62 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.55 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50079,1398777521.0156245,[{'idp':  1 ,  'x':  4.33 ,  'y':  -0.64 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.55 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50080,1398777521.0555701,[{'idp':  1 ,  'x':  4.31 ,  'y':  -0.63 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.54 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50081,1398777521.0555952,[{'idp':  1 ,  'x':  4.31 ,  'y':  -0.63 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.51 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50082,1398777521.095611,[{'idp':  1 ,  'x':  4.3 ,  'y':  -0.63 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.51 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50083,1398777521.1037536,[{'idp':  1 ,  'x':  4.3 ,  'y':  -0.63 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.5 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50084,1398777521.1435957,[{'idp':  1 ,  'x':  4.29 ,  'y':  -0.63 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.48 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50085,1398777521.183653,[{'idp':  1 ,  'x':  4.27 ,  'y':  -0.63 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.48 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50086,1398777521.1836822,[{'idp':  1 ,  'x':  4.27 ,  'y':  -0.64 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.45 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50087,1398777521.2235637,[{'idp':  1 ,  'x':  4.26 ,  'y':  -0.64 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.44 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50088,1398777521.228478,[{'idp':  1 ,  'x':  4.25 ,  'y':  -0.64 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.44 ,  'y':  -1.08 ,  'r':  0.2 ,  'type':  1}]
50089,1398777521.2675955,[{'idp':  1 ,  'x':  4.25 ,  'y':  -0.62 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.43 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50090,1398777521.3076441,[{'idp':  1 ,  'x':  4.23 ,  'y':  -0.62 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.41 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50091,1398777521.307665,[{'idp':  1 ,  'x':  4.22 ,  'y':  -0.62 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.4 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50092,1398777521.347626,[{'idp':  1 ,  'x':  4.22 ,  'y':  -0.62 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.38 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50093,1398777521.3531444,[{'idp':  1 ,  'x':  4.21 ,  'y':  -0.63 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.37 ,  'y':  -1.08 ,  'r':  0.2 ,  'type':  1}]
50094,1398777521.391647,[{'idp':  1 ,  'x':  4.21 ,  'y':  -0.63 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.36 ,  'y':  -1.08 ,  'r':  0.2 ,  'type':  1}]
50095,1398777521.4315808,[{'idp':  1 ,  'x':  4.19 ,  'y':  -0.62 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.35 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50096,1398777521.4316127,[{'idp':  1 ,  'x':  4.18 ,  'y':  -0.62 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.34 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50097,1398777521.471664,[{'idp':  1 ,  'x':  4.17 ,  'y':  -0.61 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.33 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50098,1398777521.4781559,[{'idp':  1 ,  'x':  4.17 ,  'y':  -0.61 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.31 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50099,1398777521.5156124,[{'idp':  1 ,  'x':  4.16 ,  'y':  -0.61 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.3 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50100,1398777521.5556018,[{'idp':  1 ,  'x':  4.15 ,  'y':  -0.61 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.3 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50101,1398777521.5556395,[{'idp':  1 ,  'x':  4.14 ,  'y':  -0.61 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.28 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50102,1398777521.5955584,[{'idp':  1 ,  'x':  4.13 ,  'y':  -0.6 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.28 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50103,1398777521.6021328,[{'idp':  1 ,  'x':  4.13 ,  'y':  -0.6 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.26 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50104,1398777521.6395996,[{'idp':  1 ,  'x':  4.14 ,  'y':  -0.59 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.26 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50105,1398777521.6795874,[{'idp':  1 ,  'x':  4.12 ,  'y':  -0.59 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.24 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50106,1398777521.679613,[{'idp':  1 ,  'x':  4.12 ,  'y':  -0.59 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.24 ,  'y':  -1.08 ,  'r':  0.2 ,  'type':  1}]
50107,1398777521.7196183,[{'idp':  1 ,  'x':  4.11 ,  'y':  -0.59 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.22 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50108,1398777521.7260113,[{'idp':  1 ,  'x':  4.09 ,  'y':  -0.58 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.22 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50109,1398777521.7636235,[{'idp':  1 ,  'x':  4.09 ,  'y':  -0.58 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.21 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50110,1398777521.803581,[{'idp':  1 ,  'x':  4.08 ,  'y':  -0.59 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.19 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50111,1398777521.8036106,[{'idp':  1 ,  'x':  4.06 ,  'y':  -0.59 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.17 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50112,1398777521.8435879,[{'idp':  1 ,  'x':  4.07 ,  'y':  -0.58 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.17 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
50113,1398777521.8507738,[{'idp':  1 ,  'x':  4.06 ,  'y':  -0.58 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.16 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50114,1398777521.8875706,[{'idp':  1 ,  'x':  4.05 ,  'y':  -0.58 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  3.15 ,  'y':  -1.07 ,  'r':  0.2 ,  'type':  1}]
