id,timestamp,circles
20000,1398776770.4155736,[{'idp': 140, 'x': 1.474, 'y': -2.125, 'r': 0.4, 'type': 1}]
20001,1398776770.4556096,[{'idp': 140, 'x': 1.481, 'y': -2.144, 'r': 0.4, 'type': 1}]
20002,1398776770.4625306,[{'idp': 140, 'x': 1.479, 'y': -2.167, 'r': 0.4, 'type': 1}]
20003,1398776770.4996445,[{'idp': 140, 'x': 1.5, 'y': -2.18, 'r': 0.4, 'type': 1}]
20004,1398776770.5396183,[{'idp': 140, 'x': 1.497, 'y': -2.198, 'r': 0.4, 'type': 1}]
20005,1398776770.5396466,[{'idp': 140, 'x': 1.491, 'y': -2.222, 'r': 0.4, 'type': 1}]
20006,1398776770.579626,[{'idp': 140, 'x': 1.503, 'y': -2.23, 'r': 0.4, 'type': 1}]
20007,1398776770.5857346,[{'idp': 140, 'x': 1.501, 'y': -2.254, 'r': 0.4, 'type': 1}]
20008,1398776770.6236007,[{'idp': 140, 'x': 1.513, 'y': -2.26, 'r': 0.4, 'type': 1}]
20009,1398776770.6636252,[{'idp': 140, 'x': 1.52, 'y': -2.279, 'r': 0.4, 'type': 1}]
20010,1398776770.6636548,[{'idp': 140, 'x': 1.529, 'y': -2.302, 'r': 0.4, 'type': 1}]
20011,1398776770.7036257,[{'idp': 140, 'x': 1.526, 'y': -2.347, 'r': 0.4, 'type': 1}]
20012,1398776770.7101414,[{'idp': 140, 'x': 1.523, 'y': -2.374, 'r': 0.4, 'type': 1}]
20013,1398776770.7476256,[{'idp': 140, 'x': 1.527, 'y': -2.4, 'r': 0.4, 'type': 1}]
20014,1398776770.7876105,[{'idp': 140, 'x': 1.532, 'y': -2.418, 'r': 0.4, 'type': 1}]
20015,1398776770.787641,[{'idp': 140, 'x': 1.538, 'y': -2.445, 'r': 0.4, 'type': 1}]
20016,1398776770.8275714,[{'idp': 140, 'x': 1.544, 'y': -2.466, 'r': 0.4, 'type': 1}]
20017,1398776770.8352954,[{'idp': 140, 'x': 1.547, 'y': -2.486, 'r': 0.4, 'type': 1}]
20018,1398776770.8716986,[{'idp': 140, 'x': 1.554, 'y': -2.51, 'r': 0.4, 'type': 1}]
20019,1398776770.9115572,[{'idp': 140, 'x': 1.551, 'y': -2.529, 'r': 0.4, 'type': 1}]
20020,1398776770.9115832,[{'idp': 140, 'x': 1.559, 'y': -2.554, 'r': 0.4, 'type': 1}]
20021,1398776770.951713,[{'idp': 140, 'x': 1.566, 'y': -2.578, 'r': 0.4, 'type': 1}]
20022,1398776770.9600735,[{'idp': 140, 'x': 1.568, 'y': -2.591, 'r': 0.4, 'type': 1}]
20023,1398776770.999656,[{'idp': 140, 'x': 1.584, 'y': -2.606, 'r': 0.4, 'type': 1}]
20024,1398776771.0395563,[{'idp': 140, 'x': 1.596, 'y': -2.612, 'r': 0.4, 'type': 1}]
20025,1398776771.0395863,[{'idp': 140, 'x': 1.601, 'y': -2.619, 'r': 0.4, 'type': 1}]
20026,1398776771.0795968,[{'idp': 140, 'x': 1.615, 'y': -2.63, 'r': 0.4, 'type': 1}]
20027,1398776771.0844598,[{'idp': 140, 'x': 1.622, 'y': -2.641, 'r': 0.4, 'type': 1}]
20028,1398776771.1236153,[{'idp': 140, 'x': 1.626, 'y': -2.648, 'r': 0.4, 'type': 1}]
20029,1398776771.1635952,[{'idp': 140, 'x': 1.635, 'y': -2.662, 'r': 0.4, 'type': 1}]
20030,1398776771.1636252,[{'idp': 140, 'x': 1.649, 'y': -2.686, 'r': 0.4, 'type': 1}]
20031,1398776771.2036445,[{'idp': 140, 'x': 1.667, 'y': -2.727, 'r': 0.4, 'type': 1}]
20032,1398776771.2086537,[{'idp': 140, 'x': 1.686, 'y': -2.772, 'r': 0.4, 'type': 1}]
20033,1398776771.247631,[{'idp': 140, 'x': 1.712, 'y': -2.816, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.484, 'y': -5.908, 'r': 0.4, 'type': 1}]
20053,1398776771.735636,[{'idp': 140, 'x': 2.145, 'y': -3.091, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.267, 'y': -5.923, 'r': 0.4, 'type': 1}]
20054,1398776771.7756295,[{'idp': 140, 'x': 2.177, 'y': -3.121, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.293, 'y': -5.908, 'r': 0.4, 'type': 1}]
20055,1398776771.7811835,[{'idp': 140, 'x': 2.203, 'y': -3.125, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.352, 'y': -5.892, 'r': 0.4, 'type': 1}]
20056,1398776771.8195992,[{'idp': 140, 'x': 2.227, 'y': -3.138, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.402, 'y': -5.86, 'r': 0.4, 'type': 1}]
20057,1398776771.8596265,[{'idp': 140, 'x': 2.26, 'y': -3.151, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.426, 'y': -5.843, 'r': 0.4, 'type': 1}]
20058,1398776771.859673,[{'idp': 140, 'x': 2.267, 'y': -3.166, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.465, 'y': -5.823, 'r': 0.4, 'type': 1}]
20059,1398776771.8996804,[{'idp': 140, 'x': 2.278, 'y': -3.166, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.486, 'y': -5.799, 'r': 0.4, 'type': 1}]
20060,1398776771.9058318,[{'idp': 140, 'x': 2.29, 'y': -3.17, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.52, 'y': -5.799, 'r': 0.4, 'type': 1}]
20061,1398776771.9435248,[{'idp': 140, 'x': 2.309, 'y': -3.178, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.573, 'y': -5.772, 'r': 0.4, 'type': 1}]
20062,1398776771.9837847,[{'idp': 140, 'x': 2.339, 'y': -3.19, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.624, 'y': -5.768, 'r': 0.4, 'type': 1}]
20063,1398776771.9838006,[{'idp': 140, 'x': 2.355, 'y': -3.181, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.665, 'y': -5.75, 'r': 0.4, 'type': 1}]
20064,1398776772.0235977,[{'idp': 140, 'x': 2.389, 'y': -3.197, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.699, 'y': -5.748, 'r': 0.4, 'type': 1}]
20065,1398776772.0301394,[{'idp': 140, 'x': 2.411, 'y': -3.21, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.735, 'y': -5.749, 'r': 0.4, 'type': 1}]
20066,1398776772.0715551,[{'idp': 140, 'x': 2.442, 'y': -3.221, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.764, 'y': -5.739, 'r': 0.4, 'type': 1}]
20067,1398776772.1076887,[{'idp': 140, 'x': 2.45, 'y': -3.219, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.789, 'y': -5.722, 'r': 0.4, 'type': 1}]
20068,1398776772.107741,[{'idp': 140, 'x': 2.468, 'y': -3.214, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.814, 'y': -5.707, 'r': 0.4, 'type': 1}]
20069,1398776772.1476686,[{'idp': 140, 'x': 2.503, 'y': -3.213, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.866, 'y': -5.703, 'r': 0.4, 'type': 1}]
20070,1398776772.1546528,[{'idp': 140, 'x': 2.526, 'y': -3.214, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.918, 'y': -5.699, 'r': 0.4, 'type': 1}]
20071,1398776772.1916122,[{'idp': 140, 'x': 2.551, 'y': -3.23, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.946, 'y': -5.687, 'r': 0.4, 'type': 1}]
20072,1398776772.2317,[{'idp': 140, 'x': 2.568, 'y': -3.223, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.983, 'y': -5.688, 'r': 0.4, 'type': 1}]
20073,1398776772.2317727,[{'idp': 140, 'x': 2.592, 'y': -3.224, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.003, 'y': -5.664, 'r': 0.4, 'type': 1}]
20074,1398776772.2717216,[{'idp': 140, 'x': 2.628, 'y': -3.241, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.049, 'y': -5.65, 'r': 0.4, 'type': 1}]
20075,1398776772.2801855,[{'idp': 140, 'x': 2.667, 'y': -3.26, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.094, 'y': -5.66, 'r': 0.4, 'type': 1}]
20076,1398776772.3196216,[{'idp': 140, 'x': 2.711, 'y': -3.269, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.119, 'y': -5.643, 'r': 0.4, 'type': 1}]
20077,1398776772.3595824,[{'idp': 140, 'x': 2.703, 'y': -3.277, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.154, 'y': -5.666, 'r': 0.4, 'type': 1}]
20078,1398776772.3596075,[{'idp': 140, 'x': 2.754, 'y': -3.276, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.178, 'y': -5.646, 'r': 0.4, 'type': 1}]
20079,1398776772.3996446,[{'idp': 140, 'x': 2.779, 'y': -3.278, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.246, 'y': -5.635, 'r': 0.4, 'type': 1}]
20080,1398776772.4051828,[{'idp': 140, 'x': 2.805, 'y': -3.268, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.293, 'y': -5.646, 'r': 0.4, 'type': 1}]
20081,1398776772.443606,[{'idp': 140, 'x': 2.858, 'y': -3.253, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.348, 'y': -5.616, 'r': 0.4, 'type': 1}]
20082,1398776772.4836385,[{'idp': 140, 'x': 2.877, 'y': -3.263, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.368, 'y': -5.616, 'r': 0.4, 'type': 1}]
20083,1398776772.4837015,[{'idp': 140, 'x': 2.902, 'y': -3.283, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.4, 'y': -5.632, 'r': 0.4, 'type': 1}]
20084,1398776772.5235877,[{'idp': 140, 'x': 2.935, 'y': -3.256, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.452, 'y': -5.572, 'r': 0.4, 'type': 1}]
20085,1398776772.5282645,[{'idp': 140, 'x': 2.951, 'y': -3.294, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.446, 'y': -5.615, 'r': 0.4, 'type': 1}]
20086,1398776772.5675957,[{'idp': 140, 'x': 2.98, 'y': -3.282, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.506, 'y': -5.54, 'r': 0.4, 'type': 1}]
20087,1398776772.607653,[{'idp': 140, 'x': 3.008, 'y': -3.27, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.536, 'y': -5.577, 'r': 0.4, 'type': 1}]
20088,1398776772.6077018,[{'idp': 140, 'x': 3.043, 'y': -3.267, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.564, 'y': -5.512, 'r': 0.4, 'type': 1}]
20089,1398776772.647676,[{'idp': 140, 'x': 3.087, 'y': -3.252, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.611, 'y': -5.494, 'r': 0.4, 'type': 1}]
20090,1398776772.653552,[{'idp': 140, 'x': 3.113, 'y': -3.256, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.64, 'y': -5.457, 'r': 0.4, 'type': 1}]
20091,1398776772.6916854,[{'idp': 140, 'x': 3.142, 'y': -3.213, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.704, 'y': -5.435, 'r': 0.4, 'type': 1}]
20092,1398776772.7316236,[{'idp': 140, 'x': 3.173, 'y': -3.216, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.733, 'y': -5.398, 'r': 0.4, 'type': 1}]
20093,1398776772.7316463,[{'idp': 140, 'x': 3.18, 'y': -3.211, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.753, 'y': -5.396, 'r': 0.4, 'type': 1}]
20094,1398776772.771642,[{'idp': 140, 'x': 3.196, 'y': -3.215, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.774, 'y': -5.373, 'r': 0.4, 'type': 1}]
20095,1398776772.7786722,[{'idp': 140, 'x': 3.228, 'y': -3.203, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.806, 'y': -5.361, 'r': 0.4, 'type': 1}]
20096,1398776772.8155618,[{'idp': 140, 'x': 3.266, 'y': -3.186, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.836, 'y': -5.324, 'r': 0.4, 'type': 1}]
20097,1398776772.8557324,[{'idp': 140, 'x': 3.31, 'y': -3.215, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.878, 'y': -5.301, 'r': 0.4, 'type': 1}]
20098,1398776772.8557525,[{'idp': 140, 'x': 3.351, 'y': -3.226, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.92, 'y': -5.276, 'r': 0.4, 'type': 1}]
20099,1398776772.8955765,[{'idp': 140, 'x': 3.378, 'y': -3.222, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.926, 'y': -5.259, 'r': 0.4, 'type': 1}]
20100,1398776772.903054,[{'idp': 140, 'x': 3.403, 'y': -3.246, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.929, 'y': -5.24, 'r': 0.4, 'type': 1}]
20101,1398776772.9396346,[{'idp': 140, 'x': 3.43, 'y': -3.239, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.966, 'y': -5.234, 'r': 0.4, 'type': 1}]
20102,1398776772.9796536,[{'idp': 140, 'x': 3.448, 'y': -3.23, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 4.998, 'y': -5.199, 'r': 0.4, 'type': 1}]
20103,1398776772.9796834,[{'idp': 140, 'x': 3.489, 'y': -3.211, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.033, 'y': -5.144, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.447, 'y': -3.236, 'r': 0.4, 'type': 1}]
20104,1398776773.0195646,[{'idp': 140, 'x': 3.503, 'y': -3.196, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.062, 'y': -5.085, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.292, 'y': -3.203, 'r': 0.4, 'type': 1}]
20105,1398776773.0273192,[{'idp': 140, 'x': 3.53, 'y': -3.178, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.108, 'y': -5.064, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.345, 'y': -3.155, 'r': 0.4, 'type': 1}]
20106,1398776773.0636642,[{'idp': 140, 'x': 3.553, 'y': -3.156, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.136, 'y': -5.004, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.345, 'y': -3.126, 'r': 0.4, 'type': 1}]
20107,1398776773.1036654,[{'idp': 140, 'x': 3.592, 'y': -3.149, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.152, 'y': -4.954, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.358, 'y': -3.078, 'r': 0.4, 'type': 1}]
20108,1398776773.1036875,[{'idp': 140, 'x': 3.611, 'y': -3.138, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.177, 'y': -4.935, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.367, 'y': -3.056, 'r': 0.4, 'type': 1}]
20109,1398776773.1435747,[{'idp': 140, 'x': 3.64, 'y': -3.135, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.2, 'y': -4.891, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.364, 'y': -3.025, 'r': 0.4, 'type': 1}]
20110,1398776773.1520708,[{'idp': 140, 'x': 3.664, 'y': -3.113, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.23, 'y': -4.855, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.378, 'y': -2.979, 'r': 0.4, 'type': 1}]
20111,1398776773.1916862,[{'idp': 140, 'x': 3.695, 'y': -3.097, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.261, 'y': -4.821, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.43, 'y': -2.958, 'r': 0.4, 'type': 1}]
20112,1398776773.2315962,[{'idp': 140, 'x': 3.72, 'y': -3.078, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.308, 'y': -4.779, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.414, 'y': -2.92, 'r': 0.4, 'type': 1}]
20113,1398776773.2316504,[{'idp': 140, 'x': 3.741, 'y': -3.068, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.314, 'y': -4.722, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.414, 'y': -2.883, 'r': 0.4, 'type': 1}]
20114,1398776773.271684,[{'idp': 140, 'x': 3.762, 'y': -3.057, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.356, 'y': -4.718, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.416, 'y': -2.83, 'r': 0.4, 'type': 1}]
20115,1398776773.2764413,[{'idp': 140, 'x': 3.769, 'y': -3.049, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.382, 'y': -4.699, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.416, 'y': -2.83, 'r': 0.4, 'type': 1}]
20116,1398776773.3156338,[{'idp': 140, 'x': 3.794, 'y': -3.042, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.388, 'y': -4.663, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.443, 'y': -2.804, 'r': 0.4, 'type': 1}]
20117,1398776773.3556216,[{'idp': 140, 'x': 3.802, 'y': -3.021, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.39, 'y': -4.624, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.455, 'y': -2.782, 'r': 0.4, 'type': 1}]
20118,1398776773.3556552,[{'idp': 140, 'x': 3.822, 'y': -3.024, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.431, 'y': -4.597, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.43, 'y': -2.753, 'r': 0.4, 'type': 1}]
20119,1398776773.3956306,[{'idp': 140, 'x': 3.844, 'y': -3.028, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.39, 'y': -4.563, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.482, 'y': -2.705, 'r': 0.4, 'type': 1}]
20120,1398776773.4006815,[{'idp': 140, 'x': 3.872, 'y': -3.009, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.47, 'y': -4.549, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.467, 'y': -2.683, 'r': 0.4, 'type': 1}]
20121,1398776773.4395993,[{'idp': 140, 'x': 3.902, 'y': -2.979, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.5, 'y': -4.493, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.523, 'y': -2.636, 'r': 0.4, 'type': 1}]
20122,1398776773.4797382,[{'idp': 140, 'x': 3.922, 'y': -2.94, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.537, 'y': -4.444, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.556, 'y': -2.589, 'r': 0.4, 'type': 1}]
20123,1398776773.4798288,[{'idp': 140, 'x': 3.947, 'y': -2.892, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 5.548, 'y': -4.335, 'r': 0.4, 'type': 1}, {'idp': 142, 'x': 4.561, 'y': -2.552, 'r': 0.4, 'type': 1}]
