id,timestamp,circles
35652,1398694087.5737345,[]
35653,1398694087.578277,[]
35654,1398694087.6176605,[]
35655,1398694087.6576633,[]
35656,1398694087.6576905,[]
35657,1398694087.697802,[]
35658,1398694087.7030413,[]
35659,1398694087.7416728,[]
35660,1398694087.78171,[]
35661,1398694087.7817428,[]
35662,1398694087.8217316,[]
35663,1398694087.8280509,[]
35664,1398694087.86572,[]
35665,1398694087.9057388,[{'idp': 46, 'x': 8.539, 'y': -0.104, 'r': 0.4, 'type': 1}]
35739,1398694089.7376704,[{'idp': 46, 'x': 7.689, 'y': -2.761, 'r': 0.4, 'type': 1}]
35740,1398694089.777658,[{'idp': 46, 'x': 7.646, 'y': -2.802, 'r': 0.4, 'type': 1}]
35741,1398694089.7776885,[{'idp': 46, 'x': 7.641, 'y': -2.819, 'r': 0.4, 'type': 1}]
35742,1398694089.8177373,[{'idp': 46, 'x': 7.617, 'y': -2.867, 'r': 0.4, 'type': 1}]
35743,1398694089.8208954,[{'idp': 46, 'x': 7.522, 'y': -2.85, 'r': 0.4, 'type': 1}]
35744,1398694089.8577406,[{'idp': 46, 'x': 7.549, 'y': -2.974, 'r': 0.4, 'type': 1}]
35745,1398694089.8977118,[{'idp': 46, 'x': 7.49, 'y': -3.008, 'r': 0.4, 'type': 1}]
35746,1398694089.9376748,[{'idp': 46, 'x': 7.508, 'y': -3.015, 'r': 0.4, 'type': 1}]
35747,1398694089.937707,[{'idp': 46, 'x': 7.475, 'y': -3.001, 'r': 0.4, 'type': 1}]
35748,1398694089.9777112,[{'idp': 46, 'x': 7.483, 'y': -3.093, 'r': 0.4, 'type': 1}]
35749,1398694089.9777417,[{'idp': 46, 'x': 7.468, 'y': -3.152, 'r': 0.4, 'type': 1}]
35750,1398694090.0177953,[{'idp': 46, 'x': 7.451, 'y': -3.222, 'r': 0.4, 'type': 1}]
35751,1398694090.021565,[{'idp': 46, 'x': 7.412, 'y': -3.23, 'r': 0.4, 'type': 1}]
35752,1398694090.0577044,[{'idp': 46, 'x': 7.396, 'y': -3.294, 'r': 0.4, 'type': 1}]
35753,1398694090.0976553,[{'idp': 46, 'x': 7.297, 'y': -3.23, 'r': 0.4, 'type': 1}]
35754,1398694090.0976818,[{'idp': 46, 'x': 7.289, 'y': -3.264, 'r': 0.4, 'type': 1}]
35755,1398694090.1378086,[{'idp': 46, 'x': 7.263, 'y': -3.291, 'r': 0.4, 'type': 1}]
35756,1398694090.1457171,[{'idp': 46, 'x': 7.251, 'y': -3.324, 'r': 0.4, 'type': 1}]
35757,1398694090.1856987,[{'idp': 46, 'x': 7.22, 'y': -3.386, 'r': 0.4, 'type': 1}]
35758,1398694090.2257016,[{'idp': 46, 'x': 7.167, 'y': -3.438, 'r': 0.4, 'type': 1}]
35759,1398694090.2257338,[{'idp': 46, 'x': 7.144, 'y': -3.485, 'r': 0.4, 'type': 1}]
35760,1398694090.2657175,[{'idp': 46, 'x': 7.193, 'y': -3.607, 'r': 0.4, 'type': 1}]
35761,1398694090.2701664,[{'idp': 46, 'x': 7.198, 'y': -3.589, 'r': 0.4, 'type': 1}]
35762,1398694090.309709,[{'idp': 46, 'x': 7.192, 'y': -3.606, 'r': 0.4, 'type': 1}]
35763,1398694090.3497133,[{'idp': 46, 'x': 7.168, 'y': -3.594, 'r': 0.4, 'type': 1}]
35764,1398694090.3497365,[{'idp': 46, 'x': 7.142, 'y': -3.64, 'r': 0.4, 'type': 1}]
35765,1398694090.3898368,[{'idp': 46, 'x': 7.133, 'y': -3.675, 'r': 0.4, 'type': 1}]
35766,1398694090.3942955,[{'idp': 46, 'x': 7.116, 'y': -3.685, 'r': 0.4, 'type': 1}]
35767,1398694090.433699,[{'idp': 46, 'x': 7.102, 'y': -3.718, 'r': 0.4, 'type': 1}]
35768,1398694090.4736874,[{'idp': 46, 'x': 7.034, 'y': -3.643, 'r': 0.4, 'type': 1}]
35769,1398694090.4737184,[{'idp': 46, 'x': 6.999, 'y': -3.605, 'r': 0.4, 'type': 1}]
35770,1398694090.5137515,[{'idp': 46, 'x': 6.997, 'y': -3.604, 'r': 0.4, 'type': 1}]
35771,1398694090.5186758,[{'idp': 46, 'x': 6.987, 'y': -3.618, 'r': 0.4, 'type': 1}]
35772,1398694090.5577264,[{'idp': 46, 'x': 6.971, 'y': -3.629, 'r': 0.4, 'type': 1}]
35773,1398694090.5978136,[{'idp': 46, 'x': 6.962, 'y': -3.624, 'r': 0.4, 'type': 1}]
35774,1398694090.597843,[{'idp': 46, 'x': 6.963, 'y': -3.644, 'r': 0.4, 'type': 1}]
35775,1398694090.6377172,[{'idp': 46, 'x': 6.956, 'y': -3.621, 'r': 0.4, 'type': 1}]
35776,1398694090.6431742,[{'idp': 46, 'x': 7.019, 'y': -3.713, 'r': 0.4, 'type': 1}]
35777,1398694090.6816516,[{'idp': 46, 'x': 7.04, 'y': -3.725, 'r': 0.4, 'type': 1}]
35778,1398694090.7217047,[{'idp': 46, 'x': 7.033, 'y': -3.701, 'r': 0.4, 'type': 1}]
35779,1398694090.7217333,[{'idp': 46, 'x': 7.007, 'y': -3.727, 'r': 0.4, 'type': 1}]
35780,1398694090.761708,[{'idp': 46, 'x': 7.005, 'y': -3.725, 'r': 0.4, 'type': 1}]
35781,1398694090.7676847,[{'idp': 46, 'x': 7.006, 'y': -3.726, 'r': 0.4, 'type': 1}]
35782,1398694090.8056626,[{'idp': 46, 'x': 7.006, 'y': -3.726, 'r': 0.4, 'type': 1}]
35783,1398694090.845685,[{'idp': 46, 'x': 6.957, 'y': -3.641, 'r': 0.4, 'type': 1}]
35784,1398694090.8457181,[{'idp': 46, 'x': 6.924, 'y': -3.624, 'r': 0.4, 'type': 1}]
35785,1398694090.8856533,[{'idp': 46, 'x': 6.907, 'y': -3.596, 'r': 0.4, 'type': 1}]
35786,1398694090.8924139,[{'idp': 46, 'x': 6.918, 'y': -3.621, 'r': 0.4, 'type': 1}]
35787,1398694090.929673,[{'idp': 46, 'x': 6.947, 'y': -3.714, 'r': 0.4, 'type': 1}]
35788,1398694090.969687,[{'idp': 46, 'x': 6.954, 'y': -3.738, 'r': 0.4, 'type': 1}]
35789,1398694090.9697175,[{'idp': 46, 'x': 6.955, 'y': -3.738, 'r': 0.4, 'type': 1}]
35790,1398694091.0096843,[{'idp': 46, 'x': 6.951, 'y': -3.736, 'r': 0.4, 'type': 1}]
35791,1398694091.0166733,[{'idp': 46, 'x': 6.951, 'y': -3.736, 'r': 0.4, 'type': 1}]
35792,1398694091.0536823,[{'idp': 46, 'x': 6.948, 'y': -3.715, 'r': 0.4, 'type': 1}]
35793,1398694091.0936975,[{'idp': 46, 'x': 6.946, 'y': -3.713, 'r': 0.4, 'type': 1}]
35794,1398694091.0937219,[{'idp': 46, 'x': 6.933, 'y': -3.706, 'r': 0.4, 'type': 1}]
35795,1398694091.1337233,[{'idp': 46, 'x': 6.94, 'y': -3.73, 'r': 0.4, 'type': 1}]
35796,1398694091.1418996,[{'idp': 46, 'x': 6.926, 'y': -3.742, 'r': 0.4, 'type': 1}]
35797,1398694091.181779,[{'idp': 46, 'x': 6.915, 'y': -3.735, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.246, 'y': 0.063, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.495, 'y': 0.397, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.48, 'y': 3.403, 'r': 0.4, 'type': 1}]
35798,1398694091.2216914,[{'idp': 46, 'x': 6.914, 'y': -3.735, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.263, 'y': 0.018, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.478, 'y': 0.311, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.37, 'y': 3.341, 'r': 0.4, 'type': 1}]
35799,1398694091.2217414,[{'idp': 46, 'x': 6.902, 'y': -3.748, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.302, 'y': -0.018, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.48, 'y': 0.311, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.36, 'y': 3.332, 'r': 0.4, 'type': 1}]
35800,1398694091.26183,[{'idp': 46, 'x': 6.897, 'y': -3.745, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.298, 'y': -0.036, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.442, 'y': 0.293, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.36, 'y': 3.318, 'r': 0.4, 'type': 1}]
35801,1398694091.2668114,[{'idp': 46, 'x': 6.887, 'y': -3.74, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.277, 'y': -0.054, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.426, 'y': 0.259, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.37, 'y': 3.335, 'r': 0.4, 'type': 1}]
35802,1398694091.3057408,[{'idp': 46, 'x': 6.879, 'y': -3.755, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.254, 'y': -0.054, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.454, 'y': 0.26, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.36, 'y': 3.32, 'r': 0.4, 'type': 1}]
35803,1398694091.3457072,[{'idp': 46, 'x': 6.791, 'y': -3.649, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.23, 'y': -0.036, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.382, 'y': 0.274, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.352, 'y': 3.313, 'r': 0.4, 'type': 1}]
35804,1398694091.3457384,[{'idp': 46, 'x': 6.806, 'y': -3.638, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.185, 'y': -0.018, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.344, 'y': 0.272, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.345, 'y': 3.314, 'r': 0.4, 'type': 1}]
35805,1398694091.3856878,[{'idp': 46, 'x': 6.804, 'y': -3.618, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.092, 'y': -0.018, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.336, 'y': 0.272, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.353, 'y': 3.293, 'r': 0.4, 'type': 1}]
35806,1398694091.3916612,[{'idp': 46, 'x': 6.791, 'y': -3.611, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.055, 'y': 0.017, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.332, 'y': 0.272, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.36, 'y': 3.297, 'r': 0.4, 'type': 1}]
35807,1398694091.4296548,[{'idp': 46, 'x': 6.777, 'y': -3.641, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.05, 'y': 0.017, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.329, 'y': 0.272, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.348, 'y': 3.275, 'r': 0.4, 'type': 1}]
35808,1398694091.469862,[{'idp': 46, 'x': 6.754, 'y': -3.629, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.049, 'y': 0.017, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.324, 'y': 0.272, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.361, 'y': 3.273, 'r': 0.4, 'type': 1}]
35809,1398694091.4699016,[{'idp': 46, 'x': 6.768, 'y': -3.637, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.034, 'y': 0.017, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.32, 'y': 0.271, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.354, 'y': 3.273, 'r': 0.4, 'type': 1}]
35810,1398694091.509661,[{'idp': 46, 'x': 6.767, 'y': -3.617, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.031, 'y': 0.017, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.335, 'y': 0.256, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.34, 'y': 3.266, 'r': 0.4, 'type': 1}]
35811,1398694091.5156453,[{'idp': 46, 'x': 6.747, 'y': -3.625, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.017, 'y': 0.017, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.322, 'y': 0.256, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.35, 'y': 3.265, 'r': 0.4, 'type': 1}]
35812,1398694091.5536757,[{'idp': 46, 'x': 6.748, 'y': -3.626, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.014, 'y': 0.017, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.312, 'y': 0.255, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.354, 'y': 3.256, 'r': 0.4, 'type': 1}]
35813,1398694091.5937319,[{'idp': 46, 'x': 6.736, 'y': -3.62, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.026, 'y': 0.017, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.308, 'y': 0.271, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.352, 'y': 3.24, 'r': 0.4, 'type': 1}]
35814,1398694091.5937624,[{'idp': 46, 'x': 6.747, 'y': -3.626, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.021, 'y': 0.035, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.317, 'y': 0.255, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.34, 'y': 3.238, 'r': 0.4, 'type': 1}]
35815,1398694091.6337092,[{'idp': 46, 'x': 6.731, 'y': -3.617, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 8.015, 'y': 0.017, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.301, 'y': 0.255, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.344, 'y': 3.23, 'r': 0.4, 'type': 1}]
35816,1398694091.6409314,[{'idp': 46, 'x': 6.718, 'y': -3.609, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.981, 'y': 0.017, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.297, 'y': 0.239, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.355, 'y': 3.231, 'r': 0.4, 'type': 1}]
35817,1398694091.6777232,[{'idp': 46, 'x': 6.711, 'y': -3.644, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.982, 'y': -0.0, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.327, 'y': 0.224, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.347, 'y': 3.228, 'r': 0.4, 'type': 1}]
35818,1398694091.717783,[{'idp': 46, 'x': 6.691, 'y': -3.633, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.967, 'y': -0.0, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.307, 'y': 0.207, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.35, 'y': 3.218, 'r': 0.4, 'type': 1}]
35819,1398694091.71782,[{'idp': 46, 'x': 6.69, 'y': -3.632, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.969, 'y': -0.018, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.301, 'y': 0.207, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.349, 'y': 3.211, 'r': 0.4, 'type': 1}]
35820,1398694091.757712,[{'idp': 46, 'x': 6.688, 'y': -3.669, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.958, 'y': -0.018, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.3, 'y': 0.207, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.343, 'y': 3.2, 'r': 0.4, 'type': 1}]
35821,1398694091.7649422,[{'idp': 46, 'x': 6.673, 'y': -3.661, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.947, 'y': -0.018, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.322, 'y': 0.176, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.351, 'y': 3.206, 'r': 0.4, 'type': 1}]
35822,1398694091.8016815,[{'idp': 46, 'x': 6.671, 'y': -3.66, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.941, 'y': -0.018, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.296, 'y': 0.191, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.338, 'y': 3.192, 'r': 0.4, 'type': 1}]
35823,1398694091.8417351,[{'idp': 46, 'x': 6.654, 'y': -3.631, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.939, 'y': -0.018, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.296, 'y': 0.191, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.338, 'y': 3.193, 'r': 0.4, 'type': 1}]
35824,1398694091.8417692,[{'idp': 46, 'x': 6.655, 'y': -3.651, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.937, 'y': -0.018, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.298, 'y': 0.191, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.334, 'y': 3.18, 'r': 0.4, 'type': 1}]
35825,1398694091.8816843,[{'idp': 46, 'x': 6.642, 'y': -3.644, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.94, 'y': -0.035, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.327, 'y': 0.176, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.33, 'y': 3.181, 'r': 0.4, 'type': 1}]
35826,1398694091.8890052,[{'idp': 46, 'x': 6.62, 'y': -3.632, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.929, 'y': -0.035, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.351, 'y': 0.144, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.339, 'y': 3.173, 'r': 0.4, 'type': 1}]
35827,1398694091.925784,[{'idp': 46, 'x': 6.631, 'y': -3.638, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.94, 'y': -0.052, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.331, 'y': 0.144, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.339, 'y': 3.176, 'r': 0.4, 'type': 1}]
35828,1398694091.9657097,[{'idp': 46, 'x': 6.637, 'y': -3.622, 'r': 0.4, 'type': 1}, {'idp': 47, 'x': 7.934, 'y': -0.035, 'r': 0.2, 'type': 1}, {'idp': 48, 'x': 7.314, 'y': 0.144, 'r': 0.2, 'type': 1}, {'idp': 49, 'x': 0.324, 'y': 3.161, 'r': 0.4, 'type': 1}]
