id,timestamp,circles
10001,1398846936.7358615,[]
10002,1398846936.7758837,[]
10003,1398846936.7843804,[]
10004,1398846936.8238342,[]
10005,1398846936.8639016,[]
10006,1398846936.8639796,[]
10007,1398846936.903844,[]
10008,1398846936.9090192,[]
10009,1398846936.9478118,[]
10010,1398846936.9878864,[]
10011,1398846936.9879136,[]
10012,1398846937.0278854,[]
10013,1398846937.0340953,[]
10014,1398846937.0718727,[]
10015,1398846937.1120074,[]
10016,1398846937.1120436,[]
10017,1398846937.1518571,[]
10018,1398846937.1582968,[]
10019,1398846937.1957655,[]
10020,1398846937.235862,[]
10021,1398846937.2359536,[]
10022,1398846937.2758832,[]
10023,1398846937.2828832,[]
10024,1398846937.3199189,[]
10025,1398846937.3598278,[{'idp':  1 ,  'x':  5.28 ,  'y':  -7.79 ,  'r':  0.6 ,  'type':  1}]
10071,1398846938.4839635,[{'idp':  1 ,  'x':  3.14 ,  'y':  -7.82 ,  'r':  0.6 ,  'type':  1}]
10072,1398846938.5238714,[{'idp':  1 ,  'x':  3.08 ,  'y':  -7.83 ,  'r':  0.6 ,  'type':  1}]
10073,1398846938.5304048,[{'idp':  1 ,  'x':  3.05 ,  'y':  -7.85 ,  'r':  0.6 ,  'type':  1}]
10074,1398846938.5678866,[{'idp':  1 ,  'x':  3.01 ,  'y':  -7.85 ,  'r':  0.6 ,  'type':  1}]
10075,1398846938.6078794,[{'idp':  1 ,  'x':  2.97 ,  'y':  -7.84 ,  'r':  0.6 ,  'type':  1}]
10076,1398846938.607909,[{'idp':  1 ,  'x':  2.94 ,  'y':  -7.81 ,  'r':  0.6 ,  'type':  1}]
10077,1398846938.6479564,[{'idp':  1 ,  'x':  2.95 ,  'y':  -7.79 ,  'r':  0.6 ,  'type':  1}]
10078,1398846938.656228,[{'idp':  1 ,  'x':  2.95 ,  'y':  -7.77 ,  'r':  0.6 ,  'type':  1}]
10079,1398846938.695881,[{'idp':  1 ,  'x':  2.96 ,  'y':  -7.77 ,  'r':  0.6 ,  'type':  1}]
10080,1398846938.7358859,[{'idp':  1 ,  'x':  2.93 ,  'y':  -7.81 ,  'r':  0.6 ,  'type':  1}]
10081,1398846938.7359164,[{'idp':  1 ,  'x':  2.93 ,  'y':  -7.73 ,  'r':  0.6 ,  'type':  1}]
10082,1398846938.7758791,[{'idp':  1 ,  'x':  2.92 ,  'y':  -7.71 ,  'r':  0.6 ,  'type':  1}]
10083,1398846938.7812738,[{'idp':  1 ,  'x':  2.86 ,  'y':  -7.73 ,  'r':  0.6 ,  'type':  1}]
10084,1398846938.8198705,[{'idp':  1 ,  'x':  2.82 ,  'y':  -7.75 ,  'r':  0.6 ,  'type':  1}]
10085,1398846938.8598087,[{'idp':  1 ,  'x':  2.81 ,  'y':  -7.7 ,  'r':  0.6 ,  'type':  1}]
10086,1398846938.8598742,[{'idp':  1 ,  'x':  2.82 ,  'y':  -7.7 ,  'r':  0.6 ,  'type':  1}]
10087,1398846938.8999572,[{'idp':  1 ,  'x':  2.85 ,  'y':  -7.67 ,  'r':  0.6 ,  'type':  1}]
10088,1398846938.9044025,[{'idp':  1 ,  'x':  2.87 ,  'y':  -7.65 ,  'r':  0.6 ,  'type':  1}]
10089,1398846938.9439185,[{'idp':  1 ,  'x':  2.88 ,  'y':  -7.63 ,  'r':  0.6 ,  'type':  1}]
10090,1398846938.987856,[{'idp':  1 ,  'x':  2.87 ,  'y':  -7.61 ,  'r':  0.6 ,  'type':  1}]
10091,1398846938.9878821,[{'idp':  1 ,  'x':  2.83 ,  'y':  -7.61 ,  'r':  0.6 ,  'type':  1}]
10092,1398846939.0278506,[{'idp':  1 ,  'x':  2.83 ,  'y':  -7.61 ,  'r':  0.6 ,  'type':  1}]
10093,1398846939.0293736,[{'idp':  1 ,  'x':  2.83 ,  'y':  -7.53 ,  'r':  0.6 ,  'type':  1}]
10094,1398846939.0678937,[{'idp':  1 ,  'x':  2.87 ,  'y':  -7.53 ,  'r':  0.6 ,  'type':  1}]
10095,1398846939.1080017,[{'idp':  1 ,  'x':  2.88 ,  'y':  -7.46 ,  'r':  0.6 ,  'type':  1}]
10096,1398846939.1080434,[{'idp':  1 ,  'x':  2.88 ,  'y':  -7.45 ,  'r':  0.6 ,  'type':  1}]
10097,1398846939.1478746,[{'idp':  1 ,  'x':  2.89 ,  'y':  -7.43 ,  'r':  0.6 ,  'type':  1}]
10098,1398846939.1533854,[{'idp':  1 ,  'x':  2.89 ,  'y':  -7.39 ,  'r':  0.6 ,  'type':  1}]
10099,1398846939.1918917,[{'idp':  1 ,  'x':  2.89 ,  'y':  -7.34 ,  'r':  0.6 ,  'type':  1}]
10100,1398846939.2319183,[{'idp':  1 ,  'x':  2.91 ,  'y':  -7.29 ,  'r':  0.6 ,  'type':  1}]
10101,1398846939.2319489,[{'idp':  1 ,  'x':  2.89 ,  'y':  -7.23 ,  'r':  0.6 ,  'type':  1}]
10102,1398846939.2719114,[{'idp':  1 ,  'x':  2.93 ,  'y':  -7.24 ,  'r':  0.6 ,  'type':  1}]
10103,1398846939.2791638,[{'idp':  1 ,  'x':  2.98 ,  'y':  -7.28 ,  'r':  0.6 ,  'type':  1}]
10104,1398846939.3158212,[{'idp':  1 ,  'x':  3.0 ,  'y':  -7.28 ,  'r':  0.6 ,  'type':  1}]
10105,1398846939.3558702,[{'idp':  1 ,  'x':  3.04 ,  'y':  -7.28 ,  'r':  0.6 ,  'type':  1}]
10106,1398846939.355897,[{'idp':  1 ,  'x':  3.01 ,  'y':  -7.26 ,  'r':  0.6 ,  'type':  1}]
10107,1398846939.3958871,[{'idp':  1 ,  'x':  3.0 ,  'y':  -7.23 ,  'r':  0.6 ,  'type':  1}]
10108,1398846939.4040854,[{'idp':  1 ,  'x':  3.05 ,  'y':  -7.19 ,  'r':  0.6 ,  'type':  1}]
10109,1398846939.4439025,[{'idp':  1 ,  'x':  3.07 ,  'y':  -7.15 ,  'r':  0.6 ,  'type':  1}]
10110,1398846939.483845,[{'idp':  1 ,  'x':  3.11 ,  'y':  -7.15 ,  'r':  0.6 ,  'type':  1}]
10111,1398846939.4838765,[{'idp':  1 ,  'x':  3.07 ,  'y':  -7.15 ,  'r':  0.6 ,  'type':  1}]
10112,1398846939.5238352,[{'idp':  1 ,  'x':  3.03 ,  'y':  -7.14 ,  'r':  0.6 ,  'type':  1}]
10113,1398846939.5283017,[{'idp':  1 ,  'x':  3.05 ,  'y':  -7.14 ,  'r':  0.6 ,  'type':  1}]
10114,1398846939.5679684,[{'idp':  1 ,  'x':  3.06 ,  'y':  -7.11 ,  'r':  0.6 ,  'type':  1}]
10115,1398846939.6078224,[{'idp':  1 ,  'x':  3.07 ,  'y':  -7.06 ,  'r':  0.6 ,  'type':  1}]
10116,1398846939.6078756,[{'idp':  1 ,  'x':  3.08 ,  'y':  -7.04 ,  'r':  0.6 ,  'type':  1}]
10117,1398846939.6479175,[{'idp':  1 ,  'x':  3.1 ,  'y':  -7.0 ,  'r':  0.6 ,  'type':  1}]
10118,1398846939.6521504,[{'idp':  1 ,  'x':  3.07 ,  'y':  -6.98 ,  'r':  0.6 ,  'type':  1}]
10119,1398846939.6918528,[{'idp':  1 ,  'x':  3.03 ,  'y':  -6.93 ,  'r':  0.6 ,  'type':  1}]
10120,1398846939.731854,[{'idp':  1 ,  'x':  2.98 ,  'y':  -6.91 ,  'r':  0.6 ,  'type':  1}]
10121,1398846939.7319026,[{'idp':  1 ,  'x':  2.98 ,  'y':  -6.93 ,  'r':  0.6 ,  'type':  1}]
10122,1398846939.771974,[{'idp':  1 ,  'x':  2.99 ,  'y':  -6.95 ,  'r':  0.6 ,  'type':  1}]
10123,1398846939.7763593,[{'idp':  1 ,  'x':  3.01 ,  'y':  -6.93 ,  'r':  0.6 ,  'type':  1}]
10124,1398846939.8158019,[{'idp':  1 ,  'x':  3.03 ,  'y':  -6.88 ,  'r':  0.6 ,  'type':  1}]
10125,1398846939.8558104,[{'idp':  1 ,  'x':  3.07 ,  'y':  -6.85 ,  'r':  0.6 ,  'type':  1}]
10126,1398846939.8558445,[{'idp':  1 ,  'x':  3.04 ,  'y':  -6.84 ,  'r':  0.6 ,  'type':  1}]
10127,1398846939.895876,[{'idp':  1 ,  'x':  3.02 ,  'y':  -6.83 ,  'r':  0.6 ,  'type':  1}]
10128,1398846939.9016309,[{'idp':  1 ,  'x':  2.98 ,  'y':  -6.81 ,  'r':  0.6 ,  'type':  1}]
10129,1398846939.9398754,[{'idp':  1 ,  'x':  3.01 ,  'y':  -6.8 ,  'r':  0.6 ,  'type':  1}]
10130,1398846939.9798825,[{'idp':  1 ,  'x':  3.02 ,  'y':  -6.78 ,  'r':  0.6 ,  'type':  1}]
10131,1398846939.9799058,[{'idp':  1 ,  'x':  3.02 ,  'y':  -6.74 ,  'r':  0.6 ,  'type':  1}]
10132,1398846940.019892,[{'idp':  1 ,  'x':  3.04 ,  'y':  -6.71 ,  'r':  0.6 ,  'type':  1}]
10133,1398846940.0259416,[{'idp':  1 ,  'x':  3.07 ,  'y':  -6.69 ,  'r':  0.6 ,  'type':  1}]
10134,1398846940.0638874,[{'idp':  1 ,  'x':  3.02 ,  'y':  -6.68 ,  'r':  0.6 ,  'type':  1}]
10135,1398846940.107894,[{'idp':  1 ,  'x':  3.01 ,  'y':  -6.67 ,  'r':  0.6 ,  'type':  1}]
10136,1398846940.1079278,[{'idp':  1 ,  'x':  3.02 ,  'y':  -6.66 ,  'r':  0.6 ,  'type':  1}]
10137,1398846940.1479368,[{'idp':  1 ,  'x':  3.03 ,  'y':  -6.65 ,  'r':  0.6 ,  'type':  1}]
10138,1398846940.151028,[{'idp':  1 ,  'x':  3.01 ,  'y':  -6.64 ,  'r':  0.6 ,  'type':  1}]
10139,1398846940.191826,[{'idp':  1 ,  'x':  3.05 ,  'y':  -6.6 ,  'r':  0.6 ,  'type':  1}]
10140,1398846940.2318742,[{'idp':  1 ,  'x':  3.04 ,  'y':  -6.59 ,  'r':  0.6 ,  'type':  1}]
10141,1398846940.2319083,[{'idp':  1 ,  'x':  3.11 ,  'y':  -6.54 ,  'r':  0.6 ,  'type':  1}]
10142,1398846940.271927,[{'idp':  1 ,  'x':  3.02 ,  'y':  -6.53 ,  'r':  0.6 ,  'type':  1}]
10143,1398846940.2762353,[{'idp':  1 ,  'x':  2.98 ,  'y':  -6.51 ,  'r':  0.6 ,  'type':  1}]
10144,1398846940.3158417,[{'idp':  1 ,  'x':  2.99 ,  'y':  -6.48 ,  'r':  0.6 ,  'type':  1}]
10145,1398846940.3558168,[{'idp':  1 ,  'x':  3.0 ,  'y':  -6.46 ,  'r':  0.6 ,  'type':  1}]
10146,1398846940.3558476,[{'idp':  1 ,  'x':  2.97 ,  'y':  -6.45 ,  'r':  0.6 ,  'type':  1}]
10147,1398846940.3959339,[{'idp':  1 ,  'x':  2.98 ,  'y':  -6.39 ,  'r':  0.6 ,  'type':  1}]
10148,1398846940.4000385,[{'idp':  1 ,  'x':  2.93 ,  'y':  -6.39 ,  'r':  0.6 ,  'type':  1}]
10149,1398846940.4399738,[{'idp':  1 ,  'x':  2.94 ,  'y':  -6.34 ,  'r':  0.6 ,  'type':  1}]
10150,1398846940.479846,[{'idp':  1 ,  'x':  2.94 ,  'y':  -6.31 ,  'r':  0.6 ,  'type':  1}]
10151,1398846940.4798813,[{'idp':  1 ,  'x':  2.89 ,  'y':  -6.24 ,  'r':  0.6 ,  'type':  1}]
10152,1398846940.519916,[{'idp':  1 ,  'x':  2.91 ,  'y':  -6.25 ,  'r':  0.6 ,  'type':  1}]
10153,1398846940.5251384,[{'idp':  1 ,  'x':  2.91 ,  'y':  -6.24 ,  'r':  0.6 ,  'type':  1}]
10154,1398846940.5638647,[{'idp':  1 ,  'x':  2.91 ,  'y':  -6.25 ,  'r':  0.6 ,  'type':  1}]
10155,1398846940.6038182,[{'idp':  1 ,  'x':  2.9 ,  'y':  -6.26 ,  'r':  0.6 ,  'type':  1}]
10156,1398846940.6038485,[{'idp':  1 ,  'x':  2.95 ,  'y':  -6.29 ,  'r':  0.6 ,  'type':  1}]
10157,1398846940.6439044,[{'idp':  1 ,  'x':  2.9 ,  'y':  -6.26 ,  'r':  0.6 ,  'type':  1}]
10158,1398846940.649446,[{'idp':  1 ,  'x':  2.97 ,  'y':  -6.26 ,  'r':  0.6 ,  'type':  1}]
10159,1398846940.6879354,[{'idp':  1 ,  'x':  2.96 ,  'y':  -6.23 ,  'r':  0.6 ,  'type':  1}]
10160,1398846940.7278512,[{'idp':  1 ,  'x':  2.94 ,  'y':  -6.19 ,  'r':  0.6 ,  'type':  1}]
10161,1398846940.7278805,[{'idp':  1 ,  'x':  3.01 ,  'y':  -6.19 ,  'r':  0.6 ,  'type':  1}]
10162,1398846940.7679005,[{'idp':  1 ,  'x':  2.96 ,  'y':  -6.17 ,  'r':  0.6 ,  'type':  1}]
10163,1398846940.7745214,[{'idp':  1 ,  'x':  2.96 ,  'y':  -6.14 ,  'r':  0.6 ,  'type':  1}]
10164,1398846940.8118472,[{'idp':  1 ,  'x':  2.96 ,  'y':  -6.12 ,  'r':  0.6 ,  'type':  1}]
10165,1398846940.851852,[{'idp':  1 ,  'x':  2.97 ,  'y':  -6.11 ,  'r':  0.6 ,  'type':  1}]
10166,1398846940.8518848,[{'idp':  1 ,  'x':  3.0 ,  'y':  -6.11 ,  'r':  0.6 ,  'type':  1}]
10167,1398846940.8918924,[{'idp':  1 ,  'x':  2.94 ,  'y':  -6.09 ,  'r':  0.6 ,  'type':  1}]
10168,1398846940.8992712,[{'idp':  1 ,  'x':  2.95 ,  'y':  -6.05 ,  'r':  0.6 ,  'type':  1}]
10169,1398846940.9359007,[{'idp':  1 ,  'x':  2.97 ,  'y':  -6.05 ,  'r':  0.6 ,  'type':  1}]
10170,1398846940.9758937,[{'idp':  1 ,  'x':  2.91 ,  'y':  -5.99 ,  'r':  0.6 ,  'type':  1}]
10171,1398846940.9759324,[{'idp':  1 ,  'x':  2.9 ,  'y':  -5.97 ,  'r':  0.6 ,  'type':  1}]
10172,1398846941.0158606,[{'idp':  1 ,  'x':  2.89 ,  'y':  -5.95 ,  'r':  0.6 ,  'type':  1}]
10173,1398846941.024653,[{'idp':  1 ,  'x':  2.88 ,  'y':  -5.97 ,  'r':  0.6 ,  'type':  1}]
10174,1398846941.063871,[{'idp':  1 ,  'x':  2.89 ,  'y':  -5.96 ,  'r':  0.6 ,  'type':  1}]
10175,1398846941.1038806,[{'idp':  1 ,  'x':  2.87 ,  'y':  -5.95 ,  'r':  0.6 ,  'type':  1}]
10176,1398846941.103916,[{'idp':  1 ,  'x':  2.89 ,  'y':  -5.93 ,  'r':  0.6 ,  'type':  1}]
10177,1398846941.143929,[{'idp':  1 ,  'x':  2.89 ,  'y':  -5.92 ,  'r':  0.6 ,  'type':  1}]
10178,1398846941.1486585,[{'idp':  1 ,  'x':  2.91 ,  'y':  -5.87 ,  'r':  0.6 ,  'type':  1}]
10179,1398846941.1878498,[{'idp':  1 ,  'x':  2.9 ,  'y':  -5.85 ,  'r':  0.6 ,  'type':  1}]
10180,1398846941.2278514,[{'idp':  1 ,  'x':  2.9 ,  'y':  -5.85 ,  'r':  0.6 ,  'type':  1}]
10181,1398846941.2279043,[{'idp':  1 ,  'x':  2.91 ,  'y':  -5.83 ,  'r':  0.6 ,  'type':  1}]
10182,1398846941.2679114,[{'idp':  1 ,  'x':  2.9 ,  'y':  -5.81 ,  'r':  0.6 ,  'type':  1}]
10183,1398846941.2732627,[{'idp':  1 ,  'x':  2.9 ,  'y':  -5.81 ,  'r':  0.6 ,  'type':  1}]
10184,1398846941.3118467,[{'idp':  1 ,  'x':  2.89 ,  'y':  -5.79 ,  'r':  0.6 ,  'type':  1}]
10185,1398846941.3518553,[{'idp':  1 ,  'x':  2.91 ,  'y':  -5.78 ,  'r':  0.6 ,  'type':  1}]
10186,1398846941.3519158,[{'idp':  1 ,  'x':  2.89 ,  'y':  -5.78 ,  'r':  0.6 ,  'type':  1}]
10187,1398846941.3918736,[{'idp':  1 ,  'x':  2.92 ,  'y':  -5.74 ,  'r':  0.6 ,  'type':  1}]
10188,1398846941.398628,[{'idp':  1 ,  'x':  2.94 ,  'y':  -5.74 ,  'r':  0.6 ,  'type':  1}]
10189,1398846941.435873,[{'idp':  1 ,  'x':  2.89 ,  'y':  -5.71 ,  'r':  0.6 ,  'type':  1}]
10190,1398846941.4758325,[{'idp':  1 ,  'x':  2.95 ,  'y':  -5.7 ,  'r':  0.6 ,  'type':  1}]
10191,1398846941.4758835,[{'idp':  1 ,  'x':  2.91 ,  'y':  -5.68 ,  'r':  0.6 ,  'type':  1}]
10192,1398846941.5158405,[{'idp':  1 ,  'x':  2.95 ,  'y':  -5.67 ,  'r':  0.6 ,  'type':  1}]
10193,1398846941.5222278,[{'idp':  1 ,  'x':  2.93 ,  'y':  -5.63 ,  'r':  0.6 ,  'type':  1}]
10194,1398846941.5599074,[{'idp':  1 ,  'x':  2.96 ,  'y':  -5.61 ,  'r':  0.6 ,  'type':  1}]
10195,1398846941.5998318,[{'idp':  1 ,  'x':  2.98 ,  'y':  -5.59 ,  'r':  0.6 ,  'type':  1}]
10196,1398846941.59986,[{'idp':  1 ,  'x':  3.0 ,  'y':  -5.56 ,  'r':  0.6 ,  'type':  1}]
10197,1398846941.6399026,[{'idp':  1 ,  'x':  3.02 ,  'y':  -5.53 ,  'r':  0.6 ,  'type':  1}]
10198,1398846941.6474078,[{'idp':  1 ,  'x':  3.01 ,  'y':  -5.49 ,  'r':  0.6 ,  'type':  1}]
10199,1398846941.6838713,[{'idp':  1 ,  'x':  2.99 ,  'y':  -5.51 ,  'r':  0.6 ,  'type':  1}]
10200,1398846941.7238233,[{'idp':  1 ,  'x':  2.93 ,  'y':  -5.47 ,  'r':  0.6 ,  'type':  1}]
10201,1398846941.7238562,[{'idp':  1 ,  'x':  2.88 ,  'y':  -5.47 ,  'r':  0.6 ,  'type':  1}]
10202,1398846941.7639482,[{'idp':  1 ,  'x':  2.87 ,  'y':  -5.47 ,  'r':  0.6 ,  'type':  1}]
10203,1398846941.7722597,[{'idp':  1 ,  'x':  2.85 ,  'y':  -5.47 ,  'r':  0.6 ,  'type':  1}]
10204,1398846941.811839,[{'idp':  1 ,  'x':  2.89 ,  'y':  -5.47 ,  'r':  0.6 ,  'type':  1}]
10205,1398846941.8518236,[{'idp':  1 ,  'x':  2.9 ,  'y':  -5.47 ,  'r':  0.6 ,  'type':  1}]
10206,1398846941.8518505,[{'idp':  1 ,  'x':  2.88 ,  'y':  -5.48 ,  'r':  0.6 ,  'type':  1}]
10207,1398846941.8918974,[{'idp':  1 ,  'x':  2.89 ,  'y':  -5.49 ,  'r':  0.6 ,  'type':  1}]
10208,1398846941.8963234,[{'idp':  1 ,  'x':  2.9 ,  'y':  -5.48 ,  'r':  0.6 ,  'type':  1}]
10209,1398846941.9358852,[{'idp':  1 ,  'x':  2.89 ,  'y':  -5.49 ,  'r':  0.6 ,  'type':  1}]
10210,1398846941.9759045,[{'idp':  1 ,  'x':  2.9 ,  'y':  -5.5 ,  'r':  0.6 ,  'type':  1}]
10211,1398846941.9759257,[{'idp':  1 ,  'x':  2.88 ,  'y':  -5.51 ,  'r':  0.6 ,  'type':  1}]
10212,1398846942.0158663,[{'idp':  1 ,  'x':  2.9 ,  'y':  -5.5 ,  'r':  0.6 ,  'type':  1}]
10213,1398846942.021035,[{'idp':  1 ,  'x':  2.89 ,  'y':  -5.52 ,  'r':  0.6 ,  'type':  1}]
10214,1398846942.059854,[{'idp':  1 ,  'x':  2.92 ,  'y':  -5.5 ,  'r':  0.6 ,  'type':  1}]
10215,1398846942.09985,[{'idp':  1 ,  'x':  2.93 ,  'y':  -5.52 ,  'r':  0.6 ,  'type':  1}]
10216,1398846942.09988,[{'idp':  1 ,  'x':  2.9 ,  'y':  -5.51 ,  'r':  0.6 ,  'type':  1}]
10217,1398846942.1399074,[{'idp':  1 ,  'x':  2.9 ,  'y':  -5.51 ,  'r':  0.6 ,  'type':  1}]
10218,1398846942.1466553,[{'idp':  1 ,  'x':  2.93 ,  'y':  -5.52 ,  'r':  0.6 ,  'type':  1}]
10219,1398846942.1838045,[{'idp':  1 ,  'x':  2.95 ,  'y':  -5.52 ,  'r':  0.6 ,  'type':  1}]
10220,1398846942.223933,[{'idp':  1 ,  'x':  2.97 ,  'y':  -5.5 ,  'r':  0.6 ,  'type':  1}]
10221,1398846942.2239654,[{'idp':  1 ,  'x':  2.99 ,  'y':  -5.51 ,  'r':  0.6 ,  'type':  1}]
10222,1398846942.263989,[{'idp':  1 ,  'x':  2.98 ,  'y':  -5.51 ,  'r':  0.6 ,  'type':  1}]
10223,1398846942.2705457,[{'idp':  1 ,  'x':  2.98 ,  'y':  -5.51 ,  'r':  0.6 ,  'type':  1}]
10224,1398846942.3079035,[{'idp':  1 ,  'x':  2.98 ,  'y':  -5.51 ,  'r':  0.6 ,  'type':  1}]
