id,timestamp,circles
10000,1398776520.6229799,[{'idp': 54, 'x': 7.838, 'y': -1.919, 'r': 0.4, 'type': 1}]
10071,1398776522.4155989,[{'idp': 54, 'x': 9.742, 'y': -0.298, 'r': 0.4, 'type': 1}]
10072,1398776522.4555671,[{'idp': 54, 'x': 9.744, 'y': -0.297, 'r': 0.4, 'type': 1}]
10073,1398776522.45559,[{'idp': 54, 'x': 9.784, 'y': -0.256, 'r': 0.4, 'type': 1}]
10074,1398776522.4957187,[{'idp': 54, 'x': 9.855, 'y': -0.279, 'r': 0.4, 'type': 1}]
10075,1398776522.5007105,[{'idp': 54, 'x': 9.872, 'y': -0.302, 'r': 0.4, 'type': 1}]
10076,1398776522.539629,[{'idp': 54, 'x': 9.931, 'y': -0.325, 'r': 0.4, 'type': 1}]
10077,1398776522.579609,[{'idp': 54, 'x': 9.951, 'y': -0.326, 'r': 0.4, 'type': 1}]
10078,1398776522.5796397,[{'idp': 54, 'x': 9.981, 'y': -0.349, 'r': 0.4, 'type': 1}]
10079,1398776522.6196449,[{'idp': 54, 'x': 10.016, 'y': -0.35, 'r': 0.4, 'type': 1}]
10080,1398776522.6252553,[{'idp': 54, 'x': 10.051, 'y': -0.395, 'r': 0.4, 'type': 1}]
10081,1398776522.66376,[{'idp': 54, 'x': 10.07, 'y': -0.396, 'r': 0.4, 'type': 1}]
10082,1398776522.7035446,[{'idp': 54, 'x': 10.121, 'y': -0.442, 'r': 0.4, 'type': 1}]
10083,1398776522.7038798,[]
10084,1398776522.74359,[]
10085,1398776522.7504442,[]
10086,1398776522.7875886,[]
10087,1398776522.8275428,[]
10088,1398776522.8276095,[]
10089,1398776522.8675556,[]
10090,1398776522.8756819,[]
10091,1398776522.9156196,[]
10092,1398776522.9554944,[]
10093,1398776522.9555068,[]
10094,1398776522.995648,[]
10095,1398776523.000872,[]
10096,1398776523.0396347,[]
10097,1398776523.0795956,[]
10098,1398776523.0796242,[]
10099,1398776523.1197078,[]
10100,1398776523.126461,[]
10101,1398776523.163554,[]
10102,1398776523.203514,[]
10103,1398776523.2035356,[]
10104,1398776523.2436213,[]
10105,1398776523.2507684,[]
10106,1398776523.2875857,[]
10107,1398776523.3277009,[]
10108,1398776523.3277366,[]
10109,1398776523.3675983,[]
10110,1398776523.3766,[]
10111,1398776523.4156075,[]
10112,1398776523.4556768,[]
10113,1398776523.4557092,[]
10114,1398776523.4956024,[]
10115,1398776523.5009842,[]
10116,1398776523.5396543,[]
10117,1398776523.5795822,[]
10118,1398776523.5796175,[]
10119,1398776523.619644,[]
10120,1398776523.6262455,[]
10121,1398776523.6636484,[{'idp': 55, 'x': 2.526, 'y': 7.578, 'r': 0.4, 'type': 1}]
10122,1398776523.7035496,[{'idp': 55, 'x': 2.641, 'y': 7.463, 'r': 0.4, 'type': 1}]
10123,1398776523.7035785,[{'idp': 55, 'x': 2.64, 'y': 7.409, 'r': 0.4, 'type': 1}]
10124,1398776523.743605,[{'idp': 55, 'x': 2.636, 'y': 7.399, 'r': 0.4, 'type': 1}]
10125,1398776523.7513123,[{'idp': 55, 'x': 2.625, 'y': 7.367, 'r': 0.4, 'type': 1}]
10126,1398776523.7875898,[{'idp': 55, 'x': 2.597, 'y': 7.391, 'r': 0.4, 'type': 1}]
10127,1398776523.8276224,[{'idp': 55, 'x': 2.543, 'y': 7.392, 'r': 0.4, 'type': 1}]
10128,1398776523.8280168,[{'idp': 55, 'x': 2.538, 'y': 7.377, 'r': 0.4, 'type': 1}]
10129,1398776523.8675902,[{'idp': 55, 'x': 2.538, 'y': 7.325, 'r': 0.4, 'type': 1}]
10130,1398776523.8766859,[{'idp': 55, 'x': 2.529, 'y': 7.297, 'r': 0.4, 'type': 1}]
10131,1398776523.915534,[{'idp': 55, 'x': 2.515, 'y': 7.307, 'r': 0.4, 'type': 1}]
10132,1398776523.9555726,[{'idp': 55, 'x': 2.495, 'y': 7.298, 'r': 0.4, 'type': 1}]
10133,1398776523.9556072,[{'idp': 55, 'x': 2.433, 'y': 7.272, 'r': 0.4, 'type': 1}]
10134,1398776523.995617,[{'idp': 55, 'x': 2.4, 'y': 7.224, 'r': 0.4, 'type': 1}]
10135,1398776524.0014536,[{'idp': 55, 'x': 2.407, 'y': 7.191, 'r': 0.4, 'type': 1}]
10136,1398776524.0395834,[{'idp': 55, 'x': 2.377, 'y': 7.154, 'r': 0.4, 'type': 1}]
10137,1398776524.0795655,[{'idp': 55, 'x': 2.329, 'y': 7.11, 'r': 0.4, 'type': 1}]
10138,1398776524.0795898,[{'idp': 55, 'x': 2.345, 'y': 7.105, 'r': 0.4, 'type': 1}]
10139,1398776524.1195323,[{'idp': 55, 'x': 2.296, 'y': 7.059, 'r': 0.4, 'type': 1}]
10140,1398776524.12695,[{'idp': 55, 'x': 2.282, 'y': 7.015, 'r': 0.4, 'type': 1}]
10141,1398776524.163609,[{'idp': 55, 'x': 2.29, 'y': 6.988, 'r': 0.4, 'type': 1}]
10142,1398776524.2035549,[{'idp': 55, 'x': 2.26, 'y': 6.946, 'r': 0.4, 'type': 1}]
10143,1398776524.2036116,[{'idp': 55, 'x': 2.232, 'y': 6.91, 'r': 0.4, 'type': 1}]
10144,1398776524.2436209,[{'idp': 55, 'x': 2.213, 'y': 6.904, 'r': 0.4, 'type': 1}]
10145,1398776524.2522626,[{'idp': 55, 'x': 2.174, 'y': 6.883, 'r': 0.4, 'type': 1}]
10146,1398776524.291631,[{'idp': 55, 'x': 2.179, 'y': 6.901, 'r': 0.4, 'type': 1}]
10147,1398776524.3315396,[{'idp': 55, 'x': 2.193, 'y': 6.894, 'r': 0.4, 'type': 1}]
10148,1398776524.3315687,[{'idp': 55, 'x': 2.225, 'y': 6.94, 'r': 0.4, 'type': 1}]
10149,1398776524.37159,[{'idp': 55, 'x': 2.184, 'y': 6.916, 'r': 0.4, 'type': 1}]
10150,1398776524.3776226,[{'idp': 55, 'x': 2.109, 'y': 6.889, 'r': 0.4, 'type': 1}]
10151,1398776524.4155915,[{'idp': 55, 'x': 2.099, 'y': 6.911, 'r': 0.4, 'type': 1}]
10152,1398776524.4556906,[{'idp': 55, 'x': 2.116, 'y': 6.91, 'r': 0.4, 'type': 1}]
10153,1398776524.4557114,[{'idp': 55, 'x': 2.107, 'y': 6.881, 'r': 0.4, 'type': 1}]
10154,1398776524.4956644,[{'idp': 55, 'x': 2.1, 'y': 6.86, 'r': 0.4, 'type': 1}]
10155,1398776524.5024688,[{'idp': 55, 'x': 2.085, 'y': 6.862, 'r': 0.4, 'type': 1}]
10156,1398776524.5396183,[{'idp': 55, 'x': 2.047, 'y': 6.848, 'r': 0.4, 'type': 1}]
10157,1398776524.579593,[{'idp': 55, 'x': 2.014, 'y': 6.849, 'r': 0.4, 'type': 1}]
10158,1398776524.5796213,[{'idp': 55, 'x': 2.008, 'y': 6.827, 'r': 0.4, 'type': 1}]
10159,1398776524.6195993,[{'idp': 55, 'x': 1.993, 'y': 6.778, 'r': 0.4, 'type': 1}]
10160,1398776524.6277494,[{'idp': 55, 'x': 1.986, 'y': 6.755, 'r': 0.4, 'type': 1}]
10161,1398776524.6676211,[{'idp': 55, 'x': 1.961, 'y': 6.725, 'r': 0.4, 'type': 1}]
10162,1398776524.7075806,[{'idp': 55, 'x': 1.918, 'y': 6.689, 'r': 0.4, 'type': 1}]
10163,1398776524.7076113,[{'idp': 55, 'x': 1.906, 'y': 6.649, 'r': 0.4, 'type': 1}]
10164,1398776524.7476285,[{'idp': 55, 'x': 1.869, 'y': 6.629, 'r': 0.4, 'type': 1}]
10165,1398776524.7535932,[{'idp': 55, 'x': 1.843, 'y': 6.591, 'r': 0.4, 'type': 1}]
10166,1398776524.7915678,[{'idp': 55, 'x': 1.803, 'y': 6.559, 'r': 0.4, 'type': 1}]
10167,1398776524.832827,[{'idp': 55, 'x': 1.755, 'y': 6.498, 'r': 0.4, 'type': 1}]
10168,1398776524.832862,[{'idp': 55, 'x': 1.728, 'y': 6.4, 'r': 0.4, 'type': 1}]
10169,1398776524.8715446,[{'idp': 55, 'x': 1.698, 'y': 6.346, 'r': 0.4, 'type': 1}]
10170,1398776524.8817117,[{'idp': 55, 'x': 1.667, 'y': 6.284, 'r': 0.4, 'type': 1}]
10171,1398776524.9195764,[{'idp': 55, 'x': 1.618, 'y': 6.148, 'r': 0.4, 'type': 1}]
10172,1398776524.9595797,[{'idp': 55, 'x': 1.584, 'y': 6.125, 'r': 0.4, 'type': 1}]
10173,1398776524.9596095,[{'idp': 55, 'x': 1.556, 'y': 6.127, 'r': 0.4, 'type': 1}]
10174,1398776524.9996767,[{'idp': 55, 'x': 1.502, 'y': 6.139, 'r': 0.4, 'type': 1}]
10175,1398776525.0042155,[{'idp': 55, 'x': 1.492, 'y': 6.154, 'r': 0.4, 'type': 1}]
10176,1398776525.0435638,[{'idp': 55, 'x': 1.493, 'y': 6.157, 'r': 0.4, 'type': 1}]
10177,1398776525.0835571,[{'idp': 55, 'x': 1.451, 'y': 6.161, 'r': 0.4, 'type': 1}]
10178,1398776525.083594,[{'idp': 55, 'x': 1.436, 'y': 6.158, 'r': 0.4, 'type': 1}]
10179,1398776525.123603,[{'idp': 55, 'x': 1.407, 'y': 6.155, 'r': 0.4, 'type': 1}]
10180,1398776525.1292455,[{'idp': 55, 'x': 1.413, 'y': 6.181, 'r': 0.4, 'type': 1}]
10181,1398776525.1676466,[{'idp': 55, 'x': 1.404, 'y': 6.204, 'r': 0.4, 'type': 1}]
10182,1398776525.2076204,[{'idp': 55, 'x': 1.386, 'y': 6.187, 'r': 0.4, 'type': 1}]
10183,1398776525.2076569,[{'idp': 55, 'x': 1.378, 'y': 6.153, 'r': 0.4, 'type': 1}]
10184,1398776525.2475965,[{'idp': 55, 'x': 1.373, 'y': 6.19, 'r': 0.4, 'type': 1}]
10185,1398776525.2546878,[{'idp': 55, 'x': 1.366, 'y': 6.218, 'r': 0.4, 'type': 1}]
10186,1398776525.2915463,[{'idp': 55, 'x': 1.319, 'y': 6.139, 'r': 0.4, 'type': 1}]
10187,1398776525.3316262,[{'idp': 55, 'x': 1.318, 'y': 6.134, 'r': 0.4, 'type': 1}]
10188,1398776525.3317034,[{'idp': 55, 'x': 1.316, 'y': 6.126, 'r': 0.4, 'type': 1}]
10189,1398776525.3715758,[{'idp': 55, 'x': 1.309, 'y': 6.16, 'r': 0.4, 'type': 1}]
10190,1398776525.3797338,[{'idp': 55, 'x': 1.285, 'y': 6.182, 'r': 0.4, 'type': 1}]
10191,1398776525.4196098,[{'idp': 55, 'x': 1.261, 'y': 6.202, 'r': 0.4, 'type': 1}]
10192,1398776525.4595878,[{'idp': 55, 'x': 1.199, 'y': 6.247, 'r': 0.4, 'type': 1}]
10193,1398776525.4596207,[{'idp': 55, 'x': 1.192, 'y': 6.213, 'r': 0.4, 'type': 1}]
10194,1398776525.4995914,[{'idp': 55, 'x': 1.165, 'y': 6.217, 'r': 0.4, 'type': 1}]
10195,1398776525.5056043,[{'idp': 55, 'x': 1.171, 'y': 6.172, 'r': 0.4, 'type': 1}]
10196,1398776525.54371,[{'idp': 55, 'x': 1.125, 'y': 6.149, 'r': 0.4, 'type': 1}]
10197,1398776525.5835397,[{'idp': 55, 'x': 1.092, 'y': 6.113, 'r': 0.4, 'type': 1}]
10198,1398776525.5835664,[{'idp': 55, 'x': 1.087, 'y': 6.081, 'r': 0.4, 'type': 1}]
10199,1398776525.6236305,[{'idp': 55, 'x': 1.072, 'y': 6.073, 'r': 0.4, 'type': 1}]
10200,1398776525.630354,[{'idp': 55, 'x': 1.042, 'y': 6.055, 'r': 0.4, 'type': 1}]
10201,1398776525.6676877,[{'idp': 55, 'x': 1.007, 'y': 6.015, 'r': 0.4, 'type': 1}]
10202,1398776525.7075908,[{'idp': 55, 'x': 0.981, 'y': 6.004, 'r': 0.4, 'type': 1}]
10203,1398776525.7076173,[{'idp': 55, 'x': 0.938, 'y': 5.933, 'r': 0.4, 'type': 1}]
10204,1398776525.7476254,[{'idp': 55, 'x': 0.937, 'y': 5.905, 'r': 0.4, 'type': 1}]
10205,1398776525.755758,[{'idp': 55, 'x': 0.913, 'y': 5.855, 'r': 0.4, 'type': 1}]
10206,1398776525.7956216,[{'idp': 55, 'x': 0.875, 'y': 5.812, 'r': 0.4, 'type': 1}]
10207,1398776525.8356411,[{'idp': 55, 'x': 0.844, 'y': 5.793, 'r': 0.4, 'type': 1}]
10208,1398776525.835672,[{'idp': 55, 'x': 0.82, 'y': 5.781, 'r': 0.4, 'type': 1}]
10209,1398776525.87565,[{'idp': 55, 'x': 0.823, 'y': 5.784, 'r': 0.4, 'type': 1}]
10210,1398776525.880745,[{'idp': 55, 'x': 0.826, 'y': 5.819, 'r': 0.4, 'type': 1}]
10211,1398776525.9195983,[{'idp': 55, 'x': 0.842, 'y': 5.822, 'r': 0.4, 'type': 1}]
10212,1398776525.9596066,[{'idp': 55, 'x': 0.875, 'y': 5.829, 'r': 0.4, 'type': 1}]
10213,1398776525.959637,[{'idp': 55, 'x': 0.865, 'y': 5.841, 'r': 0.4, 'type': 1}]
10214,1398776525.999618,[{'idp': 55, 'x': 0.857, 'y': 5.794, 'r': 0.4, 'type': 1}]
10215,1398776526.0065107,[{'idp': 55, 'x': 0.818, 'y': 5.809, 'r': 0.4, 'type': 1}]
10216,1398776526.0436187,[{'idp': 55, 'x': 0.829, 'y': 5.798, 'r': 0.4, 'type': 1}]
10217,1398776526.0835724,[{'idp': 55, 'x': 0.823, 'y': 5.821, 'r': 0.4, 'type': 1}]
10218,1398776526.083593,[{'idp': 55, 'x': 0.775, 'y': 5.78, 'r': 0.4, 'type': 1}]
10219,1398776526.1236007,[{'idp': 55, 'x': 0.747, 'y': 5.762, 'r': 0.4, 'type': 1}]
10220,1398776526.1313553,[{'idp': 55, 'x': 0.746, 'y': 5.739, 'r': 0.4, 'type': 1}]
10221,1398776526.167583,[{'idp': 55, 'x': 0.775, 'y': 5.742, 'r': 0.4, 'type': 1}]
10222,1398776526.2076175,[{'idp': 55, 'x': 0.769, 'y': 5.702, 'r': 0.4, 'type': 1}]
10223,1398776526.2078068,[{'idp': 55, 'x': 0.75, 'y': 5.678, 'r': 0.4, 'type': 1}]
10224,1398776526.247629,[{'idp': 55, 'x': 0.684, 'y': 5.665, 'r': 0.4, 'type': 1}]
10225,1398776526.2571042,[{'idp': 55, 'x': 0.641, 'y': 5.619, 'r': 0.4, 'type': 1}]
10226,1398776526.2955909,[{'idp': 55, 'x': 0.625, 'y': 5.596, 'r': 0.4, 'type': 1}]
10227,1398776526.3355966,[{'idp': 55, 'x': 0.621, 'y': 5.558, 'r': 0.4, 'type': 1}]
10228,1398776526.3356261,[{'idp': 55, 'x': 0.593, 'y': 5.532, 'r': 0.4, 'type': 1}]
10229,1398776526.3756862,[{'idp': 55, 'x': 0.576, 'y': 5.491, 'r': 0.4, 'type': 1}]
10230,1398776526.3823829,[{'idp': 55, 'x': 0.536, 'y': 5.452, 'r': 0.4, 'type': 1}]
10231,1398776526.4196513,[{'idp': 55, 'x': 0.518, 'y': 5.393, 'r': 0.4, 'type': 1}]
10232,1398776526.459632,[{'idp': 55, 'x': 0.467, 'y': 5.349, 'r': 0.4, 'type': 1}]
10233,1398776526.4596553,[{'idp': 55, 'x': 0.425, 'y': 5.26, 'r': 0.4, 'type': 1}]
10234,1398776526.4996145,[{'idp': 55, 'x': 0.384, 'y': 5.163, 'r': 0.4, 'type': 1}]
10235,1398776526.5073502,[{'idp': 55, 'x': 0.354, 'y': 5.195, 'r': 0.4, 'type': 1}]
10236,1398776526.5436003,[{'idp': 55, 'x': 0.332, 'y': 5.197, 'r': 0.4, 'type': 1}]
10237,1398776526.5835357,[{'idp': 55, 'x': 0.298, 'y': 5.2, 'r': 0.4, 'type': 1}]
10238,1398776526.5835621,[{'idp': 55, 'x': 0.3, 'y': 5.217, 'r': 0.4, 'type': 1}]
10239,1398776526.6236134,[{'idp': 55, 'x': 0.263, 'y': 5.183, 'r': 0.4, 'type': 1}]
10240,1398776526.6323283,[{'idp': 55, 'x': 0.243, 'y': 5.226, 'r': 0.4, 'type': 1}]
10241,1398776526.6716278,[{'idp': 55, 'x': 0.222, 'y': 5.271, 'r': 0.4, 'type': 1}]
10242,1398776526.711684,[{'idp': 55, 'x': 0.202, 'y': 5.314, 'r': 0.4, 'type': 1}]
10243,1398776526.7117178,[{'idp': 55, 'x': 0.19, 'y': 5.327, 'r': 0.4, 'type': 1}]
10244,1398776526.7516468,[{'idp': 55, 'x': 0.19, 'y': 5.332, 'r': 0.4, 'type': 1}]
10245,1398776526.7580903,[{'idp': 55, 'x': 0.19, 'y': 5.323, 'r': 0.4, 'type': 1}]
10246,1398776526.795654,[{'idp': 55, 'x': 0.179, 'y': 5.353, 'r': 0.4, 'type': 1}]
10247,1398776526.8356066,[{'idp': 55, 'x': 0.168, 'y': 5.404, 'r': 0.4, 'type': 1}]
10248,1398776526.835638,[{'idp': 55, 'x': 0.156, 'y': 5.384, 'r': 0.4, 'type': 1}]
10249,1398776526.8756447,[{'idp': 55, 'x': 0.156, 'y': 5.388, 'r': 0.4, 'type': 1}]
10250,1398776526.883259,[{'idp': 55, 'x': 0.144, 'y': 5.405, 'r': 0.4, 'type': 1}]
10251,1398776526.9195821,[{'idp': 55, 'x': 0.119, 'y': 5.404, 'r': 0.4, 'type': 1}]
10252,1398776526.959631,[{'idp': 55, 'x': 0.096, 'y': 5.435, 'r': 0.4, 'type': 1}]
10253,1398776526.9596634,[{'idp': 55, 'x': 0.095, 'y': 5.429, 'r': 0.4, 'type': 1}]
10254,1398776526.9995904,[{'idp': 55, 'x': 0.047, 'y': 5.417, 'r': 0.4, 'type': 1}]
10255,1398776527.0085502,[{'idp': 55, 'x': 0.023, 'y': 5.321, 'r': 0.4, 'type': 1}]
10256,1398776527.0476027,[{'idp': 55, 'x': 0.023, 'y': 5.321, 'r': 0.4, 'type': 1}]
10257,1398776527.0876358,[{'idp': 55, 'x': 0.023, 'y': 5.321, 'r': 0.4, 'type': 1}]
10258,1398776527.087652,[{'idp': 55, 'x': 0.023, 'y': 5.321, 'r': 0.4, 'type': 1}]
10259,1398776527.1276028,[{'idp': 55, 'x': 0.023, 'y': 5.321, 'r': 0.4, 'type': 1}]
10260,1398776527.1334794,[{'idp': 55, 'x': 0.023, 'y': 5.321, 'r': 0.4, 'type': 1}]
10261,1398776527.1715915,[]
10262,1398776527.2116237,[]
10263,1398776527.2116537,[]
10264,1398776527.2516975,[]
10265,1398776527.2582405,[]
10266,1398776527.2956028,[]
10267,1398776527.3356555,[]
10268,1398776527.3356872,[]
10269,1398776527.3756533,[]
10270,1398776527.3834226,[]
10271,1398776527.4195564,[]
10272,1398776527.4596384,[]
10273,1398776527.4596674,[]
10274,1398776527.49966,[]
10275,1398776527.5088475,[]
10276,1398776527.5476549,[]
10277,1398776527.587626,[]
10278,1398776527.5876524,[]
10279,1398776527.6276178,[]
10280,1398776527.6335936,[]
10281,1398776527.6716676,[]
10282,1398776527.7115812,[]
10283,1398776527.7116103,[]
10284,1398776527.7515423,[]
10285,1398776527.7587461,[]
10286,1398776527.7956736,[]
10287,1398776527.8355625,[]
10288,1398776527.8356426,[]
10289,1398776527.8756247,[]
10290,1398776527.8832746,[]
10291,1398776527.9196196,[]
10292,1398776527.959614,[]
10293,1398776527.9596472,[]
10294,1398776527.9995847,[]
10295,1398776528.0082922,[]
10296,1398776528.04766,[]
10297,1398776528.0876253,[]
10298,1398776528.0876553,[]
10299,1398776528.1276462,[]
10300,1398776528.1336124,[]
10301,1398776528.1716669,[]
10302,1398776528.2116015,[]
10303,1398776528.2116385,[]
10304,1398776528.2516682,[]
10305,1398776528.259008,[]
10306,1398776528.2955768,[]
