id,timestamp,circles
40001,1398855619.8542423,[{'idp': 1, 'x': 3.291666666666666, 'y': -3.1666666666666665, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.5, 'y': -2.833333333333333, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.875000000000001, 'y': 1.8333333333333335, 'r': 0.3999999999999999, 'type': 1}]
40002,1398855619.8937583,[{'idp': 1, 'x': 3.2848030152519136, 'y': -3.0878009322506283, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.544267168049473, 'y': -2.826388367165684, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.8693119504280906, 'y': 1.8717056524061615, 'r': 0.3999999999999999, 'type': 1}]
40003,1398855619.933768,[{'idp': 1, 'x': 3.2784538679042097, 'y': -3.0684623968643443, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.5598761336619855, 'y': -2.7890418784829007, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.846735513980352, 'y': 1.875046245078218, 'r': 0.3999999999999999, 'type': 1}]
40004,1398855619.933799,[{'idp': 1, 'x': 3.2749186523195184, 'y': -3.0517335382954967, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.565704407522427, 'y': -2.731367357309429, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.8168752325774715, 'y': 1.899545122644135, 'r': 0.3999999999999999, 'type': 1}]
40005,1398855619.973796,[{'idp': 1, 'x': 3.265536022155966, 'y': -3.0301138093439506, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.580684038860831, 'y': -2.6932648426445125, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.7823730694364257, 'y': 1.9209105134813176, 'r': 0.3999999999999999, 'type': 1}]
40006,1398855619.978416,[{'idp': 1, 'x': 3.257898407687525, 'y': -3.009804604754761, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.581335235870776, 'y': -2.6338629814302097, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.7607875713292107, 'y': 1.9419831236916374, 'r': 0.3999999999999999, 'type': 1}]
40007,1398855620.017725,[{'idp': 1, 'x': 3.2511406849675795, 'y': -2.990710176867143, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.5895879582527215, 'y': -2.5933138926750807, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.733540585504124, 'y': 1.9491014349818392, 'r': 0.3999999999999999, 'type': 1}]
40008,1398855620.0578058,[{'idp': 1, 'x': 3.2351215244642684, 'y': -2.9769830802472317, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.59624545825182, 'y': -2.5518274782102415, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.709427032988232, 'y': 1.9589057676485666, 'r': 0.3999999999999999, 'type': 1}]
40009,1398855620.0578384,[{'idp': 1, 'x': 3.2131521174419797, 'y': -2.9708784315517924, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.606338690471551, 'y': -2.5271453530109502, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.6856081995626324, 'y': 1.9773741430996727, 'r': 0.3999999999999999, 'type': 1}]
40010,1398855620.0977566,[{'idp': 1, 'x': 3.211072101602519, 'y': -2.9696486961128565, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.6071031717317315, 'y': -2.4686936970704743, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.6540234711425215, 'y': 1.990168763634217, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.6249999999999996, 'y': 0.8333333333333326, 'r': 0.3999999999999999, 'type': 1}]
40021,1398855620.3530266,[{'idp': 1, 'x': 3.217691952661863, 'y': -2.8052537364273347, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.670415807689098, 'y': -2.023501666528241, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.4971624727095665, 'y': 1.9214176198649424, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.4633840010057417, 'y': 0.9196701183908207, 'r': 0.3999999999999999, 'type': 1}]
40022,1398855620.3897421,[{'idp': 1, 'x': 3.213876841636638, 'y': -2.7877728218622044, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.669009008403654, 'y': -1.995298921342572, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.480686441535893, 'y': 1.9081321483216107, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.4466567581004917, 'y': 0.9175881986930934, 'r': 0.3999999999999999, 'type': 1}]
40023,1398855620.4297936,[{'idp': 1, 'x': 3.204227131574633, 'y': -2.779245741367288, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.671088806996314, 'y': -1.9541680584256338, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.4813276585846755, 'y': 1.9040948876505581, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.4338142058550494, 'y': 0.9268390111704106, 'r': 0.3999999999999999, 'type': 1}]
40024,1398855620.4298255,[{'idp': 1, 'x': 3.2044668260016507, 'y': -2.769955708560957, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.68257257864861, 'y': -1.9168120627658902, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.4680972707987547, 'y': 1.8926716489625561, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.4277288378039685, 'y': 0.9379263145901873, 'r': 0.3999999999999999, 'type': 1}]
40025,1398855620.4698915,[{'idp': 1, 'x': 3.20097688408979, 'y': -2.7669991925126403, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.681933216785455, 'y': -1.8753836419123016, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.489296336948643, 'y': 1.8925230098928858, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.4151965535824105, 'y': 0.9374803066594661, 'r': 0.3999999999999999, 'type': 1}]
40026,1398855620.4786527,[{'idp': 1, 'x': 3.1983310626237693, 'y': -2.765398171850345, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.68463529973239, 'y': -1.8350613779676117, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.482625659637372, 'y': 1.905270732347677, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.4058594705433567, 'y': 0.9470750870914113, 'r': 0.3999999999999999, 'type': 1}]
40027,1398855620.5177407,[{'idp': 1, 'x': 3.1969456500176774, 'y': -2.7500120752445234, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.691486858312349, 'y': -1.7962182450088326, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.4714740579415073, 'y': 1.9139487046266779, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.3951916512249305, 'y': 0.9605535008525012, 'r': 0.3999999999999999, 'type': 1}]
40028,1398855620.5577514,[{'idp': 1, 'x': 3.192908611754295, 'y': -2.7503695940742077, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.6994163615089, 'y': -1.7577724095956615, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.452886602831139, 'y': 1.9196958801076502, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.3793215041888183, 'y': 0.9650809907272406, 'r': 0.3999999999999999, 'type': 1}]
40029,1398855620.5577815,[{'idp': 1, 'x': 3.189484686850288, 'y': -2.7337520325321973, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.687471094371704, 'y': -1.6998927809503561, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.4367867767366946, 'y': 1.9353261900427543, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.364809548947542, 'y': 0.9650892560569546, 'r': 0.3999999999999999, 'type': 1}]
40030,1398855620.597755,[{'idp': 1, 'x': 3.177769894037974, 'y': -2.7281795285625843, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.686127934288592, 'y': -1.6588469579027465, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.424554936310559, 'y': 1.9431522834323367, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.348596854352898, 'y': 0.9703276294173802, 'r': 0.3999999999999999, 'type': 1}]
40031,1398855620.6032124,[{'idp': 1, 'x': 3.165563315750184, 'y': -2.7297839921419396, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.689996537946298, 'y': -1.619843363507224, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.409237282967125, 'y': 1.9563674279311716, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.3282859414602886, 'y': 0.9675148433003633, 'r': 0.3999999999999999, 'type': 1}]
40032,1398855620.6416879,[{'idp': 1, 'x': 3.152148592521684, 'y': -2.718005021921377, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.689379747346239, 'y': -1.5793596431449752, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.39062450133833, 'y': 1.9591281714636954, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.3133692765348512, 'y': 0.961050434433548, 'r': 0.3999999999999999, 'type': 1}]
40033,1398855620.6817396,[{'idp': 1, 'x': 3.141940650002366, 'y': -2.6968943159548973, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.694872728209175, 'y': -1.5409114116109424, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.3782554697839675, 'y': 1.9642989695801338, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.294072448392257, 'y': 0.9523470069540929, 'r': 0.3999999999999999, 'type': 1}]
40034,1398855620.6818268,[{'idp': 1, 'x': 3.128636791877104, 'y': -2.6850669909371194, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.688987029393333, 'y': -1.4993708905167646, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.35473180388589, 'y': 1.9701880953011797, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.2668233625849177, 'y': 0.9462823945854071, 'r': 0.3999999999999999, 'type': 1}]
40035,1398855620.7217548,[{'idp': 1, 'x': 3.1049953275211095, 'y': -2.66414948129425, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.693296385504825, 'y': -1.4609156640423782, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.319491068468007, 'y': 1.9761840886691107, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.227422376871564, 'y': 0.9346160443296303, 'r': 0.3999999999999999, 'type': 1}]
40036,1398855620.728563,[{'idp': 1, 'x': 3.0981979328006815, 'y': -2.6699390196160877, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.685456094703454, 'y': -1.4191326952525851, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.2926906009587666, 'y': 1.9796539921406442, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.240409534697978, 'y': 0.9380658746421555, 'r': 0.3999999999999999, 'type': 1}]
40037,1398855620.7656765,[{'idp': 1, 'x': 3.089809965010133, 'y': -2.6862103676759954, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.68844605211795, 'y': -1.3805843488254332, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.266101504540461, 'y': 1.9920341261202013, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.2416162964444153, 'y': 0.9498609678511549, 'r': 0.3999999999999999, 'type': 1}]
40038,1398855620.8057218,[{'idp': 1, 'x': 3.1126296985374746, 'y': -2.7052365406507803, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.686647921238945, 'y': -1.340598643037041, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.2455356330958987, 'y': 1.9989504595877672, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.241278397319335, 'y': 0.9549557707417633, 'r': 0.3999999999999999, 'type': 1}]
40039,1398855620.8057492,[{'idp': 1, 'x': 3.124775308245662, 'y': -2.703508162974507, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.689619004489845, 'y': -1.3022682093892246, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.211204641127966, 'y': 2.006574262349161, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.2429470948958685, 'y': 0.9603711051587682, 'r': 0.3999999999999999, 'type': 1}]
40040,1398855620.8457146,[{'idp': 1, 'x': 3.142326536855611, 'y': -2.694625890322271, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.682889709627339, 'y': -1.2485049277543048, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.19603661256073, 'y': 2.020003705569835, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.2299509470224477, 'y': 0.9662611989567549, 'r': 0.3999999999999999, 'type': 1}]
40041,1398855620.8536785,[{'idp': 1, 'x': 3.159112831403066, 'y': -2.685003249368644, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.678182892025205, 'y': -1.208452758210392, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.1962329735201513, 'y': 2.019771800447261, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.2313082170564824, 'y': 0.9721413725460759, 'r': 0.3999999999999999, 'type': 1}]
40042,1398855620.8898199,[{'idp': 1, 'x': 3.150797954005067, 'y': -2.677976898900807, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.666254666924802, 'y': -1.154268819181291, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.2642788241538248, 'y': 2.022594950972749, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.2218196067910134, 'y': 0.9798243641178184, 'r': 0.3999999999999999, 'type': 1}]
40043,1398855620.9297776,[{'idp': 1, 'x': 3.156783481814218, 'y': -2.671452033888456, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.674010883526384, 'y': -1.1174787296550492, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.3300818055048067, 'y': 2.035622225450573, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.2060352395917593, 'y': 0.9846233626524636, 'r': 0.3999999999999999, 'type': 1}]
40044,1398855620.9298115,[{'idp': 1, 'x': 3.1629263300944532, 'y': -2.662652109881928, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.668790799842136, 'y': -1.0778760659513587, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.3172590545973937, 'y': 2.0485801177572727, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.1958605646633433, 'y': 0.9860000892178822, 'r': 0.3999999999999999, 'type': 1}]
40045,1398855620.969779,[{'idp': 1, 'x': 3.1632946903673, 'y': -2.650510658110089, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.672749658809497, 'y': -1.040261873185191, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.2952931609432503, 'y': 2.065332809305278, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.1841965521909845, 'y': 0.9925532332540632, 'r': 0.3999999999999999, 'type': 1}]
40046,1398855620.9791179,[{'idp': 1, 'x': 3.1658225446179156, 'y': -2.640307940989386, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.661999277987251, 'y': -0.9872547275783405, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.253578159927885, 'y': 2.078340899225777, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.1768536561344765, 'y': 0.9986377254904544, 'r': 0.3999999999999999, 'type': 1}]
40047,1398855621.0177145,[{'idp': 1, 'x': 3.1614323134997147, 'y': -2.628452218309192, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.655125608056921, 'y': -0.9477654265184365, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.227226031412781, 'y': 2.0912903687001783, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.1663822682171885, 'y': 1.0056993910555767, 'r': 0.3999999999999999, 'type': 1}]
40048,1398855621.0577667,[{'idp': 1, 'x': 3.1704281008651414, 'y': -2.6085146931251413, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.654529618080026, 'y': -0.9098585864926101, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.186776846333458, 'y': 2.1067443903518557, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.1517329381549266, 'y': 1.0173825972477024, 'r': 0.3999999999999999, 'type': 1}]
40049,1398855621.057801,[{'idp': 1, 'x': 3.167410297794493, 'y': -2.5987123683580062, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.649489141709916, 'y': -0.8585084953004707, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.1479072062216087, 'y': 2.1163360640746287, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.132733591616558, 'y': 1.0254154305403818, 'r': 0.3999999999999999, 'type': 1}]
40050,1398855621.0977685,[{'idp': 1, 'x': 3.164364736643357, 'y': -2.5846839732160465, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.652178899245602, 'y': -0.8338040843470151, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.1252580389528664, 'y': 2.1216756091161137, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.119645179844827, 'y': 1.030835972778903, 'r': 0.3999999999999999, 'type': 1}]
40051,1398855621.1051013,[{'idp': 1, 'x': 3.1764897666426872, 'y': -2.5681716762830598, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.63556423188057, 'y': -0.7810710606878646, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.094133525066386, 'y': 2.1249280083481126, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.105231080392733, 'y': 1.0469104132640394, 'r': 0.3999999999999999, 'type': 1}]
