id,timestamp,circles
52730,1398782902.676256,[]
52731,1398782902.676287,[]
52732,1398782902.7163014,[]
52733,1398782902.72125,[]
52734,1398782902.7602718,[{'idp':  196 ,  'x':  6.35 ,  'y':  -1.79 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.9 ,  'y':  -0.29 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.35 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
52779,1398782903.8882506,[{'idp':  196 ,  'x':  5.44 ,  'y':  -1.85 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.36 ,  'y':  -0.01 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.07 ,  'y':  -2.72 ,  'r':  0.4 ,  'type':  1}]
52780,1398782903.8942664,[{'idp':  196 ,  'x':  5.44 ,  'y':  -1.81 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.35 ,  'y':  0.03 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.09 ,  'y':  -2.66 ,  'r':  0.4 ,  'type':  1}]
52781,1398782903.932248,[{'idp':  196 ,  'x':  5.43 ,  'y':  -1.78 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.34 ,  'y':  0.07 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.11 ,  'y':  -2.61 ,  'r':  0.4 ,  'type':  1}]
52782,1398782903.972275,[{'idp':  196 ,  'x':  5.43 ,  'y':  -1.75 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.32 ,  'y':  0.1 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.12 ,  'y':  -2.55 ,  'r':  0.4 ,  'type':  1}]
52783,1398782903.9722984,[{'idp':  196 ,  'x':  5.41 ,  'y':  -1.72 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.31 ,  'y':  0.12 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.13 ,  'y':  -2.52 ,  'r':  0.4 ,  'type':  1}]
52784,1398782904.012257,[{'idp':  196 ,  'x':  5.4 ,  'y':  -1.69 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.31 ,  'y':  0.14 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.13 ,  'y':  -2.49 ,  'r':  0.4 ,  'type':  1}]
52785,1398782904.0187454,[{'idp':  196 ,  'x':  5.39 ,  'y':  -1.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.29 ,  'y':  0.18 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.14 ,  'y':  -2.47 ,  'r':  0.4 ,  'type':  1}]
52786,1398782904.0562377,[{'idp':  196 ,  'x':  5.37 ,  'y':  -1.64 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.28 ,  'y':  0.2 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.16 ,  'y':  -2.41 ,  'r':  0.4 ,  'type':  1}]
52787,1398782904.096203,[{'idp':  196 ,  'x':  5.38 ,  'y':  -1.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.28 ,  'y':  0.23 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.17 ,  'y':  -2.38 ,  'r':  0.4 ,  'type':  1}]
52788,1398782904.0962355,[{'idp':  196 ,  'x':  5.37 ,  'y':  -1.58 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.25 ,  'y':  0.27 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.17 ,  'y':  -2.34 ,  'r':  0.4 ,  'type':  1}]
52789,1398782904.1362195,[{'idp':  196 ,  'x':  5.35 ,  'y':  -1.53 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.24 ,  'y':  0.3 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.19 ,  'y':  -2.3 ,  'r':  0.4 ,  'type':  1}]
52790,1398782904.1437624,[{'idp':  196 ,  'x':  5.34 ,  'y':  -1.48 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.23 ,  'y':  0.33 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.2 ,  'y':  -2.24 ,  'r':  0.4 ,  'type':  1}]
52791,1398782904.180269,[{'idp':  196 ,  'x':  5.34 ,  'y':  -1.46 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.21 ,  'y':  0.36 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.21 ,  'y':  -2.2 ,  'r':  0.4 ,  'type':  1}]
52792,1398782904.2202258,[{'idp':  196 ,  'x':  5.33 ,  'y':  -1.43 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.2 ,  'y':  0.4 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.22 ,  'y':  -2.16 ,  'r':  0.4 ,  'type':  1}]
52793,1398782904.2202442,[{'idp':  196 ,  'x':  5.32 ,  'y':  -1.41 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.19 ,  'y':  0.41 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.22 ,  'y':  -2.11 ,  'r':  0.4 ,  'type':  1}]
52794,1398782904.260321,[{'idp':  196 ,  'x':  5.32 ,  'y':  -1.36 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.18 ,  'y':  0.44 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.23 ,  'y':  -2.09 ,  'r':  0.4 ,  'type':  1}]
52795,1398782904.2681484,[{'idp':  196 ,  'x':  5.31 ,  'y':  -1.34 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.16 ,  'y':  0.46 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.24 ,  'y':  -2.03 ,  'r':  0.4 ,  'type':  1}]
52796,1398782904.3042703,[{'idp':  196 ,  'x':  5.3 ,  'y':  -1.29 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.16 ,  'y':  0.5 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.25 ,  'y':  -2.0 ,  'r':  0.4 ,  'type':  1}]
52797,1398782904.3442893,[{'idp':  196 ,  'x':  5.29 ,  'y':  -1.27 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.13 ,  'y':  0.53 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.25 ,  'y':  -1.94 ,  'r':  0.4 ,  'type':  1}]
52798,1398782904.3443222,[{'idp':  196 ,  'x':  5.29 ,  'y':  -1.23 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.12 ,  'y':  0.55 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.25 ,  'y':  -1.91 ,  'r':  0.4 ,  'type':  1}]
52799,1398782904.384299,[{'idp':  196 ,  'x':  5.27 ,  'y':  -1.23 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.11 ,  'y':  0.57 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.25 ,  'y':  -1.9 ,  'r':  0.4 ,  'type':  1}]
52800,1398782904.3925848,[{'idp':  196 ,  'x':  5.26 ,  'y':  -1.23 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.09 ,  'y':  0.57 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.25 ,  'y':  -1.9 ,  'r':  0.4 ,  'type':  1}]
52801,1398782904.432296,[{'idp':  196 ,  'x':  5.24 ,  'y':  -1.22 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.09 ,  'y':  0.58 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.24 ,  'y':  -1.91 ,  'r':  0.4 ,  'type':  1}]
52802,1398782904.4722056,[{'idp':  196 ,  'x':  5.22 ,  'y':  -1.22 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.07 ,  'y':  0.58 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.2 ,  'y':  -1.9 ,  'r':  0.4 ,  'type':  1}]
52803,1398782904.472241,[{'idp':  196 ,  'x':  5.21 ,  'y':  -1.21 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.06 ,  'y':  0.58 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.2 ,  'y':  -1.93 ,  'r':  0.4 ,  'type':  1}]
52804,1398782904.5122628,[{'idp':  196 ,  'x':  5.21 ,  'y':  -1.22 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.03 ,  'y':  0.59 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.2 ,  'y':  -1.92 ,  'r':  0.4 ,  'type':  1}]
52805,1398782904.5182598,[{'idp':  196 ,  'x':  5.19 ,  'y':  -1.2 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.04 ,  'y':  0.59 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.2 ,  'y':  -1.88 ,  'r':  0.4 ,  'type':  1}]
52806,1398782904.5563183,[{'idp':  196 ,  'x':  5.17 ,  'y':  -1.21 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.01 ,  'y':  0.59 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.18 ,  'y':  -1.89 ,  'r':  0.4 ,  'type':  1}]
52807,1398782904.5962183,[{'idp':  196 ,  'x':  5.15 ,  'y':  -1.21 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.0 ,  'y':  0.6 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.18 ,  'y':  -1.89 ,  'r':  0.4 ,  'type':  1}]
52808,1398782904.5962481,[{'idp':  196 ,  'x':  5.14 ,  'y':  -1.22 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.0 ,  'y':  0.6 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.18 ,  'y':  -1.89 ,  'r':  0.4 ,  'type':  1}]
52809,1398782904.6362846,[{'idp':  196 ,  'x':  5.13 ,  'y':  -1.22 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.0 ,  'y':  0.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.17 ,  'y':  -1.89 ,  'r':  0.4 ,  'type':  1}]
52810,1398782904.6423738,[{'idp':  196 ,  'x':  5.11 ,  'y':  -1.21 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  3.96 ,  'y':  0.6 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.17 ,  'y':  -1.87 ,  'r':  0.4 ,  'type':  1}]
52811,1398782904.6802177,[{'idp':  196 ,  'x':  5.1 ,  'y':  -1.22 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  3.97 ,  'y':  0.6 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.18 ,  'y':  -1.86 ,  'r':  0.4 ,  'type':  1}]
